district,month,ipc_trials,ipc_convictions,ipc_acquitted,sll_trials,sll_convictions,sll_acquitted,nonmv_trials,nonmv_convictions,nonmv_acquitted,mv_trials,mv_convictions,mv_acquitted,speedy_trial_cases,judgement_date,punishment
Ganjam,2019-02,38,9,15,55,23,25,0,0,0,190,159,31,0,2019-02-25,2 years RI + Rs. 5000 fine
Koraput,2019-02,17,7,8,26,15,11,0,0,0,69,39,9,5,2019-02-10,Acquitted
Sambalpur,2019-02,36,5,16,45,23,19,0,0,0,150,118,13,8,2019-02-12,3 years Rigorous Imprisonment
Puri,2019-02,26,5,16,32,12,15,0,0,0,108,90,3,6,2019-02-22,1 year Probation
Balasore,2019-02,32,6,8,35,11,10,0,0,0,147,136,6,2,2019-02-28,1 year Probation
Rourkela,2019-02,51,11,38,71,30,24,0,0,0,189,135,32,5,2019-02-22,Fine of Rs. 5000
Mayurbhanj,2019-02,10,1,2,18,7,8,0,0,0,70,53,6,0,2019-02-07,6 months RI
Cuttack,2019-02,68,13,37,92,40,27,0,0,0,279,206,41,5,2019-02-17,6 months RI
Kalahandi,2019-02,13,4,7,32,9,11,0,0,0,56,48,8,5,2019-02-03,1 year Probation
Bhubaneswar,2019-03,72,27,35,89,45,34,0,0,0,292,254,28,10,2019-03-22,Fine of Rs. 5000
Ganjam,2019-03,39,11,22,47,18,15,0,0,0,205,171,24,3,2019-03-15,Acquitted
Koraput,2019-03,14,4,7,29,13,9,0,0,0,76,62,5,1,2019-03-18,"5 years RI + Rs. 10,000 fine"
Sambalpur,2019-03,32,8,15,45,19,11,0,0,0,169,114,28,3,2019-03-02,Acquitted
Puri,2019-03,25,7,11,30,13,6,0,0,0,128,101,22,4,2019-03-22,Acquitted
Balasore,2019-03,29,5,13,49,18,20,0,0,0,143,106,13,2,2019-03-17,"5 years RI + Rs. 10,000 fine"
Rourkela,2019-03,52,17,30,74,38,36,0,0,0,242,153,37,5,2019-03-13,1 year Probation
Mayurbhanj,2019-03,10,1,7,28,8,6,0,0,0,59,51,3,5,2019-03-20,2 years RI + Rs. 5000 fine
Cuttack,2019-03,58,17,28,83,40,39,0,0,0,275,205,47,8,2019-03-06,"5 years RI + Rs. 10,000 fine"
Kalahandi,2019-03,16,3,12,19,8,9,0,0,0,64,56,5,3,2019-03-18,2 years RI + Rs. 5000 fine
Bhubaneswar,2019-04,65,10,41,100,42,30,0,0,0,300,228,35,3,2019-04-20,Acquitted
Ganjam,2019-04,46,10,36,41,22,16,0,0,0,151,120,16,5,2019-04-19,Fine of Rs. 5000
Koraput,2019-04,12,4,8,26,10,11,0,0,0,66,60,6,2,2019-04-04,2 years RI + Rs. 5000 fine
Sambalpur,2019-04,35,13,18,46,15,18,0,0,0,132,114,6,0,2019-04-17,2 years RI + Rs. 5000 fine
Puri,2019-04,24,6,10,36,11,15,0,0,0,131,113,5,2,2019-04-16,1 year Probation
Balasore,2019-04,18,3,12,40,13,10,0,0,0,129,89,21,1,2019-04-08,6 months RI
Rourkela,2019-04,42,16,17,69,29,18,0,0,0,215,156,37,2,2019-04-12,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2019-04,18,5,11,20,6,5,0,0,0,77,60,8,0,2019-04-21,1 year Probation
Cuttack,2019-04,57,12,31,90,27,33,0,0,0,291,262,20,3,2019-04-07,Acquitted
Kalahandi,2019-04,13,2,4,11,3,3,0,0,0,58,43,6,0,2019-04-08,3 years Rigorous Imprisonment
Bhubaneswar,2019-05,62,20,25,79,33,36,0,0,0,313,239,45,5,2019-05-05,3 years Rigorous Imprisonment
Ganjam,2019-05,35,13,19,50,16,21,0,0,0,202,143,21,4,2019-05-15,2 years RI + Rs. 5000 fine
Koraput,2019-05,13,6,7,31,10,14,0,0,0,73,60,13,1,2019-05-11,3 years Rigorous Imprisonment
Sambalpur,2019-05,23,4,14,55,22,28,0,0,0,138,111,13,1,2019-05-19,1 year Probation
Puri,2019-05,15,5,7,44,17,15,0,0,0,120,78,15,4,2019-05-10,3 years Rigorous Imprisonment
Balasore,2019-05,27,9,12,47,17,21,0,0,0,138,110,28,0,2019-05-04,"5 years RI + Rs. 10,000 fine"
Rourkela,2019-05,46,9,32,65,32,27,0,0,0,223,175,23,5,2019-05-16,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2019-05,9,4,5,20,5,9,0,0,0,73,55,10,2,2019-05-24,Fine of Rs. 5000
Cuttack,2019-05,61,16,44,74,41,23,0,0,0,260,243,13,7,2019-05-09,1 year Probation
Kalahandi,2019-05,17,5,8,21,10,11,0,0,0,68,58,10,3,2019-05-24,1 year Probation
Bhubaneswar,2019-06,63,11,28,94,56,25,0,0,0,299,232,25,4,2019-06-21,"5 years RI + Rs. 10,000 fine"
Ganjam,2019-06,42,8,26,61,32,29,0,0,0,176,140,13,4,2019-06-18,"5 years RI + Rs. 10,000 fine"
Koraput,2019-06,15,4,11,25,14,9,0,0,0,89,73,13,2,2019-06-02,2 years RI + Rs. 5000 fine
Sambalpur,2019-06,24,4,11,50,14,19,0,0,0,166,138,21,2,2019-06-25,2 years RI + Rs. 5000 fine
Puri,2019-06,26,6,20,27,13,7,0,0,0,130,117,13,2,2019-06-21,3 years Rigorous Imprisonment
Balasore,2019-06,33,9,19,49,21,11,0,0,0,135,128,7,4,2019-06-27,Fine of Rs. 5000
Rourkela,2019-06,40,10,13,60,15,21,0,0,0,202,159,7,5,2019-06-24,Acquitted
Mayurbhanj,2019-06,15,3,7,19,6,8,0,0,0,75,56,15,1,2019-06-13,2 years RI + Rs. 5000 fine
Cuttack,2019-06,63,22,35,92,28,42,0,0,0,278,188,46,3,2019-06-08,1 year Probation
Kalahandi,2019-06,20,6,8,15,4,6,0,0,0,67,49,12,1,2019-06-22,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2019-07,52,13,27,82,25,36,0,0,0,288,254,13,7,2019-07-17,2 years RI + Rs. 5000 fine
Ganjam,2019-07,44,10,20,52,22,25,0,0,0,190,155,13,5,2019-07-21,1 year Probation
Koraput,2019-07,20,4,9,22,14,8,0,0,0,83,72,8,3,2019-07-14,1 year Probation
Sambalpur,2019-07,22,4,11,44,14,18,0,0,0,146,134,12,2,2019-07-11,3 years Rigorous Imprisonment
Puri,2019-07,19,3,11,47,21,16,0,0,0,144,132,6,3,2019-07-06,1 year Probation
Balasore,2019-07,21,7,8,31,14,11,0,0,0,151,114,9,4,2019-07-17,Acquitted
Rourkela,2019-07,39,10,20,55,23,12,0,0,0,224,187,5,5,2019-07-21,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2019-07,11,4,7,18,8,10,0,0,0,69,52,3,1,2019-07-12,"5 years RI + Rs. 10,000 fine"
Cuttack,2019-07,47,11,24,63,26,26,0,0,0,275,173,43,4,2019-07-08,2 years RI + Rs. 5000 fine
Kalahandi,2019-07,14,3,6,13,4,3,0,0,0,65,55,6,2,2019-07-02,3 years Rigorous Imprisonment
Bhubaneswar,2019-08,64,24,39,81,42,23,0,0,0,292,211,51,7,2019-08-26,2 years RI + Rs. 5000 fine
Ganjam,2019-08,31,13,17,69,38,28,0,0,0,199,160,29,2,2019-08-17,6 months RI
Koraput,2019-08,24,9,12,23,10,9,0,0,0,71,43,11,3,2019-08-12,1 year Probation
Sambalpur,2019-08,29,8,19,49,18,13,0,0,0,165,132,5,2,2019-08-18,2 years RI + Rs. 5000 fine
Puri,2019-08,22,4,8,36,17,14,0,0,0,128,100,4,4,2019-08-07,Fine of Rs. 5000
Balasore,2019-08,27,6,17,37,17,13,0,0,0,116,90,21,4,2019-08-03,Acquitted
Rourkela,2019-08,40,9,26,68,25,25,0,0,0,213,162,8,5,2019-08-28,Fine of Rs. 5000
Mayurbhanj,2019-08,17,3,12,19,12,7,0,0,0,65,55,2,0,2019-08-05,3 years Rigorous Imprisonment
Cuttack,2019-08,58,18,29,77,32,25,0,0,0,284,223,28,2,2019-08-06,3 years Rigorous Imprisonment
Kalahandi,2019-08,10,1,5,17,9,6,0,0,0,59,21,4,2,2019-08-22,6 months RI
Bhubaneswar,2019-09,68,12,49,85,26,38,0,0,0,300,227,32,8,2019-09-04,"5 years RI + Rs. 10,000 fine"
Ganjam,2019-09,40,18,22,54,20,10,0,0,0,215,161,28,5,2019-09-03,Fine of Rs. 5000
Koraput,2019-09,24,7,10,21,8,8,0,0,0,76,58,7,0,2019-09-10,"5 years RI + Rs. 10,000 fine"
Sambalpur,2019-09,38,14,20,46,23,17,0,0,0,154,143,11,2,2019-09-14,Fine of Rs. 5000
Puri,2019-09,18,2,10,37,15,22,0,0,0,136,103,8,2,2019-09-23,1 year Probation
Balasore,2019-09,28,5,10,44,18,12,0,0,0,131,116,10,3,2019-09-03,1 year Probation
Rourkela,2019-09,46,15,22,62,25,22,0,0,0,230,139,34,8,2019-09-14,6 months RI
Mayurbhanj,2019-09,9,1,4,23,8,12,0,0,0,66,45,9,0,2019-09-03,Acquitted
Cuttack,2019-09,47,11,21,90,47,27,0,0,0,275,184,29,5,2019-09-21,2 years RI + Rs. 5000 fine
Kalahandi,2019-09,10,4,6,19,7,7,0,0,0,58,45,10,2,2019-09-05,Fine of Rs. 5000
Bhubaneswar,2019-10,56,16,26,95,50,33,0,0,0,279,233,22,9,2019-10-12,2 years RI + Rs. 5000 fine
Ganjam,2019-10,49,17,32,62,27,22,0,0,0,197,161,20,4,2019-10-06,6 months RI
Koraput,2019-10,15,3,10,20,7,5,0,0,0,71,63,6,3,2019-10-16,Fine of Rs. 5000
Sambalpur,2019-10,24,8,16,40,18,14,0,0,0,150,90,5,2,2019-10-21,3 years Rigorous Imprisonment
Puri,2019-10,28,13,15,37,14,10,0,0,0,114,90,21,2,2019-10-24,"5 years RI + Rs. 10,000 fine"
Balasore,2019-10,30,5,15,39,14,21,0,0,0,134,111,7,1,2019-10-16,3 years Rigorous Imprisonment
Rourkela,2019-10,50,9,32,76,33,39,0,0,0,223,182,13,5,2019-10-19,3 years Rigorous Imprisonment
Mayurbhanj,2019-10,12,3,4,19,8,5,0,0,0,64,61,3,2,2019-10-09,Fine of Rs. 5000
Cuttack,2019-10,68,32,36,88,33,43,0,0,0,283,211,25,9,2019-10-06,"5 years RI + Rs. 10,000 fine"
Kalahandi,2019-10,11,2,8,11,5,6,0,0,0,56,43,10,2,2019-10-09,2 years RI + Rs. 5000 fine
Bhubaneswar,2019-11,68,11,37,92,35,45,0,0,0,264,201,32,4,2019-11-21,3 years Rigorous Imprisonment
Ganjam,2019-11,31,6,19,59,22,28,0,0,0,194,171,13,2,2019-11-26,Acquitted
Koraput,2019-11,15,2,6,23,9,9,0,0,0,78,43,7,1,2019-11-13,6 months RI
Sambalpur,2019-11,25,9,13,54,25,21,0,0,0,148,91,11,4,2019-11-26,3 years Rigorous Imprisonment
Puri,2019-11,25,9,11,41,23,16,0,0,0,121,88,14,2,2019-11-25,6 months RI
Balasore,2019-11,43,9,30,44,20,20,0,0,0,153,104,25,3,2019-11-26,Fine of Rs. 5000
Rourkela,2019-11,43,9,29,70,25,29,0,0,0,232,178,14,5,2019-11-24,Acquitted
Mayurbhanj,2019-11,14,5,8,19,8,6,0,0,0,75,61,8,1,2019-11-20,2 years RI + Rs. 5000 fine
Cuttack,2019-11,65,21,23,80,39,30,0,0,0,249,222,20,6,2019-11-09,6 months RI
Kalahandi,2019-11,12,5,7,20,9,10,0,0,0,45,38,6,1,2019-11-14,1 year Probation
Bhubaneswar,2019-12,60,24,32,115,38,53,0,0,0,320,221,50,6,2019-12-14,6 months RI
Ganjam,2019-12,44,8,32,49,19,22,0,0,0,154,126,28,3,2019-12-20,2 years RI + Rs. 5000 fine
Koraput,2019-12,14,5,8,28,13,8,0,0,0,76,56,7,3,2019-12-06,6 months RI
Sambalpur,2019-12,26,2,11,35,13,11,0,0,0,157,130,22,3,2019-12-10,3 years Rigorous Imprisonment
Puri,2019-12,25,7,10,35,18,9,0,0,0,132,88,22,2,2019-12-19,"5 years RI + Rs. 10,000 fine"
Balasore,2019-12,27,13,14,59,23,30,0,0,0,172,140,10,7,2019-12-10,"5 years RI + Rs. 10,000 fine"
Rourkela,2019-12,54,11,28,62,19,29,0,0,0,241,189,16,1,2019-12-09,1 year Probation
Mayurbhanj,2019-12,18,8,10,27,11,8,0,0,0,56,49,6,1,2019-12-14,3 years Rigorous Imprisonment
Cuttack,2019-12,60,13,47,92,52,37,0,0,0,265,251,6,5,2019-12-21,3 years Rigorous Imprisonment
Kalahandi,2019-12,10,2,4,19,8,8,0,0,0,63,46,6,2,2019-12-14,6 months RI
Bhubaneswar,2020-01,62,18,36,89,41,28,0,0,0,315,259,17,2,2020-01-07,1 year Probation
Ganjam,2020-01,38,8,14,52,28,16,0,0,0,190,173,17,6,2020-01-19,"5 years RI + Rs. 10,000 fine"
Koraput,2020-01,10,1,6,23,6,5,0,0,0,69,55,5,5,2020-01-03,2 years RI + Rs. 5000 fine
Sambalpur,2020-01,29,10,19,46,18,9,0,0,0,153,112,27,4,2020-01-15,Acquitted
Puri,2020-01,25,9,16,38,17,20,0,0,0,108,88,9,3,2020-01-21,2 years RI + Rs. 5000 fine
Balasore,2020-01,22,6,10,41,12,16,0,0,0,149,107,26,4,2020-01-22,3 years Rigorous Imprisonment
Rourkela,2020-01,41,12,25,56,20,30,0,0,0,208,179,5,6,2020-01-09,2 years RI + Rs. 5000 fine
Mayurbhanj,2020-01,12,4,6,30,16,14,0,0,0,69,62,4,1,2020-01-05,2 years RI + Rs. 5000 fine
Cuttack,2020-01,54,12,34,79,27,26,0,0,0,256,231,25,2,2020-01-05,3 years Rigorous Imprisonment
Kalahandi,2020-01,9,3,6,22,9,9,0,0,0,63,41,7,0,2020-01-27,6 months RI
Bhubaneswar,2020-02,66,16,26,84,36,27,0,0,0,267,185,40,8,2020-02-27,Acquitted
Ganjam,2020-02,55,22,28,51,17,22,0,0,0,172,134,13,5,2020-02-11,Fine of Rs. 5000
Koraput,2020-02,12,3,7,26,10,16,0,0,0,75,51,7,0,2020-02-14,6 months RI
Sambalpur,2020-02,29,11,18,45,15,15,0,0,0,141,127,14,4,2020-02-27,3 years Rigorous Imprisonment
Puri,2020-02,19,3,5,41,23,17,0,0,0,114,82,19,4,2020-02-12,Acquitted
Balasore,2020-02,24,4,15,52,25,17,0,0,0,143,85,19,2,2020-02-09,6 months RI
Rourkela,2020-02,26,10,14,57,31,16,0,0,0,247,170,22,6,2020-02-13,6 months RI
Mayurbhanj,2020-02,12,1,6,26,9,6,0,0,0,67,48,6,1,2020-02-06,6 months RI
Cuttack,2020-02,54,13,38,72,31,24,0,0,0,273,218,28,6,2020-02-08,6 months RI
Kalahandi,2020-02,14,3,9,10,2,4,0,0,0,62,54,8,1,2020-02-04,Acquitted
Bhubaneswar,2020-03,70,11,32,85,56,28,0,0,0,295,215,13,11,2020-03-14,"5 years RI + Rs. 10,000 fine"
Ganjam,2020-03,37,7,22,49,26,23,0,0,0,158,103,23,4,2020-03-17,"5 years RI + Rs. 10,000 fine"
Koraput,2020-03,14,3,9,28,12,8,0,0,0,90,72,16,2,2020-03-05,3 years Rigorous Imprisonment
Sambalpur,2020-03,28,6,17,39,12,16,0,0,0,125,91,21,4,2020-03-26,Acquitted
Puri,2020-03,26,5,9,39,18,20,0,0,0,117,92,14,1,2020-03-12,6 months RI
Balasore,2020-03,27,6,15,40,20,10,0,0,0,166,127,25,6,2020-03-04,1 year Probation
Rourkela,2020-03,44,13,16,76,31,22,0,0,0,206,143,21,3,2020-03-24,Acquitted
Mayurbhanj,2020-03,11,5,6,25,10,8,0,0,0,81,71,10,1,2020-03-22,6 months RI
Cuttack,2020-03,64,10,41,90,26,37,0,0,0,263,208,12,8,2020-03-07,Fine of Rs. 5000
Kalahandi,2020-03,8,3,5,27,11,12,0,0,0,77,66,11,5,2020-03-23,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2020-04,56,19,21,96,32,36,0,0,0,299,281,15,7,2020-04-22,6 months RI
Ganjam,2020-04,40,13,14,65,29,28,0,0,0,192,159,17,6,2020-04-05,6 months RI
Koraput,2020-04,18,4,11,25,10,7,0,0,0,65,47,5,1,2020-04-13,2 years RI + Rs. 5000 fine
Sambalpur,2020-04,26,6,17,45,15,21,0,0,0,163,107,20,4,2020-04-25,1 year Probation
Puri,2020-04,34,6,18,41,13,20,0,0,0,127,111,13,5,2020-04-25,1 year Probation
Balasore,2020-04,21,7,10,46,22,15,0,0,0,141,112,13,2,2020-04-16,6 months RI
Rourkela,2020-04,42,17,21,73,23,31,0,0,0,210,158,40,6,2020-04-03,Acquitted
Mayurbhanj,2020-04,10,3,7,17,10,6,0,0,0,51,46,5,1,2020-04-02,"5 years RI + Rs. 10,000 fine"
Cuttack,2020-04,65,13,41,83,28,33,0,0,0,278,194,40,10,2020-04-24,"5 years RI + Rs. 10,000 fine"
Kalahandi,2020-04,13,3,8,23,11,5,0,0,0,64,51,5,0,2020-04-04,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2020-05,60,12,32,105,43,41,0,0,0,297,221,54,2,2020-05-25,Acquitted
Ganjam,2020-05,29,7,16,54,28,26,0,0,0,178,137,31,6,2020-05-07,2 years RI + Rs. 5000 fine
Koraput,2020-05,15,3,12,31,17,13,0,0,0,85,57,11,0,2020-05-01,Fine of Rs. 5000
Sambalpur,2020-05,30,4,17,43,17,11,0,0,0,158,129,17,3,2020-05-12,3 years Rigorous Imprisonment
Puri,2020-05,24,6,17,39,24,12,0,0,0,138,124,14,3,2020-05-25,1 year Probation
Balasore,2020-05,19,4,8,30,10,14,0,0,0,147,104,21,4,2020-05-09,Fine of Rs. 5000
Rourkela,2020-05,49,10,25,78,35,21,0,0,0,234,190,39,4,2020-05-14,1 year Probation
Mayurbhanj,2020-05,11,3,5,20,8,7,0,0,0,57,42,9,0,2020-05-23,1 year Probation
Cuttack,2020-05,53,8,25,81,39,24,0,0,0,262,193,29,9,2020-05-18,1 year Probation
Kalahandi,2020-05,15,3,7,17,8,6,0,0,0,64,58,6,1,2020-05-21,Fine of Rs. 5000
Bhubaneswar,2020-06,62,21,30,87,40,35,0,0,0,318,252,46,5,2020-06-26,2 years RI + Rs. 5000 fine
Ganjam,2020-06,33,15,17,37,9,13,0,0,0,196,163,13,1,2020-06-10,2 years RI + Rs. 5000 fine
Koraput,2020-06,16,1,7,30,19,9,0,0,0,63,42,4,1,2020-06-14,3 years Rigorous Imprisonment
Sambalpur,2020-06,25,2,8,39,14,21,0,0,0,173,133,13,0,2020-06-11,"5 years RI + Rs. 10,000 fine"
Puri,2020-06,38,5,21,31,16,8,0,0,0,128,107,11,2,2020-06-13,1 year Probation
Balasore,2020-06,24,4,14,34,19,10,0,0,0,137,91,12,4,2020-06-27,6 months RI
Rourkela,2020-06,33,8,25,61,25,24,0,0,0,188,161,22,4,2020-06-02,3 years Rigorous Imprisonment
Mayurbhanj,2020-06,10,2,5,25,13,12,0,0,0,71,61,5,1,2020-06-08,2 years RI + Rs. 5000 fine
Cuttack,2020-06,53,14,30,87,39,20,0,0,0,285,255,7,10,2020-06-19,1 year Probation
Kalahandi,2020-06,12,3,7,24,11,8,0,0,0,70,48,11,0,2020-06-16,3 years Rigorous Imprisonment
Bhubaneswar,2020-07,68,27,39,82,41,19,0,0,0,313,228,50,7,2020-07-26,6 months RI
Ganjam,2020-07,46,9,25,43,13,15,0,0,0,200,129,20,0,2020-07-14,Acquitted
Koraput,2020-07,19,3,10,24,8,9,0,0,0,85,77,3,0,2020-07-03,3 years Rigorous Imprisonment
Sambalpur,2020-07,22,6,16,52,31,17,0,0,0,148,99,15,6,2020-07-14,3 years Rigorous Imprisonment
Puri,2020-07,30,13,17,41,15,19,0,0,0,126,91,11,4,2020-07-16,6 months RI
Balasore,2020-07,31,8,14,33,14,10,0,0,0,142,131,7,1,2020-07-16,1 year Probation
Rourkela,2020-07,35,6,16,74,31,37,0,0,0,231,168,23,1,2020-07-13,3 years Rigorous Imprisonment
Mayurbhanj,2020-07,22,7,14,25,11,9,0,0,0,62,46,2,2,2020-07-14,2 years RI + Rs. 5000 fine
Cuttack,2020-07,53,17,31,94,40,30,0,0,0,274,225,30,6,2020-07-13,2 years RI + Rs. 5000 fine
Kalahandi,2020-07,14,3,6,14,4,6,0,0,0,57,48,9,3,2020-07-22,Fine of Rs. 5000
Bhubaneswar,2020-08,56,25,26,89,38,28,0,0,0,302,242,26,6,2020-08-07,Fine of Rs. 5000
Ganjam,2020-08,39,6,28,47,15,17,0,0,0,169,123,12,5,2020-08-02,Acquitted
Koraput,2020-08,17,3,5,26,9,10,0,0,0,82,67,15,0,2020-08-24,"5 years RI + Rs. 10,000 fine"
Sambalpur,2020-08,35,13,14,41,18,12,0,0,0,121,88,14,3,2020-08-22,Acquitted
Puri,2020-08,24,6,11,38,16,20,0,0,0,130,88,7,2,2020-08-03,Acquitted
Balasore,2020-08,28,7,13,36,13,14,0,0,0,139,119,5,5,2020-08-06,1 year Probation
Rourkela,2020-08,40,12,28,69,34,31,0,0,0,208,159,6,4,2020-08-07,Acquitted
Mayurbhanj,2020-08,15,7,8,17,7,6,0,0,0,79,63,2,3,2020-08-05,2 years RI + Rs. 5000 fine
Cuttack,2020-08,46,7,21,80,30,37,0,0,0,307,259,31,4,2020-08-03,Acquitted
Kalahandi,2020-08,12,2,7,25,7,9,0,0,0,66,56,7,0,2020-08-01,2 years RI + Rs. 5000 fine
Bhubaneswar,2020-09,53,10,35,95,37,46,0,0,0,333,279,23,9,2020-09-14,"5 years RI + Rs. 10,000 fine"
Ganjam,2020-09,36,10,20,54,27,27,0,0,0,153,110,17,3,2020-09-19,"5 years RI + Rs. 10,000 fine"
Koraput,2020-09,21,8,13,18,8,8,0,0,0,82,62,15,0,2020-09-06,6 months RI
Sambalpur,2020-09,31,9,10,51,29,16,0,0,0,157,122,9,3,2020-09-08,2 years RI + Rs. 5000 fine
Puri,2020-09,21,4,15,42,20,22,0,0,0,140,96,18,4,2020-09-08,1 year Probation
Balasore,2020-09,30,10,20,48,14,19,0,0,0,144,117,9,2,2020-09-28,Fine of Rs. 5000
Rourkela,2020-09,44,10,33,61,28,27,0,0,0,209,155,38,4,2020-09-18,6 months RI
Mayurbhanj,2020-09,22,5,14,32,17,10,0,0,0,84,54,6,2,2020-09-10,6 months RI
Cuttack,2020-09,50,11,23,110,42,29,0,0,0,280,209,47,1,2020-09-08,1 year Probation
Kalahandi,2020-09,7,2,5,17,7,10,0,0,0,69,52,10,2,2020-09-18,2 years RI + Rs. 5000 fine
Bhubaneswar,2020-10,60,13,34,94,51,24,0,0,0,267,217,19,4,2020-10-04,"5 years RI + Rs. 10,000 fine"
Ganjam,2020-10,37,11,19,54,17,10,0,0,0,166,120,30,3,2020-10-02,Fine of Rs. 5000
Koraput,2020-10,14,2,6,22,13,9,0,0,0,86,73,13,1,2020-10-01,Fine of Rs. 5000
Sambalpur,2020-10,31,12,18,50,25,25,0,0,0,145,105,11,2,2020-10-23,Acquitted
Puri,2020-10,27,6,11,44,19,18,0,0,0,120,87,16,2,2020-10-21,2 years RI + Rs. 5000 fine
Balasore,2020-10,20,6,14,45,20,17,0,0,0,136,105,23,6,2020-10-01,2 years RI + Rs. 5000 fine
Rourkela,2020-10,37,15,17,84,31,40,0,0,0,213,170,4,3,2020-10-14,3 years Rigorous Imprisonment
Mayurbhanj,2020-10,15,2,9,22,6,9,0,0,0,68,38,9,1,2020-10-16,3 years Rigorous Imprisonment
Cuttack,2020-10,51,13,38,98,33,23,0,0,0,256,222,34,4,2020-10-20,Acquitted
Kalahandi,2020-10,17,3,8,10,0,1,0,0,0,63,51,11,0,2020-10-11,Acquitted
Bhubaneswar,2020-11,63,11,41,93,52,25,0,0,0,300,259,19,7,2020-11-13,6 months RI
Ganjam,2020-11,35,8,18,51,26,23,0,0,0,200,188,8,3,2020-11-24,6 months RI
Koraput,2020-11,16,6,8,25,12,9,0,0,0,77,50,11,2,2020-11-18,2 years RI + Rs. 5000 fine
Sambalpur,2020-11,26,5,11,44,20,24,0,0,0,143,131,6,1,2020-11-02,Fine of Rs. 5000
Puri,2020-11,22,3,8,38,15,9,0,0,0,122,98,12,0,2020-11-14,"5 years RI + Rs. 10,000 fine"
Balasore,2020-11,25,7,11,45,24,18,0,0,0,137,119,18,5,2020-11-04,1 year Probation
Rourkela,2020-11,34,9,21,53,24,25,0,0,0,248,184,9,6,2020-11-15,1 year Probation
Mayurbhanj,2020-11,10,2,7,22,7,7,0,0,0,68,44,8,1,2020-11-07,1 year Probation
Cuttack,2020-11,68,15,34,98,55,27,0,0,0,270,216,37,7,2020-11-13,3 years Rigorous Imprisonment
Kalahandi,2020-11,11,4,7,11,4,4,0,0,0,56,46,7,1,2020-11-11,Fine of Rs. 5000
Bhubaneswar,2020-12,68,32,36,87,29,39,0,0,0,332,271,32,3,2020-12-02,2 years RI + Rs. 5000 fine
Ganjam,2020-12,34,11,12,45,16,24,0,0,0,183,165,12,2,2020-12-26,Fine of Rs. 5000
Koraput,2020-12,9,2,6,27,5,5,0,0,0,86,82,3,2,2020-12-20,"5 years RI + Rs. 10,000 fine"
Sambalpur,2020-12,31,8,15,44,20,14,0,0,0,129,100,19,1,2020-12-06,2 years RI + Rs. 5000 fine
Puri,2020-12,25,10,11,26,10,7,0,0,0,112,73,5,2,2020-12-13,Fine of Rs. 5000
Balasore,2020-12,22,5,12,46,28,17,0,0,0,124,89,12,1,2020-12-10,2 years RI + Rs. 5000 fine
Rourkela,2020-12,39,7,15,57,36,20,0,0,0,246,181,44,4,2020-12-06,3 years Rigorous Imprisonment
Mayurbhanj,2020-12,11,3,8,20,6,6,0,0,0,70,59,3,3,2020-12-01,1 year Probation
Cuttack,2020-12,52,9,34,78,41,23,0,0,0,262,184,44,10,2020-12-17,1 year Probation
Kalahandi,2020-12,14,3,6,17,3,5,0,0,0,63,50,4,1,2020-12-26,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2021-01,69,16,50,85,40,27,0,0,0,284,239,22,5,2021-01-16,3 years Rigorous Imprisonment
Ganjam,2021-01,36,9,20,59,28,20,0,0,0,164,126,29,1,2021-01-21,Acquitted
Koraput,2021-01,13,3,4,22,7,8,0,0,0,76,64,12,2,2021-01-11,Fine of Rs. 5000
Sambalpur,2021-01,34,5,7,55,16,17,0,0,0,145,107,9,4,2021-01-10,1 year Probation
Puri,2021-01,27,4,12,39,11,12,0,0,0,120,110,10,1,2021-01-11,Fine of Rs. 5000
Balasore,2021-01,26,5,14,38,17,9,0,0,0,157,102,23,1,2021-01-12,6 months RI
Rourkela,2021-01,40,12,18,64,25,17,0,0,0,219,178,31,5,2021-01-10,1 year Probation
Mayurbhanj,2021-01,19,4,12,21,7,11,0,0,0,72,51,3,0,2021-01-26,6 months RI
Cuttack,2021-01,51,9,38,72,34,24,0,0,0,284,206,46,5,2021-01-18,2 years RI + Rs. 5000 fine
Kalahandi,2021-01,13,2,6,11,5,6,0,0,0,62,55,4,0,2021-01-05,Fine of Rs. 5000
Bhubaneswar,2021-02,58,13,37,104,54,37,0,0,0,262,206,27,3,2021-02-22,3 years Rigorous Imprisonment
Ganjam,2021-02,37,5,18,64,33,19,0,0,0,161,119,29,0,2021-02-12,"5 years RI + Rs. 10,000 fine"
Koraput,2021-02,12,1,3,20,10,6,0,0,0,92,83,4,0,2021-02-28,6 months RI
Sambalpur,2021-02,33,14,19,45,23,22,0,0,0,179,140,5,3,2021-02-03,"5 years RI + Rs. 10,000 fine"
Puri,2021-02,28,10,12,31,14,9,0,0,0,117,95,12,4,2021-02-22,"5 years RI + Rs. 10,000 fine"
Balasore,2021-02,31,4,17,51,19,21,0,0,0,144,131,3,3,2021-02-01,1 year Probation
Rourkela,2021-02,42,10,25,72,35,16,0,0,0,204,195,9,3,2021-02-28,Acquitted
