district,month,missing_boys_start,missing_boys_during,traced_boys,missing_girls_start,missing_girls_during,traced_girls,missing_men_start,missing_men_during,traced_men,missing_women_start,missing_women_during,traced_women
Sambalpur,2021-07,125,18,10,159,19,22,132,15,13,186,19,28
Puri,2021-07,86,12,10,120,15,14,100,17,19,138,14,11
Balasore,2021-07,121,19,17,141,20,18,120,13,15,162,27,27
Rourkela,2021-07,146,19,23,218,38,31,216,40,26,275,48,29
Mayurbhanj,2021-07,57,9,9,63,8,7,60,5,8,97,14,16
Cuttack,2021-07,202,24,26,322,34,46,261,48,48,336,52,44
Kalahandi,2021-07,45,5,3,79,6,8,47,9,8,52,11,8
Bhubaneswar,2021-08,232,41,38,310,43,52,258,34,40,393,45,54
Ganjam,2021-08,124,24,23,178,27,20,133,18,14,209,35,34
Koraput,2021-08,80,12,13,86,11,15,58,10,13,123,13,12
Sambalpur,2021-08,133,14,19,156,13,22,134,12,15,177,18,22
Puri,2021-08,88,14,9,121,26,27,98,12,11,141,31,18
Balasore,2021-08,123,13,16,143,20,18,118,21,19,162,34,32
Rourkela,2021-08,142,20,23,225,38,20,230,31,28,294,27,42
Mayurbhanj,2021-08,57,5,9,64,14,7,57,15,15,95,11,14
Cuttack,2021-08,200,27,26,310,34,41,261,29,49,344,48,36
Kalahandi,2021-08,47,8,9,77,10,13,48,5,5,55,16,9
Bhubaneswar,2021-09,235,32,29,301,49,40,252,36,29,384,48,41
Ganjam,2021-09,125,21,18,185,28,28,137,22,16,210,34,35
Koraput,2021-09,79,7,10,82,12,19,55,10,9,124,24,13
Sambalpur,2021-09,128,14,16,147,19,15,131,20,20,173,24,29
Puri,2021-09,93,11,12,120,23,21,99,21,23,154,23,23
Balasore,2021-09,120,18,15,145,19,23,120,9,15,164,26,22
Rourkela,2021-09,139,24,22,243,40,40,233,22,25,279,52,39
Mayurbhanj,2021-09,53,5,10,71,8,9,57,11,6,92,9,10
Cuttack,2021-09,201,26,30,303,34,49,241,27,36,356,48,65
Kalahandi,2021-09,46,6,7,74,7,13,48,8,7,62,9,8
Bhubaneswar,2021-10,238,34,32,310,45,35,259,32,33,391,55,46
Ganjam,2021-10,128,21,23,185,26,26,143,19,21,209,26,22
Koraput,2021-10,76,7,14,75,8,7,56,14,8,135,12,12
Sambalpur,2021-10,126,9,16,151,17,17,131,16,20,168,18,28
Puri,2021-10,92,5,8,122,14,20,97,7,12,154,18,21
Balasore,2021-10,123,12,20,141,18,19,114,20,17,168,31,24
Rourkela,2021-10,141,23,15,243,25,33,230,20,21,292,37,42
Mayurbhanj,2021-10,48,9,15,70,7,8,62,3,10,91,12,12
Cuttack,2021-10,197,32,27,288,31,42,232,40,36,339,65,55
Kalahandi,2021-10,45,5,5,68,12,11,49,7,7,63,15,10
Bhubaneswar,2021-11,240,40,36,320,49,42,258,37,39,400,56,64
Ganjam,2021-11,126,20,27,185,17,26,141,19,23,213,35,26
Koraput,2021-11,69,7,4,76,14,15,62,7,11,135,14,20
Sambalpur,2021-11,119,14,20,151,20,17,127,16,20,158,20,28
Puri,2021-11,89,17,17,116,23,20,92,11,14,151,20,17
Balasore,2021-11,115,15,11,140,16,17,117,6,11,175,24,25
Rourkela,2021-11,149,22,22,235,32,32,229,28,38,287,41,43
Mayurbhanj,2021-11,42,8,6,69,10,11,55,9,5,91,16,12
Cuttack,2021-11,202,17,27,277,35,34,236,37,34,349,56,57
Kalahandi,2021-11,45,5,9,69,9,7,49,8,5,68,8,10
Bhubaneswar,2021-12,244,35,30,327,34,52,256,43,47,392,59,49
Ganjam,2021-12,119,17,21,176,23,28,137,24,21,222,27,32
Koraput,2021-12,72,6,10,75,16,5,58,10,6,129,10,14
Sambalpur,2021-12,113,18,17,154,10,17,123,23,20,150,27,20
Puri,2021-12,89,13,14,119,11,22,89,17,19,154,22,20
Balasore,2021-12,119,16,10,139,21,28,112,14,17,174,24,21
Rourkela,2021-12,149,22,28,235,41,29,219,32,31,285,30,32
Mayurbhanj,2021-12,44,7,5,68,12,13,59,14,10,95,13,7
Cuttack,2021-12,192,30,24,278,38,47,239,25,37,348,47,40
Kalahandi,2021-12,41,6,3,71,13,14,52,6,4,66,14,14
Bhubaneswar,2022-01,249,35,30,309,43,34,252,39,36,402,56,56
Ganjam,2022-01,115,9,16,171,28,29,140,23,23,217,30,28
Koraput,2022-01,68,5,10,86,8,13,62,9,9,125,18,22
Sambalpur,2022-01,114,18,22,147,23,17,126,19,12,157,23,18
Puri,2022-01,88,13,10,108,16,13,87,14,14,156,21,20
Balasore,2022-01,125,13,16,132,19,21,109,16,13,177,25,16
Rourkela,2022-01,143,24,15,247,35,42,220,20,30,283,43,41
Mayurbhanj,2022-01,46,4,7,67,17,13,63,16,8,101,10,12
Cuttack,2022-01,198,36,32,269,33,41,227,43,33,355,48,50
Kalahandi,2022-01,44,10,4,70,10,11,54,10,2,66,13,6
Bhubaneswar,2022-02,254,39,40,318,53,57,255,39,38,402,58,68
Ganjam,2022-02,108,8,12,170,21,22,140,24,18,219,34,25
Koraput,2022-02,63,4,8,81,6,8,62,15,9,121,15,17
Sambalpur,2022-02,110,19,22,153,27,15,133,14,20,162,20,19
Puri,2022-02,91,13,6,111,15,16,87,16,17,157,23,21
Balasore,2022-02,122,12,15,130,21,21,112,8,13,186,15,30
Rourkela,2022-02,152,24,19,240,34,30,210,27,41,285,40,40
Mayurbhanj,2022-02,43,14,9,71,16,13,71,6,8,99,13,21
Cuttack,2022-02,202,25,25,261,46,25,237,30,31,353,50,54
Kalahandi,2022-02,50,1,9,69,10,11,62,5,5,73,8,11
Bhubaneswar,2022-03,253,26,36,314,48,44,256,35,46,392,53,50
Ganjam,2022-03,104,21,14,169,22,31,146,20,29,228,30,28
Koraput,2022-03,59,14,12,79,17,14,68,7,10,119,16,23
Sambalpur,2022-03,107,13,18,165,17,13,127,14,17,163,32,21
Puri,2022-03,98,17,13,110,14,10,86,20,12,159,24,27
Balasore,2022-03,119,12,11,130,13,18,107,11,12,171,32,21
Rourkela,2022-03,157,16,17,244,31,41,196,22,28,285,46,45
Mayurbhanj,2022-03,48,3,6,74,13,12,69,5,4,91,9,16
Cuttack,2022-03,202,27,28,282,45,33,236,28,33,349,45,50
Kalahandi,2022-03,42,10,9,68,9,7,62,5,5,70,14,17
Bhubaneswar,2022-04,243,37,31,318,56,46,245,25,24,395,42,41
Ganjam,2022-04,111,18,25,160,27,22,137,16,24,230,26,30
Koraput,2022-04,61,5,10,82,8,12,65,5,5,112,12,14
Sambalpur,2022-04,102,12,14,169,27,27,124,15,15,174,23,26
Puri,2022-04,102,10,11,114,20,19,94,13,22,156,18,30
Balasore,2022-04,120,9,11,125,25,17,106,14,15,182,27,27
Rourkela,2022-04,156,28,27,234,31,34,190,26,23,286,41,40
Mayurbhanj,2022-04,45,9,12,75,14,16,70,8,9,84,17,7
Cuttack,2022-04,201,24,32,294,43,52,231,30,37,344,50,56
Kalahandi,2022-04,43,10,8,70,15,13,62,10,10,67,9,9
Bhubaneswar,2022-05,249,27,34,328,36,31,246,38,36,396,54,56
Ganjam,2022-05,104,20,10,165,20,20,129,24,23,226,46,29
Koraput,2022-05,56,15,11,78,15,15,65,11,8,110,9,13
Sambalpur,2022-05,100,15,20,169,25,21,124,28,17,171,24,30
Puri,2022-05,101,11,14,115,17,22,85,14,12,144,10,20
Balasore,2022-05,118,21,21,133,22,21,105,13,12,182,34,33
Rourkela,2022-05,157,20,16,231,40,38,193,24,27,287,33,41
Mayurbhanj,2022-05,42,13,7,73,8,3,69,9,6,94,15,13
Cuttack,2022-05,193,27,36,285,39,31,224,44,35,338,50,51
Kalahandi,2022-05,45,5,8,72,9,3,62,7,12,67,14,7
Bhubaneswar,2022-06,242,31,34,333,45,44,248,31,30,394,55,54
Ganjam,2022-06,114,14,16,165,19,24,130,25,20,243,27,34
Koraput,2022-06,60,12,11,78,10,9,68,14,9,106,11,19
Sambalpur,2022-06,95,17,19,173,19,21,135,25,15,165,22,22
Puri,2022-06,98,11,13,110,14,17,87,9,18,134,18,20
Balasore,2022-06,118,12,15,134,18,15,106,10,13,183,25,22
Rourkela,2022-06,161,23,18,233,37,42,190,29,27,279,52,54
Mayurbhanj,2022-06,48,10,6,78,9,11,72,11,5,96,10,9
Cuttack,2022-06,184,25,28,293,48,35,233,32,28,337,52,45
Kalahandi,2022-06,42,5,5,78,10,9,57,8,11,74,16,10
Bhubaneswar,2022-07,239,21,32,334,49,48,249,34,39,395,46,56
Ganjam,2022-07,112,14,15,160,20,25,135,12,21,236,43,31
Koraput,2022-07,61,8,5,79,7,9,73,13,10,98,13,5
Sambalpur,2022-07,93,16,16,171,27,26,145,17,27,165,29,24
Puri,2022-07,96,17,12,107,10,10,78,17,17,132,25,21
Balasore,2022-07,115,12,17,137,16,23,103,15,12,186,20,17
Rourkela,2022-07,166,22,20,228,22,29,192,35,33,277,43,43
Mayurbhanj,2022-07,52,6,12,76,12,11,78,10,12,97,13,11
Cuttack,2022-07,181,24,32,306,40,43,237,46,32,344,54,54
Kalahandi,2022-07,42,3,4,79,12,13,54,11,12,80,7,9
Bhubaneswar,2022-08,228,32,36,335,45,53,244,34,32,385,48,46
Ganjam,2022-08,111,13,11,155,32,22,126,23,17,248,39,34
Koraput,2022-08,64,14,5,77,16,18,76,11,10,106,17,17
Sambalpur,2022-08,93,15,10,172,30,21,135,19,21,170,24,30
Puri,2022-08,101,11,8,107,17,12,78,15,5,136,21,13
Balasore,2022-08,110,13,15,130,23,22,106,16,21,189,18,36
Rourkela,2022-08,168,26,24,221,24,22,194,22,31,277,42,46
Mayurbhanj,2022-08,46,7,15,77,9,10,76,12,9,99,16,14
Cuttack,2022-08,173,34,27,303,45,33,251,41,41,344,40,46
Kalahandi,2022-08,41,5,9,78,7,7,53,1,4,78,11,13
Bhubaneswar,2022-09,224,27,39,327,38,45,246,35,33,387,56,62
Ganjam,2022-09,113,21,9,165,22,19,132,21,18,253,18,25
Koraput,2022-09,73,9,8,75,9,10,77,14,11,106,16,15
Sambalpur,2022-09,98,11,11,181,20,34,133,17,20,164,24,21
Puri,2022-09,104,11,13,112,10,9,88,12,10,144,29,21
Balasore,2022-09,108,16,14,131,32,16,101,9,15,171,21,21
Rourkela,2022-09,170,18,32,223,40,31,185,24,31,273,49,48
Mayurbhanj,2022-09,38,4,5,76,17,17,79,6,9,101,10,11
Cuttack,2022-09,180,25,30,315,46,42,251,32,41,338,60,52
Kalahandi,2022-09,37,5,3,78,8,7,50,7,7,76,10,8
Bhubaneswar,2022-10,212,26,30,320,47,43,248,41,42,381,48,41
Ganjam,2022-10,125,18,19,168,32,32,135,16,16,246,33,35
Koraput,2022-10,74,6,9,74,11,15,80,13,9,107,13,12
Sambalpur,2022-10,98,20,16,167,26,38,130,18,21,167,19,17
Puri,2022-10,102,9,11,113,14,20,90,13,16,152,21,21
Balasore,2022-10,110,11,14,147,18,21,95,12,10,171,31,29
Rourkela,2022-10,156,22,26,232,43,35,178,24,32,274,38,40
Mayurbhanj,2022-10,37,4,8,76,18,11,76,6,12,100,13,10
Cuttack,2022-10,175,32,31,319,39,48,242,17,37,346,45,57
Kalahandi,2022-10,39,7,5,79,5,7,50,3,10,78,14,13
Bhubaneswar,2022-11,208,34,24,324,40,39,247,35,30,388,64,58
Ganjam,2022-11,124,18,11,168,32,26,135,21,26,244,34,30
Koraput,2022-11,71,4,15,70,16,10,84,15,8,108,11,13
Sambalpur,2022-11,102,22,23,155,21,22,127,17,12,169,30,20
Puri,2022-11,100,12,9,107,18,20,87,18,12,152,25,22
Balasore,2022-11,107,16,24,144,23,26,97,20,16,173,20,24
Rourkela,2022-11,152,17,21,240,33,33,170,25,25,272,55,43
Mayurbhanj,2022-11,33,7,4,83,6,16,70,4,12,103,18,18
Cuttack,2022-11,176,30,30,310,53,36,222,37,31,334,58,53
Kalahandi,2022-11,41,7,7,77,11,5,43,13,5,79,14,7
Bhubaneswar,2022-12,218,31,24,325,49,50,252,40,39,394,43,51
Ganjam,2022-12,131,20,16,174,22,16,130,21,26,248,31,31
Koraput,2022-12,60,5,4,76,11,9,91,5,13,106,23,13
Sambalpur,2022-12,101,14,14,154,24,24,132,20,13,179,30,23
Puri,2022-12,103,13,16,105,16,21,93,11,11,155,27,27
Balasore,2022-12,99,14,17,141,21,22,101,22,20,169,18,23
Rourkela,2022-12,148,22,20,240,26,23,170,27,30,284,31,44
Mayurbhanj,2022-12,36,10,7,73,11,8,62,8,8,103,9,10
Cuttack,2022-12,176,25,25,327,33,40,228,26,29,339,51,65
Kalahandi,2022-12,41,7,7,83,7,6,51,4,6,86,9,15
Bhubaneswar,2023-01,225,32,39,324,45,38,253,25,36,386,57,49
Ganjam,2023-01,135,19,21,180,25,26,125,19,19,248,39,33
Koraput,2023-01,61,6,5,78,10,14,83,6,10,116,19,31
Sambalpur,2023-01,101,12,8,154,16,27,139,20,18,186,27,19
Puri,2023-01,100,14,18,100,9,13,93,20,17,155,17,21
Balasore,2023-01,96,10,12,140,15,19,103,19,15,164,31,25
Rourkela,2023-01,150,27,32,243,20,36,167,20,25,271,52,42
Mayurbhanj,2023-01,39,6,7,76,11,12,62,12,12,102,14,20
Cuttack,2023-01,176,25,27,320,38,37,225,34,35,325,57,47
Kalahandi,2023-01,41,7,3,84,10,12,49,6,7,80,13,15
Bhubaneswar,2023-02,218,29,20,331,48,54,242,36,33,394,61,55
Ganjam,2023-02,133,20,21,179,29,22,125,24,26,254,32,36
Koraput,2023-02,62,11,13,74,12,10,79,6,8,104,15,19
Sambalpur,2023-02,105,16,11,143,36,28,141,16,21,194,26,32
Puri,2023-02,96,9,12,96,20,20,96,11,8,151,18,11
Balasore,2023-02,94,13,9,136,21,20,107,19,21,170,25,27
Rourkela,2023-02,145,13,15,227,29,28,162,31,25,281,42,42
Mayurbhanj,2023-02,38,4,3,75,7,6,62,7,9,96,11,23
Cuttack,2023-02,174,26,18,321,52,40,224,34,44,335,54,50
Kalahandi,2023-02,45,7,6,82,5,9,48,8,8,78,11,5
Bhubaneswar,2023-03,227,31,32,325,31,44,245,31,42,400,56,50
Ganjam,2023-03,132,21,21,186,24,21,123,28,17,250,26,33
Koraput,2023-03,60,10,7,76,14,11,77,9,14,100,17,10
Sambalpur,2023-03,110,11,14,151,25,19,136,20,21,188,25,21
Puri,2023-03,93,7,9,96,13,18,99,16,15,158,30,28
Balasore,2023-03,98,17,14,137,20,14,105,17,14,168,32,29
Rourkela,2023-03,143,24,19,228,37,39,168,24,20,281,45,36
Mayurbhanj,2023-03,39,8,5,76,16,21,60,6,10,84,20,14
Cuttack,2023-03,182,33,21,333,47,37,214,36,39,339,58,48
Kalahandi,2023-03,46,6,3,78,10,10,48,4,6,84,9,19
Bhubaneswar,2023-04,226,24,34,312,49,51,234,34,34,406,61,51
Ganjam,2023-04,132,13,17,189,31,33,134,18,13,243,28,22
Koraput,2023-04,63,9,8,79,17,12,72,19,14,107,12,13
Sambalpur,2023-04,107,10,9,157,23,24,135,21,16,192,24,17
Puri,2023-04,91,9,12,91,26,13,100,13,9,160,18,26
Balasore,2023-04,101,12,13,143,29,25,108,17,18,171,23,23
Rourkela,2023-04,148,25,23,226,24,33,172,24,18,290,38,38
Mayurbhanj,2023-04,42,8,2,71,11,18,56,7,5,90,14,15
Cuttack,2023-04,194,23,29,343,52,52,211,28,22,349,47,60
Kalahandi,2023-04,49,3,5,78,9,12,46,7,8,74,3,7
Bhubaneswar,2023-05,216,24,27,310,41,51,234,36,32,416,54,81
Ganjam,2023-05,128,16,15,187,33,21,139,20,19,249,34,41
Koraput,2023-05,64,2,8,84,11,14,77,6,12,106,14,10
Sambalpur,2023-05,108,9,19,156,29,28,140,13,20,199,26,23
Puri,2023-05,88,14,8,104,24,21,104,15,20,152,34,31
Balasore,2023-05,100,15,14,147,14,20,107,15,20,171,26,30
Rourkela,2023-05,150,16,19,217,25,30,178,18,14,290,44,50
Mayurbhanj,2023-05,48,5,7,64,14,9,58,5,10,89,13,11
Cuttack,2023-05,188,20,21,343,43,37,217,40,39,336,48,35
Kalahandi,2023-05,47,4,10,75,16,13,45,5,5,70,8,14
Bhubaneswar,2023-06,213,20,31,300,50,45,238,34,33,389,42,38
Ganjam,2023-06,129,13,25,199,25,31,140,23,27,242,33,39
Koraput,2023-06,58,9,8,81,10,10,71,12,12,110,9,19
Sambalpur,2023-06,98,18,12,157,19,19,133,17,12,202,20,28
Puri,2023-06,94,9,15,107,25,18,99,13,9,155,22,19
Balasore,2023-06,101,18,13,141,22,26,102,19,22,167,28,24
Rourkela,2023-06,147,21,18,212,33,35,182,34,25,284,35,48
Mayurbhanj,2023-06,46,5,8,69,10,13,53,7,4,91,12,14
Cuttack,2023-06,187,28,32,349,39,30,218,40,32,349,42,43
Kalahandi,2023-06,41,5,7,78,12,14,45,12,11,64,7,6
Bhubaneswar,2023-07,202,23,23,305,34,55,239,33,46,393,64,54
Ganjam,2023-07,117,14,13,193,25,26,136,25,13,236,35,35
Koraput,2023-07,59,7,7,81,8,12,71,10,11,100,20,14
Sambalpur,2023-07,104,15,17,157,27,30,138,21,18,194,21,28
Puri,2023-07,88,13,10,114,17,16,103,18,14,158,22,23
Balasore,2023-07,106,18,18,137,25,17,99,17,17,171,20,19
Rourkela,2023-07,150,17,17,210,32,23,191,24,28,271,41,50
Mayurbhanj,2023-07,43,6,5,66,6,8,56,9,5,89,16,9
Cuttack,2023-07,183,26,22,358,40,51,226,31,28,348,53,64
Kalahandi,2023-07,39,8,8,76,12,9,46,6,4,65,17,16
Bhubaneswar,2023-08,202,21,32,284,38,26,226,40,29,403,46,43
Ganjam,2023-08,118,19,15,192,28,20,148,24,23,236,32,32
Koraput,2023-08,59,6,10,77,7,11,70,8,15,106,16,10
Sambalpur,2023-08,102,19,13,154,17,19,141,17,16,187,16,34
Puri,2023-08,91,11,11,115,20,17,107,19,12,157,26,18
Balasore,2023-08,106,18,17,145,18,14,99,11,13,172,8,10
Rourkela,2023-08,150,26,23,219,35,39,187,23,19,262,44,33
Mayurbhanj,2023-08,44,5,9,64,7,10,60,11,11,96,11,13
Cuttack,2023-08,187,31,34,347,42,51,229,32,33,337,48,46
Kalahandi,2023-08,39,3,5,79,5,6,48,8,10,66,9,12
Bhubaneswar,2023-09,191,37,29,296,38,38,237,32,34,406,44,55
Ganjam,2023-09,122,8,15,200,29,35,149,23,21,236,32,26
Koraput,2023-09,55,9,11,73,8,11,63,6,12,112,13,16
Sambalpur,2023-09,108,13,14,152,25,30,142,25,26,169,27,34
Puri,2023-09,91,12,18,118,13,14,114,16,31,165,23,22
Balasore,2023-09,107,11,19,149,20,28,97,19,22,170,27,21
Rourkela,2023-09,153,20,11,215,29,26,191,22,28,273,32,43
Mayurbhanj,2023-09,40,6,7,61,12,7,60,10,9,94,14,18
Cuttack,2023-09,184,36,46,338,30,32,228,33,44,339,46,41
Kalahandi,2023-09,37,7,6,78,6,12,46,7,8,63,15,7
Bhubaneswar,2023-10,199,29,31,296,71,54,235,30,32,395,58,65
Ganjam,2023-10,115,21,18,194,25,24,151,24,19,242,32,42
Koraput,2023-10,53,10,6,70,15,12,57,17,12,109,13,11
Sambalpur,2023-10,107,15,21,147,35,27,141,19,15,162,24,30
Puri,2023-10,85,11,13,117,20,20,99,11,10,166,28,26
Balasore,2023-10,99,15,18,141,15,11,94,13,9,176,22,19
Rourkela,2023-10,162,18,13,218,38,40,185,23,30,262,40,50
Mayurbhanj,2023-10,39,6,5,66,16,9,61,5,4,90,10,8
Cuttack,2023-10,174,19,19,336,33,39,217,36,20,344,56,39
Kalahandi,2023-10,38,7,7,72,10,15,45,8,11,71,11,11
Bhubaneswar,2023-11,197,40,37,313,48,40,233,35,37,388,56,55
Ganjam,2023-11,118,18,14,195,27,34,156,24,20,232,30,30
Koraput,2023-11,57,10,9,73,14,14,62,6,9,111,20,19
Sambalpur,2023-11,101,16,13,155,25,25,145,19,14,156,22,18
Puri,2023-11,83,15,26,117,23,21,100,10,16,168,22,25
Balasore,2023-11,96,20,19,145,23,20,98,14,16,179,26,20
Rourkela,2023-11,167,20,25,216,39,32,178,26,23,252,42,29
Mayurbhanj,2023-11,40,7,7,73,8,10,62,5,6,92,9,8
Cuttack,2023-11,174,36,24,330,44,51,233,32,35,361,45,46
Kalahandi,2023-11,38,9,3,67,11,12,42,4,4,71,12,10
Bhubaneswar,2023-12,200,33,26,321,49,43,231,29,36,389,62,56
Ganjam,2023-12,122,29,12,188,22,32,160,24,21,232,34,34
Koraput,2023-12,58,8,6,73,16,12,59,6,6,112,23,17
Sambalpur,2023-12,104,18,20,155,24,22,150,20,21,160,30,25
Puri,2023-12,72,18,10,119,18,13,94,20,14,165,24,26
Balasore,2023-12,97,19,23,148,28,15,96,19,22,185,23,32
Rourkela,2023-12,162,29,33,223,32,40,181,25,33,265,32,29
Mayurbhanj,2023-12,40,8,10,71,7,10,61,8,7,93,15,16
Cuttack,2023-12,186,30,33,323,41,54,230,45,22,360,54,54
Kalahandi,2023-12,44,2,4,66,10,12,42,4,3,73,14,9
Bhubaneswar,2024-01,207,28,30,327,51,39,224,37,37,395,56,61
Ganjam,2024-01,139,17,14,178,26,32,163,30,21,232,29,35
Koraput,2024-01,60,7,9,77,17,14,59,9,7,118,16,17
Sambalpur,2024-01,102,21,15,157,16,21,149,22,13,165,29,26
Puri,2024-01,80,16,14,124,16,14,100,17,10,163,17,14
Balasore,2024-01,93,8,8,161,23,19,93,8,8,176,29,21
Rourkela,2024-01,158,30,34,215,40,34,173,24,24,268,35,35
Mayurbhanj,2024-01,38,13,6,68,9,6,62,5,9,92,19,15
Cuttack,2024-01,183,28,28,310,44,51,253,26,28,360,59,53
Kalahandi,2024-01,42,6,5,64,10,9,43,7,10,78,9,7
Bhubaneswar,2024-02,205,36,31,339,46,33,224,31,21,390,54,64
Ganjam,2024-02,142,10,22,172,30,30,172,17,15,226,47,41
Koraput,2024-02,58,10,13,80,12,8,61,9,7,117,10,10
Sambalpur,2024-02,108,17,9,152,22,22,158,12,19,168,22,22
Puri,2024-02,82,17,15,126,13,15,107,10,12,166,28,28
Balasore,2024-02,93,13,11,165,25,33,93,15,13,184,23,25
Rourkela,2024-02,154,25,19,221,30,33,173,27,31,268,51,45
Mayurbhanj,2024-02,45,9,11,71,10,7,58,7,5,96,12,13
Cuttack,2024-02,183,32,27,303,41,48,251,37,52,366,57,61
Kalahandi,2024-02,43,8,7,65,10,14,40,9,4,80,11,10
Bhubaneswar,2024-03,210,32,21,352,47,51,234,43,33,380,55,39
Ganjam,2024-03,130,9,14,172,31,26,174,15,23,232,29,27
Koraput,2024-03,55,7,7,84,14,6,63,6,13,117,9,12
Sambalpur,2024-03,116,17,25,152,23,13,151,22,27,168,34,25
Puri,2024-03,84,18,17,124,11,18,105,16,21,166,24,12
Balasore,2024-03,95,11,15,157,14,18,95,18,15,182,26,29
Rourkela,2024-03,160,14,25,218,30,24,169,27,22,274,44,43
Mayurbhanj,2024-03,43,10,9,74,12,6,60,10,13,95,11,16
Cuttack,2024-03,188,35,33,296,46,37,236,31,42,362,44,57
Kalahandi,2024-03,44,5,2,61,9,11,45,9,5,81,6,11
Bhubaneswar,2024-04,221,34,32,348,52,51,244,31,42,396,57,56
Ganjam,2024-04,125,19,19,177,18,27,166,27,28,234,32,33
Koraput,2024-04,55,11,9,92,10,9,56,10,7,114,10,14
Sambalpur,2024-04,108,13,14,162,30,26,146,20,19,177,31,25
Puri,2024-04,85,13,11,117,18,18,100,11,15,178,14,24
Balasore,2024-04,91,6,12,153,22,29,98,20,13,179,28,30
Rourkela,2024-04,149,15,21,224,30,37,174,24,23,275,39,43
Mayurbhanj,2024-04,44,11,9,80,12,17,57,10,9,90,15,11
Cuttack,2024-04,190,27,34,305,37,42,225,27,28,349,45,38
Kalahandi,2024-04,47,5,8,59,11,9,49,5,3,76,8,13
Bhubaneswar,2024-05,223,27,33,349,59,49,233,29,26,397,45,47
Ganjam,2024-05,125,16,21,168,29,24,165,21,32,233,34,36
Koraput,2024-05,57,6,7,93,9,7,59,5,9,110,16,13
Sambalpur,2024-05,107,14,10,166,23,25,147,13,18,183,24,30
Puri,2024-05,87,6,8,117,25,22,96,20,17,168,17,20
Balasore,2024-05,85,4,6,146,25,20,105,12,20,177,24,22
Rourkela,2024-05,143,25,18,217,34,33,175,29,33,271,41,46
Mayurbhanj,2024-05,46,6,1,75,7,8,58,4,5,94,13,18
Cuttack,2024-05,183,29,17,300,40,41,224,42,40,356,48,62
Kalahandi,2024-05,44,8,6,61,8,7,51,3,6,71,10,9
Bhubaneswar,2024-06,217,30,24,359,46,46,236,36,35,395,54,54
Ganjam,2024-06,120,15,23,173,36,31,154,20,20,231,40,34
Koraput,2024-06,56,7,7,95,18,12,55,12,10,113,12,17
Sambalpur,2024-06,111,13,22,164,20,36,142,17,18,177,25,30
Puri,2024-06,85,10,11,120,12,14,99,18,19,165,16,20
Balasore,2024-06,83,15,17,151,22,22,97,15,13,179,25,25
Rourkela,2024-06,150,18,20,218,31,29,171,21,28,266,50,38
Mayurbhanj,2024-06,51,10,9,74,12,10,57,12,7,89,12,10
Cuttack,2024-06,195,32,45,299,37,40,226,43,40,342,43,44
Kalahandi,2024-06,46,3,6,62,5,12,48,5,5,72,11,10
Bhubaneswar,2024-07,223,28,29,359,51,46,237,34,33,395,59,63
Ganjam,2024-07,112,13,15,178,30,22,154,20,26,237,26,29
Koraput,2024-07,56,5,9,101,13,14,57,17,13,108,19,11
Sambalpur,2024-07,102,18,20,148,17,25,141,18,21,172,28,35
Puri,2024-07,84,13,11,118,19,19,98,14,21,161,14,20
Balasore,2024-07,81,11,11,151,23,24,99,21,18,179,25,32
Rourkela,2024-07,148,15,17,220,31,42,164,36,28,278,24,20
Mayurbhanj,2024-07,52,4,3,76,9,13,62,4,8,91,11,13
Cuttack,2024-07,182,37,24,296,36,36,229,42,41,341,60,54
Kalahandi,2024-07,43,7,7,55,6,6,48,3,4,73,11,17
Bhubaneswar,2024-08,222,26,25,364,45,55,238,39,35,391,51,58
Ganjam,2024-08,110,20,19,186,24,33,148,15,19,234,22,28
Koraput,2024-08,52,7,10,100,7,9,61,12,15,116,16,18
Sambalpur,2024-08,100,16,11,140,21,21,138,23,21,165,16,24
Puri,2024-08,86,11,7,118,23,25,91,10,12,155,19,20
Balasore,2024-08,81,14,15,150,21,14,102,18,14,172,23,23
Rourkela,2024-08,146,21,20,209,40,30,172,37,36,282,42,44
Mayurbhanj,2024-08,53,6,5,72,10,10,58,8,3,89,10,11
Cuttack,2024-08,195,33,25,296,44,46,230,35,30,347,42,54
Kalahandi,2024-08,43,6,2,55,6,10,47,8,8,67,14,16
Bhubaneswar,2024-09,223,25,29,354,49,55,242,31,39,384,54,57
Ganjam,2024-09,111,17,20,177,24,28,144,20,22,228,37,41
Koraput,2024-09,49,9,5,98,9,13,58,10,7,114,8,23
Sambalpur,2024-09,105,21,18,140,24,24,140,20,22,157,21,14
Puri,2024-09,90,10,16,116,23,15,89,12,13,154,27,37
Balasore,2024-09,80,17,10,157,17,18,106,10,12,172,25,19
Rourkela,2024-09,147,14,26,219,24,37,173,24,25,280,40,38
Mayurbhanj,2024-09,54,6,9,72,16,14,63,2,8,88,7,12
Cuttack,2024-09,203,21,30,294,38,32,235,45,31,335,55,47
Kalahandi,2024-09,47,8,3,51,8,9,47,7,9,65,9,10
Bhubaneswar,2024-10,219,38,28,348,46,56,234,38,32,381,68,52
Ganjam,2024-10,108,17,19,173,17,31,142,20,22,224,32,33
Koraput,2024-10,53,9,7,94,7,11,61,12,13,99,16,14
Sambalpur,2024-10,108,16,19,140,21,15,138,11,18,164,29,19
Puri,2024-10,84,17,11,124,18,14,88,17,11,144,26,21
Balasore,2024-10,87,19,11,156,20,26,104,23,20,178,24,37
