district,month,nbw_pending_start,nbw_received,nbw_executed_drive,nbw_disposed_other,nbw_total_disposed,nbw_pending_end,nbw_executed_st_gr,nbw_executed_before2023
Koraput,2023-06,616,75,49,27,76,615,11,8
Sambalpur,2023-06,719,144,111,62,173,690,44,8
Puri,2023-06,636,123,70,46,116,643,26,6
Balasore,2023-06,647,132,91,49,140,639,27,4
Rourkela,2023-06,655,235,144,62,206,684,55,4
Mayurbhanj,2023-06,658,61,49,24,73,646,12,9
Cuttack,2023-06,692,282,202,99,301,673,51,9
Kalahandi,2023-06,649,69,41,19,60,658,9,9
Bhubaneswar,2023-07,706,278,223,121,344,640,61,7
Ganjam,2023-07,713,175,139,64,203,685,42,9
Koraput,2023-07,615,88,54,16,70,633,18,9
Sambalpur,2023-07,690,151,83,54,137,704,20,7
Puri,2023-07,643,134,77,36,113,664,16,6
Balasore,2023-07,639,131,78,38,116,654,25,8
Rourkela,2023-07,684,209,144,75,219,674,31,6
Mayurbhanj,2023-07,646,67,32,20,52,661,9,10
Cuttack,2023-07,673,262,169,105,274,661,66,5
Kalahandi,2023-07,658,73,36,22,58,673,12,6
Bhubaneswar,2023-08,640,288,212,88,300,628,47,6
Ganjam,2023-08,685,181,126,52,178,688,46,9
Koraput,2023-08,633,72,47,27,74,631,11,6
Sambalpur,2023-08,704,151,101,67,168,687,32,14
Puri,2023-08,664,120,79,42,121,663,27,8
Balasore,2023-08,654,137,90,44,134,657,23,14
Rourkela,2023-08,674,235,169,76,245,664,45,6
Mayurbhanj,2023-08,661,73,42,22,64,670,11,6
Cuttack,2023-08,661,265,171,107,278,648,54,9
Kalahandi,2023-08,673,71,37,17,54,690,8,8
Bhubaneswar,2023-09,628,310,192,86,278,660,74,6
Ganjam,2023-09,688,181,132,62,194,675,52,5
Koraput,2023-09,631,69,42,26,68,632,10,6
Sambalpur,2023-09,687,146,106,55,161,672,36,11
Puri,2023-09,663,116,87,49,136,643,20,7
Balasore,2023-09,657,125,113,34,147,635,23,7
Rourkela,2023-09,664,215,165,64,229,650,62,4
Mayurbhanj,2023-09,670,70,47,19,66,674,14,7
Cuttack,2023-09,648,275,171,89,260,663,39,8
Kalahandi,2023-09,690,56,38,24,62,684,11,5
Bhubaneswar,2023-10,660,308,195,82,277,691,61,8
Ganjam,2023-10,675,165,115,69,184,656,34,5
Koraput,2023-10,632,86,46,36,82,636,12,13
Sambalpur,2023-10,672,130,90,58,148,654,24,9
Puri,2023-10,643,115,85,34,119,639,26,4
Balasore,2023-10,635,130,101,50,151,614,27,6
Rourkela,2023-10,650,210,163,84,247,613,63,9
Mayurbhanj,2023-10,674,69,42,21,63,680,15,8
Cuttack,2023-10,663,285,183,107,290,658,72,9
Kalahandi,2023-10,684,62,40,16,56,690,9,5
Bhubaneswar,2023-11,691,286,198,107,305,672,76,6
Ganjam,2023-11,656,202,116,54,170,688,25,4
Koraput,2023-11,636,80,59,27,86,630,12,5
Sambalpur,2023-11,654,160,84,34,118,696,27,3
Puri,2023-11,639,117,78,28,106,650,28,7
Balasore,2023-11,614,147,75,39,114,647,26,3
Rourkela,2023-11,613,218,134,76,210,621,53,6
Mayurbhanj,2023-11,680,54,44,24,68,666,9,2
Cuttack,2023-11,658,273,199,95,294,637,72,6
Kalahandi,2023-11,690,76,40,17,57,709,15,7
Bhubaneswar,2023-12,672,282,186,107,293,661,43,10
Ganjam,2023-12,688,189,122,68,190,687,29,12
Koraput,2023-12,630,72,52,31,83,619,19,7
Sambalpur,2023-12,696,142,110,42,152,686,25,12
Puri,2023-12,650,102,82,43,125,627,22,9
Balasore,2023-12,647,182,103,49,152,677,35,3
Rourkela,2023-12,621,221,151,52,203,639,47,2
Mayurbhanj,2023-12,666,86,41,23,64,688,13,4
Cuttack,2023-12,637,315,169,84,253,699,47,6
Kalahandi,2023-12,709,54,39,29,68,695,11,5
Bhubaneswar,2024-01,661,335,177,102,279,717,52,5
Ganjam,2024-01,687,170,115,65,180,677,42,6
Koraput,2024-01,619,79,61,23,84,614,15,6
Sambalpur,2024-01,686,156,109,62,171,671,40,3
Puri,2024-01,627,125,78,28,106,646,17,6
Balasore,2024-01,677,127,106,49,155,649,35,8
Rourkela,2024-01,639,217,137,64,201,655,34,2
Mayurbhanj,2024-01,688,73,45,24,69,692,15,9
Cuttack,2024-01,699,294,193,94,287,706,71,4
Kalahandi,2024-01,695,55,50,14,64,686,19,1
Bhubaneswar,2024-02,717,290,216,107,323,684,58,7
Ganjam,2024-02,677,183,121,62,183,677,43,2
Koraput,2024-02,614,76,39,28,67,623,13,9
Sambalpur,2024-02,671,148,97,55,152,667,31,5
Puri,2024-02,646,128,88,38,126,648,26,4
Balasore,2024-02,649,135,96,32,128,656,32,2
Rourkela,2024-02,655,216,154,83,237,634,56,7
Mayurbhanj,2024-02,692,75,50,24,74,693,19,10
Cuttack,2024-02,706,284,226,95,321,669,75,8
Kalahandi,2024-02,686,53,36,15,51,688,9,11
Bhubaneswar,2024-03,684,280,218,103,321,643,60,3
Ganjam,2024-03,677,170,114,69,183,664,38,7
Koraput,2024-03,623,81,50,28,78,626,15,3
Sambalpur,2024-03,667,146,96,53,149,664,37,4
Puri,2024-03,648,117,98,38,136,629,27,3
Balasore,2024-03,656,147,91,39,130,673,23,6
Rourkela,2024-03,634,266,131,51,182,718,42,7
Mayurbhanj,2024-03,693,77,49,20,69,701,14,10
Cuttack,2024-03,669,287,196,91,287,669,51,6
Kalahandi,2024-03,688,55,35,19,54,689,9,4
Bhubaneswar,2024-04,643,281,196,121,317,607,55,5
Ganjam,2024-04,664,183,110,68,178,669,27,8
Koraput,2024-04,626,79,54,20,74,631,15,3
Sambalpur,2024-04,664,146,102,42,144,666,25,3
Puri,2024-04,629,111,76,36,112,628,27,6
Balasore,2024-04,673,137,89,32,121,689,31,5
Rourkela,2024-04,718,219,139,80,219,718,34,3
Mayurbhanj,2024-04,701,68,43,24,67,702,16,10
Cuttack,2024-04,669,273,204,119,323,619,59,4
Kalahandi,2024-04,689,60,31,20,51,698,6,6
Bhubaneswar,2024-05,607,323,167,90,257,673,54,5
Ganjam,2024-05,669,188,94,73,167,690,28,5
Koraput,2024-05,631,87,56,28,84,634,16,5
Sambalpur,2024-05,666,150,91,45,136,680,34,8
Puri,2024-05,628,125,71,30,101,652,17,5
Balasore,2024-05,689,145,114,47,161,673,42,9
Rourkela,2024-05,718,220,163,66,229,709,48,9
Mayurbhanj,2024-05,702,86,48,25,73,715,13,3
Cuttack,2024-05,619,307,182,80,262,664,55,10
Kalahandi,2024-05,698,57,39,22,61,694,10,5
Bhubaneswar,2024-06,673,303,222,105,327,649,78,2
Ganjam,2024-06,690,165,123,75,198,657,38,1
Koraput,2024-06,634,71,51,24,75,630,10,7
Sambalpur,2024-06,680,146,95,59,154,672,34,3
Puri,2024-06,652,120,82,34,116,656,28,6
Balasore,2024-06,673,144,90,56,146,671,32,8
Rourkela,2024-06,709,201,141,66,207,703,39,2
Mayurbhanj,2024-06,715,85,61,18,79,721,19,7
Cuttack,2024-06,664,300,182,90,272,692,66,5
Kalahandi,2024-06,694,71,49,24,73,692,16,7
Bhubaneswar,2024-07,649,291,193,92,285,655,46,3
Ganjam,2024-07,657,171,133,64,197,631,30,5
Koraput,2024-07,630,83,48,19,67,646,13,2
Sambalpur,2024-07,672,133,107,75,182,623,24,3
Puri,2024-07,656,136,74,36,110,682,21,5
Balasore,2024-07,671,147,103,42,145,673,28,7
Rourkela,2024-07,703,224,145,111,256,671,36,5
Mayurbhanj,2024-07,721,56,46,31,77,700,15,9
Cuttack,2024-07,692,305,186,109,295,702,57,8
Kalahandi,2024-07,692,59,35,31,66,685,12,12
Bhubaneswar,2024-08,655,320,205,94,299,676,51,3
Ganjam,2024-08,631,184,152,68,220,595,50,8
Koraput,2024-08,646,87,49,23,72,661,15,4
Sambalpur,2024-08,623,136,93,58,151,608,22,7
Puri,2024-08,682,115,88,41,129,668,34,4
Balasore,2024-08,673,141,106,48,154,660,30,7
Rourkela,2024-08,671,235,161,72,233,673,37,2
Mayurbhanj,2024-08,700,69,35,27,62,707,13,7
Cuttack,2024-08,702,266,179,89,268,700,41,2
Kalahandi,2024-08,685,52,37,20,57,680,10,4
Bhubaneswar,2024-09,676,317,202,106,308,685,41,2
Ganjam,2024-09,595,173,118,46,164,604,31,3
Koraput,2024-09,661,91,58,23,81,671,21,6
Sambalpur,2024-09,608,158,93,38,131,635,26,7
Puri,2024-09,668,114,74,53,127,655,28,12
Balasore,2024-09,660,130,89,53,142,648,31,6
Rourkela,2024-09,673,218,160,68,228,663,37,4
Mayurbhanj,2024-09,707,72,49,33,82,697,19,7
Cuttack,2024-09,700,298,213,91,304,694,65,8
Kalahandi,2024-09,680,60,46,22,68,672,12,12
Bhubaneswar,2024-10,685,301,200,118,318,668,78,1
Ganjam,2024-10,604,186,117,51,168,622,40,7
Koraput,2024-10,671,66,53,24,77,660,17,4
Sambalpur,2024-10,635,160,107,61,168,627,22,1
Puri,2024-10,655,125,81,36,117,663,23,3
Balasore,2024-10,648,148,100,49,149,647,23,6
Rourkela,2024-10,663,203,142,71,213,653,29,5
Mayurbhanj,2024-10,697,68,61,20,81,684,12,7
Cuttack,2024-10,694,308,189,100,289,713,68,7
Kalahandi,2024-10,672,56,38,26,64,664,12,5
Bhubaneswar,2024-11,668,269,194,100,294,643,58,8
Ganjam,2024-11,622,166,120,58,178,610,35,4
Koraput,2024-11,660,85,50,29,79,666,16,3
Sambalpur,2024-11,627,158,84,49,133,652,32,6
Puri,2024-11,663,132,70,36,106,689,24,7
Balasore,2024-11,647,121,85,41,126,642,20,3
Rourkela,2024-11,653,227,130,56,186,694,28,13
Mayurbhanj,2024-11,684,67,47,24,71,680,14,6
Cuttack,2024-11,713,292,200,100,300,705,63,9
Kalahandi,2024-11,664,60,38,9,47,677,11,3
Bhubaneswar,2024-12,643,284,216,99,315,612,49,8
Ganjam,2024-12,610,172,101,62,163,619,28,7
Koraput,2024-12,666,75,60,22,82,659,15,5
Sambalpur,2024-12,652,152,94,52,146,658,22,2
Puri,2024-12,689,127,67,42,109,707,18,4
Balasore,2024-12,642,143,89,47,136,649,25,3
Rourkela,2024-12,694,250,157,81,238,706,42,3
Mayurbhanj,2024-12,680,78,41,24,65,693,12,0
Cuttack,2024-12,705,298,190,96,286,717,60,4
Kalahandi,2024-12,677,58,44,16,60,675,10,4
Bhubaneswar,2025-01,612,327,199,98,297,642,65,9
Ganjam,2025-01,619,214,124,61,185,648,47,6
Koraput,2025-01,659,82,44,23,67,674,15,8
Sambalpur,2025-01,658,154,87,53,140,672,29,7
Puri,2025-01,707,144,85,42,127,724,28,5
Balasore,2025-01,649,132,83,46,129,652,19,4
Rourkela,2025-01,706,229,140,72,212,723,47,6
Mayurbhanj,2025-01,693,55,51,29,80,668,19,6
Cuttack,2025-01,717,296,203,122,325,688,56,8
Kalahandi,2025-01,675,63,42,19,61,677,9,6
Bhubaneswar,2025-02,642,315,189,99,288,669,42,6
Ganjam,2025-02,648,177,109,61,170,655,33,8
Koraput,2025-02,674,76,56,17,73,677,20,10
Sambalpur,2025-02,672,133,91,43,134,671,32,4
Puri,2025-02,724,104,78,50,128,700,30,8
Balasore,2025-02,652,131,99,52,151,632,25,5
Rourkela,2025-02,723,212,161,96,257,678,50,6
Mayurbhanj,2025-02,668,68,52,12,64,672,14,3
Cuttack,2025-02,688,282,188,98,286,684,61,6
Kalahandi,2025-02,677,69,40,28,68,678,14,12
Bhubaneswar,2025-03,669,293,207,105,312,650,48,8
Ganjam,2025-03,655,170,114,53,167,658,28,6
Koraput,2025-03,677,68,48,40,88,657,12,10
Sambalpur,2025-03,671,158,118,59,177,652,46,4
Puri,2025-03,700,127,77,29,106,721,16,9
Balasore,2025-03,632,144,90,50,140,636,27,5
Rourkela,2025-03,678,221,130,83,213,686,26,11
Mayurbhanj,2025-03,672,76,34,31,65,683,9,4
Cuttack,2025-03,684,287,175,99,274,697,67,5
Kalahandi,2025-03,678,49,47,18,65,662,18,7
Bhubaneswar,2025-04,650,307,208,91,299,658,65,6
Ganjam,2025-04,658,171,138,61,199,630,47,9
Koraput,2025-04,657,80,45,24,69,668,12,7
Sambalpur,2025-04,652,155,107,46,153,654,21,5
Puri,2025-04,721,124,83,37,120,725,18,7
Balasore,2025-04,636,160,98,45,143,653,30,10
Rourkela,2025-04,686,239,186,70,256,669,67,8
Mayurbhanj,2025-04,683,66,41,25,66,683,15,8
Cuttack,2025-04,697,246,214,96,310,633,78,3
Kalahandi,2025-04,662,63,51,24,75,650,10,4
Bhubaneswar,2025-05,658,308,183,78,261,705,66,6
Ganjam,2025-05,630,174,127,68,195,609,45,5
Koraput,2025-05,668,76,51,23,74,670,12,4
Sambalpur,2025-05,654,145,92,43,135,664,22,10
Puri,2025-05,725,107,89,38,127,705,19,11
Balasore,2025-05,653,127,86,40,126,654,17,10
Rourkela,2025-05,669,256,150,78,228,697,38,10
Mayurbhanj,2025-05,683,70,46,24,70,683,10,6
Cuttack,2025-05,633,285,184,87,271,647,68,7
Kalahandi,2025-05,650,55,35,28,63,642,9,11
Bhubaneswar,2025-06,705,274,209,94,303,676,51,7
Ganjam,2025-06,609,191,121,60,181,619,32,3
Koraput,2025-06,670,87,47,25,72,685,17,8
Sambalpur,2025-06,664,146,94,53,147,663,20,6
Puri,2025-06,705,133,93,31,124,714,35,5
Balasore,2025-06,654,117,86,35,121,650,31,9
Rourkela,2025-06,697,226,160,85,245,678,58,7
Mayurbhanj,2025-06,683,54,43,20,63,674,11,5
Cuttack,2025-06,647,302,204,90,294,655,71,4
Kalahandi,2025-06,642,62,40,19,59,645,9,6
Bhubaneswar,2025-07,676,288,195,118,313,651,52,10
Ganjam,2025-07,619,185,113,62,175,629,44,2
Koraput,2025-07,685,78,70,33,103,660,19,4
Sambalpur,2025-07,663,169,101,63,164,668,35,8
Puri,2025-07,714,100,85,41,126,688,33,10
Balasore,2025-07,650,136,98,46,144,642,21,11
Rourkela,2025-07,678,189,130,80,210,657,35,9
Mayurbhanj,2025-07,674,66,48,28,76,664,10,8
Cuttack,2025-07,655,254,187,95,282,627,43,9
Kalahandi,2025-07,645,61,46,24,70,636,14,9
Bhubaneswar,2025-08,651,291,208,66,274,668,47,9
Ganjam,2025-08,629,181,125,47,172,638,47,7
Koraput,2025-08,660,78,57,33,90,648,17,3
Sambalpur,2025-08,668,127,112,46,158,637,29,4
Puri,2025-08,688,138,81,42,123,703,18,8
Balasore,2025-08,642,138,72,52,124,656,22,6
Rourkela,2025-08,657,225,139,64,203,679,54,3
Mayurbhanj,2025-08,664,77,49,22,71,670,14,5
Cuttack,2025-08,627,295,163,95,258,664,38,6
Kalahandi,2025-08,636,63,35,10,45,654,11,7
Bhubaneswar,2025-09,668,282,225,99,324,626,49,8
Ganjam,2025-09,638,187,119,45,164,661,33,4
Koraput,2025-09,648,84,64,29,93,639,14,7
Sambalpur,2025-09,637,161,92,50,142,656,22,6
Puri,2025-09,703,110,96,44,140,673,23,6
Balasore,2025-09,656,155,90,37,127,684,26,4
Rourkela,2025-09,679,223,115,84,199,703,31,11
Mayurbhanj,2025-09,670,76,32,22,54,692,11,6
Cuttack,2025-09,664,280,186,85,271,673,54,3
Kalahandi,2025-09,654,69,36,17,53,670,8,4
Bhubaneswar,2025-10,626,316,224,80,304,638,88,11
Ganjam,2025-10,661,185,125,56,181,665,25,7
Koraput,2025-10,639,75,63,21,84,630,17,6
Sambalpur,2025-10,656,162,97,48,145,673,28,8
Puri,2025-10,673,115,87,44,131,657,25,11
Balasore,2025-10,684,133,96,48,144,673,25,2
Rourkela,2025-10,703,212,162,79,241,674,35,3
Mayurbhanj,2025-10,692,76,50,20,70,698,16,4
Cuttack,2025-10,673,287,179,89,268,692,66,5
Kalahandi,2025-10,670,52,34,19,53,669,10,4
Bhubaneswar,2025-11,638,299,185,98,283,654,53,6
Ganjam,2025-11,665,187,120,80,200,652,33,9
Koraput,2025-11,630,93,37,32,69,654,14,10
Sambalpur,2025-11,673,148,100,43,143,678,31,9
Puri,2025-11,657,100,82,43,125,632,31,7
Balasore,2025-11,673,145,97,51,148,670,22,12
Rourkela,2025-11,674,233,148,74,222,685,46,4
Mayurbhanj,2025-11,698,79,58,21,79,698,22,6
Cuttack,2025-11,692,257,178,114,292,657,69,7
Kalahandi,2025-11,669,67,49,19,68,668,10,4
