district,month,cases_registered,persons_arrested,gun_rifle,pistol,revolver,mouzer,ak47,slr,others,ammunition,cartridge
Koraput,2021-12,1,1,0,0,0,0,0,0,0,1,1
Sambalpur,2021-12,6,8,1,4,2,0,0,0,2,44,22
Puri,2021-12,5,5,0,2,0,0,0,0,3,24,6
Balasore,2021-12,9,9,1,2,1,0,0,0,4,47,17
Rourkela,2021-12,14,14,2,5,2,0,0,0,2,55,21
Mayurbhanj,2021-12,2,4,0,1,0,0,0,0,2,16,7
Cuttack,2021-12,13,16,1,7,2,0,0,0,7,74,28
Kalahandi,2021-12,4,5,0,2,0,0,0,0,3,30,9
Bhubaneswar,2022-01,17,17,3,10,6,0,0,0,3,112,48
Ganjam,2022-01,13,16,2,8,4,0,0,0,5,78,42
Koraput,2022-01,9,11,1,3,2,0,0,0,3,43,25
Sambalpur,2022-01,7,7,0,2,0,0,0,0,2,28,5
Puri,2022-01,11,11,0,2,1,0,0,0,1,23,6
Balasore,2022-01,6,10,0,2,0,0,0,0,3,35,11
Rourkela,2022-01,7,9,1,3,2,0,0,0,2,46,18
Mayurbhanj,2022-01,1,2,0,0,0,0,0,0,0,0,0
Cuttack,2022-01,10,17,1,5,1,0,0,0,2,43,18
Kalahandi,2022-01,3,4,0,2,1,0,0,0,1,17,11
Bhubaneswar,2022-02,21,22,6,15,7,0,0,0,8,176,79
Ganjam,2022-02,5,11,1,2,1,0,0,0,3,38,14
Koraput,2022-02,3,6,0,1,0,0,0,0,3,26,7
Sambalpur,2022-02,6,10,0,3,1,0,0,0,3,37,14
Puri,2022-02,3,4,0,1,0,0,0,0,3,25,11
Balasore,2022-02,7,7,0,4,1,0,0,0,3,53,17
Rourkela,2022-02,8,10,2,4,2,0,0,0,3,50,18
Mayurbhanj,2022-02,4,5,0,1,0,0,0,0,3,24,12
Cuttack,2022-02,14,18,2,6,3,0,0,0,5,90,26
Kalahandi,2022-02,3,3,1,3,1,0,0,0,2,45,9
Bhubaneswar,2022-03,17,22,2,8,5,0,0,0,4,79,38
Ganjam,2022-03,5,7,0,2,0,0,0,0,3,36,6
Koraput,2022-03,4,4,0,1,0,0,0,0,2,14,6
Sambalpur,2022-03,8,12,3,8,3,0,0,0,4,109,34
Puri,2022-03,7,7,0,1,0,0,0,0,4,29,8
Balasore,2022-03,9,17,1,4,2,0,0,0,2,34,17
Rourkela,2022-03,10,11,1,2,0,0,0,0,5,45,18
Mayurbhanj,2022-03,3,3,0,0,0,0,0,0,0,1,2
Cuttack,2022-03,11,12,1,7,1,0,0,0,4,73,42
Kalahandi,2022-03,4,4,0,2,2,0,0,0,3,34,10
Bhubaneswar,2022-04,16,16,2,10,4,0,0,0,5,114,40
Ganjam,2022-04,7,11,1,3,2,0,0,0,3,34,26
Koraput,2022-04,3,4,0,2,1,0,0,0,2,31,7
Sambalpur,2022-04,12,12,1,6,2,0,0,0,3,65,28
Puri,2022-04,8,13,1,5,1,0,0,0,3,48,24
Balasore,2022-04,9,9,2,6,3,0,0,0,5,76,24
Rourkela,2022-04,9,9,1,5,1,0,0,0,4,56,23
Mayurbhanj,2022-04,3,3,0,1,1,0,0,0,2,17,5
Cuttack,2022-04,11,15,1,4,1,0,0,0,3,51,17
Kalahandi,2022-04,2,2,0,0,0,0,0,0,2,9,6
Bhubaneswar,2022-05,13,20,1,4,2,0,0,0,2,51,15
Ganjam,2022-05,11,12,1,4,1,0,0,0,7,57,25
Koraput,2022-05,2,3,0,0,0,0,0,0,2,15,5
Sambalpur,2022-05,5,6,0,2,0,0,0,0,2,20,8
Puri,2022-05,8,12,1,3,0,0,0,0,2,37,17
Balasore,2022-05,8,12,0,3,0,0,0,0,3,25,14
Rourkela,2022-05,11,11,1,3,2,0,0,0,4,63,21
Mayurbhanj,2022-05,5,5,0,3,1,0,0,0,5,50,19
Cuttack,2022-05,11,11,2,4,1,0,0,0,5,64,18
Kalahandi,2022-05,4,7,0,2,0,0,0,0,4,28,15
Bhubaneswar,2022-06,15,15,2,9,4,0,0,0,3,75,39
Ganjam,2022-06,11,11,2,4,3,0,0,0,7,98,23
Koraput,2022-06,6,6,0,2,0,0,0,0,5,29,14
Sambalpur,2022-06,10,12,2,5,1,0,0,0,3,48,27
Puri,2022-06,8,15,1,4,0,0,0,0,3,47,12
Balasore,2022-06,7,11,1,2,1,0,0,0,5,45,27
Rourkela,2022-06,13,15,1,4,1,0,0,0,3,40,22
Mayurbhanj,2022-06,0,4,0,0,0,0,0,0,0,1,0
Cuttack,2022-06,7,7,0,1,1,0,0,0,3,26,10
Kalahandi,2022-06,2,3,0,1,0,0,0,0,2,21,6
Bhubaneswar,2022-07,18,38,2,8,4,0,0,0,4,89,43
Ganjam,2022-07,10,10,1,5,2,0,0,0,2,44,26
Koraput,2022-07,3,6,0,1,0,0,0,0,3,21,8
Sambalpur,2022-07,8,14,2,6,2,0,0,0,4,70,36
Puri,2022-07,3,4,0,1,0,0,0,0,2,19,4
Balasore,2022-07,13,16,3,7,3,0,0,0,9,112,42
Rourkela,2022-07,10,11,2,4,2,0,0,0,6,77,28
Mayurbhanj,2022-07,5,5,0,2,1,0,0,0,2,25,6
Cuttack,2022-07,9,13,1,5,2,0,0,0,3,53,21
Kalahandi,2022-07,4,4,0,2,1,0,0,0,2,32,14
Bhubaneswar,2022-08,14,14,2,10,6,0,0,0,3,110,44
Ganjam,2022-08,8,11,0,1,1,0,0,0,2,16,6
Koraput,2022-08,3,3,0,1,0,0,0,0,2,19,5
Sambalpur,2022-08,8,12,0,1,1,0,0,0,3,24,7
Puri,2022-08,3,4,1,4,1,0,0,0,3,47,13
Balasore,2022-08,5,6,0,3,1,0,0,0,3,45,12
Rourkela,2022-08,12,19,1,3,2,0,0,0,4,53,19
Mayurbhanj,2022-08,4,6,0,1,0,0,0,0,5,39,12
Cuttack,2022-08,11,13,0,4,2,0,0,0,3,46,17
Kalahandi,2022-08,1,1,0,1,0,0,0,0,1,8,3
Bhubaneswar,2022-09,15,20,2,5,1,0,0,0,5,57,34
Ganjam,2022-09,9,12,1,4,1,0,0,0,4,55,18
Koraput,2022-09,2,2,0,2,1,0,0,0,1,19,9
Sambalpur,2022-09,7,7,1,2,1,0,0,0,5,49,19
Puri,2022-09,9,14,1,4,2,0,0,0,3,57,19
Balasore,2022-09,8,8,0,4,1,0,0,0,3,44,8
Rourkela,2022-09,8,11,0,2,0,0,0,0,4,19,10
Mayurbhanj,2022-09,6,9,1,3,1,0,0,0,4,46,15
Cuttack,2022-09,12,15,2,9,1,0,0,0,6,87,42
Kalahandi,2022-09,2,3,0,1,0,0,0,0,1,11,4
Bhubaneswar,2022-10,17,33,2,6,1,0,0,0,6,73,35
Ganjam,2022-10,4,6,0,1,0,0,0,0,1,11,5
Koraput,2022-10,2,2,0,0,0,0,0,0,1,5,3
Sambalpur,2022-10,7,8,0,3,0,0,0,0,3,27,17
Puri,2022-10,8,12,0,4,2,0,0,0,2,50,18
Balasore,2022-10,7,11,0,1,0,0,0,0,4,29,14
Rourkela,2022-10,10,10,2,7,4,0,0,0,4,81,27
Mayurbhanj,2022-10,5,6,1,4,1,0,0,0,2,43,21
Cuttack,2022-10,19,38,3,8,2,0,0,0,4,72,25
Kalahandi,2022-10,1,1,0,0,0,0,0,0,1,3,1
Bhubaneswar,2022-11,11,11,1,5,2,0,0,0,1,46,16
Ganjam,2022-11,12,12,1,7,1,0,0,0,5,74,35
Koraput,2022-11,3,3,0,1,0,0,0,0,2,15,8
Sambalpur,2022-11,10,14,0,2,1,0,0,0,2,24,10
Puri,2022-11,5,6,0,1,0,0,0,0,3,13,7
Balasore,2022-11,7,7,0,1,0,0,0,0,3,16,11
Rourkela,2022-11,16,27,2,8,4,0,0,0,3,91,26
Mayurbhanj,2022-11,2,4,0,2,0,0,0,0,3,28,6
Cuttack,2022-11,20,20,4,8,5,0,0,0,8,113,68
Kalahandi,2022-11,5,6,0,4,0,0,0,0,3,38,10
Bhubaneswar,2022-12,15,22,3,6,3,0,0,0,5,91,27
Ganjam,2022-12,12,13,1,4,1,0,0,0,3,44,17
Koraput,2022-12,4,4,0,0,0,0,0,0,1,4,2
Sambalpur,2022-12,3,5,0,0,0,0,0,0,3,15,4
Puri,2022-12,8,8,2,4,1,0,0,0,7,66,29
Balasore,2022-12,7,13,1,5,1,0,0,0,5,70,29
Rourkela,2022-12,12,17,1,3,1,0,0,0,6,60,18
Mayurbhanj,2022-12,1,1,0,1,0,0,0,0,2,11,6
Cuttack,2022-12,16,20,3,8,3,0,0,0,5,92,45
Kalahandi,2022-12,4,4,1,4,1,0,0,0,1,35,18
Bhubaneswar,2023-01,14,21,2,5,2,0,0,0,7,82,27
Ganjam,2023-01,5,6,1,4,1,0,0,0,4,51,31
Koraput,2023-01,5,8,1,2,1,0,0,0,3,35,15
Sambalpur,2023-01,7,9,0,2,1,0,0,0,4,43,19
Puri,2023-01,6,10,1,4,1,0,0,0,4,40,13
Balasore,2023-01,7,13,0,1,0,0,0,0,2,12,8
Rourkela,2023-01,12,12,1,2,1,0,0,0,3,32,14
Mayurbhanj,2023-01,3,7,0,1,0,0,0,0,1,4,5
Cuttack,2023-01,16,19,2,8,3,0,0,0,3,79,21
Kalahandi,2023-01,3,4,0,0,0,0,0,0,1,5,0
Bhubaneswar,2023-02,14,14,3,10,4,0,0,0,3,113,35
Ganjam,2023-02,8,8,1,5,2,0,0,0,2,60,19
Koraput,2023-02,3,3,0,0,0,0,0,0,2,12,8
Sambalpur,2023-02,7,8,1,3,1,0,0,0,7,65,24
Puri,2023-02,4,5,0,1,0,0,0,0,3,21,2
Balasore,2023-02,8,8,0,2,1,0,0,0,5,45,21
Rourkela,2023-02,13,15,1,3,1,0,0,0,5,44,14
Mayurbhanj,2023-02,3,3,0,1,0,0,0,0,5,20,6
Cuttack,2023-02,21,27,4,10,4,0,0,0,7,128,50
Kalahandi,2023-02,3,5,0,1,0,0,0,0,1,7,11
Bhubaneswar,2023-03,16,20,2,12,5,0,0,0,2,102,44
Ganjam,2023-03,8,11,1,3,1,0,0,0,5,52,20
Koraput,2023-03,1,1,0,0,0,0,0,0,1,2,4
Sambalpur,2023-03,9,13,1,5,2,0,0,0,6,65,28
Puri,2023-03,5,5,0,1,1,0,0,0,4,29,13
Balasore,2023-03,6,11,1,2,1,0,0,0,4,37,14
Rourkela,2023-03,15,15,2,9,3,0,0,0,2,75,30
Mayurbhanj,2023-03,3,3,0,1,1,0,0,0,2,18,6
Cuttack,2023-03,16,17,3,13,7,0,0,0,3,115,32
Kalahandi,2023-03,2,2,0,1,0,0,0,0,1,9,7
Bhubaneswar,2023-04,20,28,2,7,3,0,0,0,7,109,35
Ganjam,2023-04,9,9,2,5,2,0,0,0,2,59,28
Koraput,2023-04,5,5,1,2,1,0,0,0,4,40,23
Sambalpur,2023-04,6,6,0,1,0,0,0,0,2,12,7
Puri,2023-04,4,7,0,1,0,0,0,0,2,11,4
Balasore,2023-04,6,12,0,2,0,0,0,0,2,28,9
Rourkela,2023-04,2,3,0,1,0,0,0,0,2,18,4
Mayurbhanj,2023-04,4,4,0,0,0,0,0,0,1,8,1
Cuttack,2023-04,15,15,3,7,3,0,0,0,6,94,45
Kalahandi,2023-04,5,5,0,1,0,0,0,0,1,12,6
Bhubaneswar,2023-05,14,14,3,15,5,0,0,0,4,130,56
Ganjam,2023-05,6,9,0,1,0,0,0,0,3,25,9
Koraput,2023-05,2,2,0,2,1,0,0,0,2,25,10
Sambalpur,2023-05,5,5,0,1,1,0,0,0,2,22,7
Puri,2023-05,8,8,1,6,2,0,0,0,6,77,41
Balasore,2023-05,5,5,0,3,1,0,0,0,2,37,16
Rourkela,2023-05,9,11,0,2,1,0,0,0,3,32,18
Mayurbhanj,2023-05,0,2,0,0,0,0,0,0,2,13,3
Cuttack,2023-05,16,23,2,5,1,0,0,0,6,68,28
Kalahandi,2023-05,3,5,0,1,0,0,0,0,2,12,8
Bhubaneswar,2023-06,14,22,2,6,4,0,0,0,7,82,35
Ganjam,2023-06,8,8,1,5,4,0,0,0,6,76,19
Koraput,2023-06,4,6,0,2,1,0,0,0,2,22,9
Sambalpur,2023-06,8,12,0,1,0,0,0,0,3,31,10
Puri,2023-06,11,12,0,3,1,0,0,0,3,32,16
Balasore,2023-06,7,11,1,3,0,0,0,0,3,26,10
Rourkela,2023-06,10,16,1,3,1,0,0,0,5,50,24
Mayurbhanj,2023-06,4,5,1,2,0,0,0,0,4,32,22
Cuttack,2023-06,11,11,1,4,2,0,0,0,5,60,27
Kalahandi,2023-06,2,4,0,1,0,0,0,0,1,14,8
Bhubaneswar,2023-07,12,23,2,5,3,0,0,0,4,57,25
Ganjam,2023-07,6,6,1,6,1,0,0,0,4,64,18
Koraput,2023-07,5,9,0,3,1,0,0,0,2,33,10
Sambalpur,2023-07,3,3,0,2,0,0,0,0,2,18,5
Puri,2023-07,6,9,0,3,1,0,0,0,3,23,15
Balasore,2023-07,6,6,0,2,2,0,0,0,4,42,6
Rourkela,2023-07,6,6,1,7,3,0,0,0,2,54,27
Mayurbhanj,2023-07,4,4,0,2,1,0,0,0,1,21,4
Cuttack,2023-07,14,23,2,6,2,0,0,0,5,71,38
Kalahandi,2023-07,3,5,0,3,1,0,0,0,2,25,14
Bhubaneswar,2023-08,19,19,2,10,4,0,0,0,5,109,47
Ganjam,2023-08,7,12,1,5,2,0,0,0,3,63,26
Koraput,2023-08,4,5,0,1,1,0,0,0,2,26,7
Sambalpur,2023-08,3,4,0,0,0,0,0,0,2,5,5
Puri,2023-08,6,11,0,2,1,0,0,0,2,20,9
Balasore,2023-08,7,7,2,5,3,0,0,0,1,46,20
Rourkela,2023-08,5,7,0,1,1,0,0,0,2,22,11
Mayurbhanj,2023-08,2,2,0,0,0,0,0,0,1,7,1
Cuttack,2023-08,18,18,2,6,3,0,0,0,5,77,31
Kalahandi,2023-08,4,5,0,1,0,0,0,0,3,16,12
Bhubaneswar,2023-09,11,11,1,4,2,0,0,0,2,43,25
Ganjam,2023-09,11,11,1,3,1,0,0,0,4,43,16
Koraput,2023-09,4,4,1,3,0,0,0,0,4,40,18
Sambalpur,2023-09,5,7,1,2,0,0,0,0,4,31,14
Puri,2023-09,5,12,0,2,1,0,0,0,2,28,11
Balasore,2023-09,14,16,2,8,4,0,0,0,2,88,40
Rourkela,2023-09,18,18,2,5,3,0,0,0,4,56,31
Mayurbhanj,2023-09,3,4,0,0,0,0,0,0,3,16,3
Cuttack,2023-09,16,16,1,10,4,0,0,0,3,89,33
Kalahandi,2023-09,2,2,0,0,0,0,0,0,3,10,11
Bhubaneswar,2023-10,11,19,1,2,1,0,0,0,4,42,14
Ganjam,2023-10,7,7,0,2,0,0,0,0,4,32,17
Koraput,2023-10,6,6,1,4,3,0,0,0,5,62,29
Sambalpur,2023-10,5,5,0,2,0,0,0,0,2,28,6
Puri,2023-10,4,4,0,2,0,0,0,0,4,30,5
Balasore,2023-10,5,9,1,3,1,0,0,0,3,44,19
Rourkela,2023-10,5,5,0,1,1,0,0,0,4,35,9
Mayurbhanj,2023-10,5,12,0,2,0,0,0,0,3,28,7
Cuttack,2023-10,14,17,1,3,2,0,0,0,5,56,26
Kalahandi,2023-10,3,5,0,1,1,0,0,0,3,36,12
Bhubaneswar,2023-11,20,20,2,12,3,0,0,0,7,115,49
Ganjam,2023-11,11,16,3,9,5,0,0,0,1,99,40
Koraput,2023-11,7,7,1,3,1,0,0,0,3,38,28
Sambalpur,2023-11,12,12,1,7,2,0,0,0,4,80,30
Puri,2023-11,5,5,0,2,0,0,0,0,3,17,8
Balasore,2023-11,2,2,0,1,0,0,0,0,2,17,6
Rourkela,2023-11,10,10,1,4,1,0,0,0,4,37,14
Mayurbhanj,2023-11,1,1,0,0,0,0,0,0,0,0,1
Cuttack,2023-11,7,7,1,3,0,0,0,0,2,33,15
Kalahandi,2023-11,3,3,1,2,1,0,0,0,2,31,5
Bhubaneswar,2023-12,14,17,2,3,1,0,0,0,5,43,24
Ganjam,2023-12,7,7,1,3,2,0,0,0,2,42,7
Koraput,2023-12,6,12,0,2,0,0,0,0,3,30,5
Sambalpur,2023-12,6,10,0,1,0,0,0,0,4,33,12
Puri,2023-12,5,7,0,1,0,0,0,0,2,13,9
Balasore,2023-12,5,7,1,2,1,0,0,0,3,38,12
Rourkela,2023-12,18,29,2,10,4,0,0,0,2,88,33
Mayurbhanj,2023-12,4,5,0,1,0,0,0,0,2,11,4
Cuttack,2023-12,16,23,3,10,4,0,0,0,6,141,31
Kalahandi,2023-12,3,3,0,1,0,0,0,0,3,15,7
Bhubaneswar,2024-01,13,17,0,2,1,0,0,0,4,31,14
Ganjam,2024-01,6,7,1,5,2,0,0,0,1,40,16
Koraput,2024-01,4,4,0,2,1,0,0,0,2,24,8
Sambalpur,2024-01,5,5,0,1,0,0,0,0,4,26,11
Puri,2024-01,12,15,1,3,2,0,0,0,5,46,18
Balasore,2024-01,6,10,1,4,2,0,0,0,2,45,21
Rourkela,2024-01,11,16,1,5,1,0,0,0,7,73,35
Mayurbhanj,2024-01,4,4,0,2,1,0,0,0,1,19,11
Cuttack,2024-01,13,13,1,4,2,0,0,0,7,64,31
Kalahandi,2024-01,3,3,0,0,0,0,0,0,2,13,4
Bhubaneswar,2024-02,9,9,0,3,1,0,0,0,3,46,13
Ganjam,2024-02,15,22,1,4,2,0,0,0,2,48,21
Koraput,2024-02,5,6,0,1,0,0,0,0,2,9,8
Sambalpur,2024-02,8,8,1,4,2,0,0,0,5,52,18
Puri,2024-02,6,7,0,2,1,0,0,0,3,30,15
Balasore,2024-02,5,5,0,2,1,0,0,0,2,19,11
Rourkela,2024-02,9,19,1,2,1,0,0,0,4,32,18
Mayurbhanj,2024-02,2,2,0,0,0,0,0,0,1,4,2
Cuttack,2024-02,14,21,2,6,3,0,0,0,6,82,32
Kalahandi,2024-02,1,1,0,0,0,0,0,0,1,5,2
Bhubaneswar,2024-03,15,15,2,5,2,0,0,0,9,82,38
Ganjam,2024-03,10,13,1,4,3,0,0,0,3,53,17
Koraput,2024-03,1,1,0,0,0,0,0,0,1,8,3
Sambalpur,2024-03,7,10,0,1,0,0,0,0,3,27,7
Puri,2024-03,2,5,0,2,0,0,0,0,2,20,16
Balasore,2024-03,6,6,0,0,0,0,0,0,0,2,0
Rourkela,2024-03,11,11,1,8,3,0,0,0,3,79,38
Mayurbhanj,2024-03,2,2,0,1,0,0,0,0,2,13,10
Cuttack,2024-03,15,15,1,6,2,0,0,0,5,74,34
Kalahandi,2024-03,4,7,0,2,0,0,0,0,3,25,8
Bhubaneswar,2024-04,14,14,2,4,1,0,0,0,6,62,25
Ganjam,2024-04,11,14,2,4,1,0,0,0,5,55,30
Koraput,2024-04,3,3,0,1,0,0,0,0,2,17,9
Sambalpur,2024-04,5,9,0,1,0,0,0,0,2,15,5
Puri,2024-04,13,18,3,9,4,0,0,0,2,76,33
Balasore,2024-04,1,1,0,0,0,0,0,0,0,0,3
Rourkela,2024-04,11,18,3,8,4,0,0,0,2,80,34
Mayurbhanj,2024-04,5,6,0,0,0,0,0,0,1,5,4
Cuttack,2024-04,14,21,2,8,2,0,0,0,6,86,42
Kalahandi,2024-04,4,4,0,2,1,0,0,0,2,21,5
Bhubaneswar,2024-05,17,17,2,8,2,0,0,0,3,64,37
Ganjam,2024-05,7,7,0,3,1,0,0,0,3,35,12
Koraput,2024-05,2,3,0,1,0,0,0,0,1,6,2
Sambalpur,2024-05,10,11,1,4,1,0,0,0,4,46,19
Puri,2024-05,2,3,0,2,0,0,0,0,2,31,9
Balasore,2024-05,6,10,1,3,1,0,0,0,2,34,10
Rourkela,2024-05,14,18,3,8,5,0,0,0,8,119,46
Mayurbhanj,2024-05,5,5,0,2,0,0,0,0,3,26,9
Cuttack,2024-05,19,19,2,8,4,0,0,0,10,115,49
Kalahandi,2024-05,2,4,0,1,0,0,0,0,2,11,3
Bhubaneswar,2024-06,17,17,2,6,4,0,0,0,4,84,34
Ganjam,2024-06,7,9,0,1,0,0,0,0,3,26,9
Koraput,2024-06,10,10,1,6,2,0,0,0,3,62,27
Sambalpur,2024-06,9,10,1,7,2,0,0,0,5,75,33
Puri,2024-06,3,3,0,1,1,0,0,0,2,10,7
Balasore,2024-06,3,5,0,0,0,0,0,0,1,4,1
Rourkela,2024-06,13,24,1,5,2,0,0,0,4,51,20
Mayurbhanj,2024-06,2,2,0,1,0,0,0,0,2,18,3
Cuttack,2024-06,15,18,3,10,5,0,0,0,8,118,67
Kalahandi,2024-06,6,7,0,4,1,0,0,0,2,29,8
Bhubaneswar,2024-07,14,18,1,6,2,0,0,0,6,82,35
Ganjam,2024-07,4,4,0,1,1,0,0,0,3,24,12
Koraput,2024-07,3,3,0,0,0,0,0,0,2,10,4
Sambalpur,2024-07,6,10,1,3,2,0,0,0,2,37,10
Puri,2024-07,5,5,0,2,1,0,0,0,2,25,9
Balasore,2024-07,3,5,1,2,0,0,0,0,4,34,11
Rourkela,2024-07,5,12,0,2,1,0,0,0,3,25,12
Mayurbhanj,2024-07,6,8,0,1,0,0,0,0,2,17,6
Cuttack,2024-07,11,17,1,2,1,0,0,0,3,29,12
Kalahandi,2024-07,7,9,1,3,3,0,0,0,4,52,25
Bhubaneswar,2024-08,19,19,2,6,4,0,0,0,7,90,40
Ganjam,2024-08,13,17,2,7,1,0,0,0,3,69,23
Koraput,2024-08,8,8,1,4,2,0,0,0,4,55,28
Sambalpur,2024-08,5,5,0,0,0,0,0,0,2,10,1
Puri,2024-08,2,2,0,0,0,0,0,0,0,0,1
Balasore,2024-08,6,11,1,4,2,0,0,0,2,41,16
Rourkela,2024-08,11,15,1,5,1,0,0,0,2,46,17
Mayurbhanj,2024-08,4,5,0,1,0,0,0,0,2,16,3
Cuttack,2024-08,9,12,1,3,2,0,0,0,4,65,26
Kalahandi,2024-08,2,2,0,0,0,0,0,0,2,11,4
Bhubaneswar,2024-09,21,28,4,14,2,0,0,0,4,117,49
Ganjam,2024-09,7,10,0,3,1,0,0,0,3,26,13
Koraput,2024-09,3,3,0,1,0,0,0,0,2,19,6
Sambalpur,2024-09,9,16,3,9,5,0,0,0,1,88,34
Puri,2024-09,9,9,1,5,2,0,0,0,4,69,24
Balasore,2024-09,5,5,0,1,0,0,0,0,2,8,5
Rourkela,2024-09,10,10,1,2,1,0,0,0,2,39,13
Mayurbhanj,2024-09,4,8,0,1,0,0,0,0,2,9,6
Cuttack,2024-09,11,11,1,2,1,0,0,0,3,36,8
Kalahandi,2024-09,6,6,0,1,0,0,0,0,2,21,7
Bhubaneswar,2024-10,19,27,3,7,3,0,0,0,7,109,36
Ganjam,2024-10,10,10,1,4,1,0,0,0,6,56,20
Koraput,2024-10,2,3,0,0,0,0,0,0,0,3,0
Sambalpur,2024-10,7,7,0,2,1,0,0,0,2,28,8
Puri,2024-10,7,7,0,4,0,0,0,0,3,38,4
Balasore,2024-10,8,8,1,8,2,0,0,0,4,72,31
Rourkela,2024-10,7,13,2,4,1,0,0,0,4,49,13
Mayurbhanj,2024-10,7,11,1,3,2,0,0,0,2,42,15
Cuttack,2024-10,16,16,2,9,4,0,0,0,2,90,24
Kalahandi,2024-10,4,5,0,1,1,0,0,0,2,18,7
Bhubaneswar,2024-11,13,17,1,5,2,0,0,0,5,62,25
Ganjam,2024-11,6,6,1,2,1,0,0,0,5,57,18
Koraput,2024-11,2,2,0,0,0,0,0,0,3,14,6
Sambalpur,2024-11,12,12,1,3,2,0,0,0,3,40,15
Puri,2024-11,7,8,0,2,1,0,0,0,2,36,10
Balasore,2024-11,4,8,0,2,0,0,0,0,2,20,5
Rourkela,2024-11,17,23,4,14,7,0,0,0,0,123,57
Mayurbhanj,2024-11,0,2,0,0,0,0,0,0,1,4,2
Cuttack,2024-11,13,23,1,8,4,0,0,0,4,77,33
Kalahandi,2024-11,3,5,0,1,0,0,0,0,3,21,8
Bhubaneswar,2024-12,15,16,2,10,4,0,0,0,4,104,44
Ganjam,2024-12,6,8,0,2,1,0,0,0,2,29,11
Koraput,2024-12,4,4,0,1,0,0,0,0,3,10,10
Sambalpur,2024-12,6,6,0,2,1,0,0,0,2,27,10
Puri,2024-12,6,12,0,2,1,0,0,0,2,27,11
Balasore,2024-12,10,10,3,12,2,0,0,0,5,111,45
Rourkela,2024-12,23,27,3,15,5,0,0,0,10,158,66
Mayurbhanj,2024-12,5,9,1,2,1,0,0,0,4,38,18
Cuttack,2024-12,14,15,1,5,1,0,0,0,6,90,26
Kalahandi,2024-12,1,2,0,0,0,0,0,0,0,1,0
Bhubaneswar,2025-01,12,12,0,3,0,0,0,0,4,34,15
Ganjam,2025-01,8,8,1,3,0,0,0,0,3,36,12
Koraput,2025-01,5,5,0,1,0,0,0,0,2,12,5
Sambalpur,2025-01,5,9,1,3,1,0,0,0,4,40,23
Puri,2025-01,4,13,0,0,0,0,0,0,3,15,5
Balasore,2025-01,12,19,3,9,3,0,0,0,3,73,30
Rourkela,2025-01,9,17,1,5,2,0,0,0,6,63,28
Mayurbhanj,2025-01,2,2,0,1,0,0,0,0,1,10,2
Cuttack,2025-01,23,31,2,10,2,0,0,0,7,103,38
Kalahandi,2025-01,5,9,0,2,1,0,0,0,2,27,1
Bhubaneswar,2025-02,13,20,2,3,1,0,0,0,5,59,33
Ganjam,2025-02,19,32,2,4,4,0,0,0,5,87,31
Koraput,2025-02,6,11,0,3,1,0,0,0,3,38,11
Sambalpur,2025-02,9,14,2,4,2,0,0,0,5,46,24
Puri,2025-02,8,8,0,1,0,0,0,0,4,25,13
Balasore,2025-02,7,10,0,1,0,0,0,0,3,22,8
Rourkela,2025-02,10,11,3,6,4,0,0,0,3,91,22
Mayurbhanj,2025-02,3,4,0,1,0,0,0,0,4,26,12
Cuttack,2025-02,10,10,2,10,2,0,0,0,4,92,28
Kalahandi,2025-02,2,2,0,0,0,0,0,0,0,0,1
Bhubaneswar,2025-03,21,22,3,13,4,0,0,0,6,145,57
Ganjam,2025-03,16,20,3,6,4,0,0,0,7,120,37
Koraput,2025-03,2,2,0,0,0,0,0,0,1,3,3
Sambalpur,2025-03,9,13,1,4,1,0,0,0,4,60,14
Puri,2025-03,6,6,0,0,0,0,0,0,2,12,2
Balasore,2025-03,9,11,0,1,1,0,0,0,3,17,11
Rourkela,2025-03,10,13,1,4,1,0,0,0,4,58,23
Mayurbhanj,2025-03,1,1,0,0,0,0,0,0,2,11,6
Cuttack,2025-03,12,16,1,4,1,0,0,0,5,55,22
Kalahandi,2025-03,5,10,2,6,2,0,0,0,3,76,22
Bhubaneswar,2025-04,17,17,1,6,3,0,0,0,2,58,19
Ganjam,2025-04,8,8,1,5,1,0,0,0,3,48,18
Koraput,2025-04,3,3,0,1,0,0,0,0,3,22,10
Sambalpur,2025-04,5,7,0,1,0,0,0,0,2,18,3
Puri,2025-04,6,9,0,1,1,0,0,0,3,30,11
Balasore,2025-04,5,5,1,3,0,0,0,0,3,32,13
Rourkela,2025-04,17,25,4,15,3,0,0,0,5,126,48
Mayurbhanj,2025-04,2,3,0,1,0,0,0,0,2,11,11
Cuttack,2025-04,14,16,4,9,3,0,0,0,8,115,50
Kalahandi,2025-04,5,6,0,1,0,0,0,0,2,13,6
Bhubaneswar,2025-05,14,18,1,4,1,0,0,0,1,34,12
Ganjam,2025-05,10,10,1,6,1,0,0,0,3,53,25
Koraput,2025-05,6,11,1,3,2,0,0,0,4,48,25
Sambalpur,2025-05,8,8,1,3,1,0,0,0,2,29,10
Puri,2025-05,4,11,0,1,0,0,0,0,2,12,3
Balasore,2025-05,7,10,1,3,2,0,0,0,4,45,20
Rourkela,2025-05,15,19,4,11,7,0,0,0,6,145,53
Mayurbhanj,2025-05,2,4,0,1,0,0,0,0,2,16,8
Cuttack,2025-05,18,21,3,9,3,0,0,0,6,109,41
