district,month,cases_registered,persons_arrested,details_of_seizure
Kalahandi,2023-06,15,15,82 pouches of country liquor
Bhubaneswar,2023-07,87,106,96 bottles of IMFL
Ganjam,2023-07,50,55,501 kg of fermented wash destroyed
Koraput,2023-07,26,29,81 liters of ID liquor
Sambalpur,2023-07,40,42,537 kg of fermented wash destroyed
Puri,2023-07,31,39,115 liters of ID liquor
Balasore,2023-07,48,52,106 liters of ID liquor
Rourkela,2023-07,70,79,94 pouches of country liquor
Mayurbhanj,2023-07,24,24,95 bottles of IMFL
Cuttack,2023-07,90,101,483 kg of fermented wash destroyed
Kalahandi,2023-07,22,22,96 pouches of country liquor
Bhubaneswar,2023-08,87,92,118 liters of ID liquor
Ganjam,2023-08,52,61,112 liters of ID liquor
Koraput,2023-08,27,27,102 liters of ID liquor
Sambalpur,2023-08,51,52,101 liters of ID liquor
Puri,2023-08,37,37,105 bottles of IMFL
Balasore,2023-08,30,30,98 bottles of IMFL
Rourkela,2023-08,64,78,99 liters of ID liquor
Mayurbhanj,2023-08,22,26,113 liters of ID liquor
Cuttack,2023-08,103,130,108 bottles of IMFL
Kalahandi,2023-08,13,13,102 liters of ID liquor
Bhubaneswar,2023-09,89,112,96 pouches of country liquor
Ganjam,2023-09,62,67,105 pouches of country liquor
Koraput,2023-09,29,29,96 pouches of country liquor
Sambalpur,2023-09,56,67,500 kg of fermented wash destroyed
Puri,2023-09,37,37,94 pouches of country liquor
Balasore,2023-09,42,42,468 kg of fermented wash destroyed
Rourkela,2023-09,62,62,91 bottles of IMFL
Mayurbhanj,2023-09,14,27,119 bottles of IMFL
Cuttack,2023-09,76,91,104 liters of ID liquor
Kalahandi,2023-09,23,27,108 bottles of IMFL
Bhubaneswar,2023-10,94,111,100 bottles of IMFL
Ganjam,2023-10,49,49,512 kg of fermented wash destroyed
Koraput,2023-10,20,23,96 pouches of country liquor
Sambalpur,2023-10,49,49,93 bottles of IMFL
Puri,2023-10,33,45,454 kg of fermented wash destroyed
Balasore,2023-10,37,37,101 liters of ID liquor
Rourkela,2023-10,74,74,90 liters of ID liquor
Mayurbhanj,2023-10,22,33,484 kg of fermented wash destroyed
Cuttack,2023-10,81,81,104 bottles of IMFL
Kalahandi,2023-10,19,23,90 bottles of IMFL
Bhubaneswar,2023-11,101,123,504 kg of fermented wash destroyed
Ganjam,2023-11,49,56,102 bottles of IMFL
Koraput,2023-11,21,24,120 pouches of country liquor
Sambalpur,2023-11,24,28,108 pouches of country liquor
Puri,2023-11,26,30,96 pouches of country liquor
Balasore,2023-11,40,49,97 pouches of country liquor
Rourkela,2023-11,66,77,518 kg of fermented wash destroyed
Mayurbhanj,2023-11,19,19,93 pouches of country liquor
Cuttack,2023-11,90,113,97 pouches of country liquor
Kalahandi,2023-11,14,16,90 bottles of IMFL
Bhubaneswar,2023-12,91,101,109 liters of ID liquor
Ganjam,2023-12,62,67,106 liters of ID liquor
Koraput,2023-12,20,21,95 bottles of IMFL
Sambalpur,2023-12,47,49,107 pouches of country liquor
Puri,2023-12,24,33,133 pouches of country liquor
Balasore,2023-12,51,58,96 bottles of IMFL
Rourkela,2023-12,62,77,104 pouches of country liquor
Mayurbhanj,2023-12,28,30,108 bottles of IMFL
Cuttack,2023-12,88,101,104 pouches of country liquor
Kalahandi,2023-12,17,17,104 pouches of country liquor
Bhubaneswar,2024-01,95,102,114 bottles of IMFL
Ganjam,2024-01,56,60,497 kg of fermented wash destroyed
Koraput,2024-01,26,26,102 bottles of IMFL
Sambalpur,2024-01,40,50,114 liters of ID liquor
Puri,2024-01,35,36,94 bottles of IMFL
Balasore,2024-01,38,38,101 liters of ID liquor
Rourkela,2024-01,83,83,88 pouches of country liquor
Mayurbhanj,2024-01,20,21,84 liters of ID liquor
Cuttack,2024-01,86,116,516 kg of fermented wash destroyed
Kalahandi,2024-01,22,24,69 bottles of IMFL
Bhubaneswar,2024-02,94,98,109 bottles of IMFL
Ganjam,2024-02,54,59,119 bottles of IMFL
Koraput,2024-02,22,22,98 liters of ID liquor
Sambalpur,2024-02,39,39,94 pouches of country liquor
Puri,2024-02,40,52,493 kg of fermented wash destroyed
Balasore,2024-02,39,39,76 bottles of IMFL
Rourkela,2024-02,72,85,100 liters of ID liquor
Mayurbhanj,2024-02,17,17,508 kg of fermented wash destroyed
Cuttack,2024-02,93,108,519 kg of fermented wash destroyed
Kalahandi,2024-02,20,21,122 pouches of country liquor
Bhubaneswar,2024-03,87,115,108 liters of ID liquor
Ganjam,2024-03,70,80,100 bottles of IMFL
Koraput,2024-03,26,26,101 pouches of country liquor
Sambalpur,2024-03,49,56,98 liters of ID liquor
Puri,2024-03,33,48,521 kg of fermented wash destroyed
Balasore,2024-03,48,78,499 kg of fermented wash destroyed
Rourkela,2024-03,55,55,94 pouches of country liquor
Mayurbhanj,2024-03,21,24,113 pouches of country liquor
Cuttack,2024-03,75,84,94 pouches of country liquor
Kalahandi,2024-03,21,22,101 pouches of country liquor
Bhubaneswar,2024-04,83,91,123 liters of ID liquor
Ganjam,2024-04,55,74,514 kg of fermented wash destroyed
Koraput,2024-04,26,28,93 liters of ID liquor
Sambalpur,2024-04,49,49,93 pouches of country liquor
Puri,2024-04,32,32,85 pouches of country liquor
Balasore,2024-04,39,40,89 liters of ID liquor
Rourkela,2024-04,67,71,99 pouches of country liquor
Mayurbhanj,2024-04,22,22,99 pouches of country liquor
Cuttack,2024-04,90,90,99 liters of ID liquor
Kalahandi,2024-04,18,18,114 pouches of country liquor
Bhubaneswar,2024-05,97,112,109 bottles of IMFL
Ganjam,2024-05,51,54,80 bottles of IMFL
Koraput,2024-05,30,47,88 liters of ID liquor
Sambalpur,2024-05,35,35,104 bottles of IMFL
Puri,2024-05,33,35,105 bottles of IMFL
Balasore,2024-05,40,49,502 kg of fermented wash destroyed
Rourkela,2024-05,58,65,90 bottles of IMFL
Mayurbhanj,2024-05,19,19,107 liters of ID liquor
Cuttack,2024-05,83,91,102 liters of ID liquor
Kalahandi,2024-05,20,24,103 liters of ID liquor
Bhubaneswar,2024-06,101,117,92 liters of ID liquor
Ganjam,2024-06,55,56,100 bottles of IMFL
Koraput,2024-06,23,23,115 liters of ID liquor
Sambalpur,2024-06,47,49,99 bottles of IMFL
Puri,2024-06,32,32,101 bottles of IMFL
Balasore,2024-06,41,44,530 kg of fermented wash destroyed
Rourkela,2024-06,63,70,97 liters of ID liquor
Mayurbhanj,2024-06,20,20,471 kg of fermented wash destroyed
Cuttack,2024-06,89,119,503 kg of fermented wash destroyed
Kalahandi,2024-06,17,17,102 pouches of country liquor
Bhubaneswar,2024-07,95,102,530 kg of fermented wash destroyed
Ganjam,2024-07,48,52,97 liters of ID liquor
Koraput,2024-07,18,18,97 pouches of country liquor
Sambalpur,2024-07,55,68,113 bottles of IMFL
Puri,2024-07,35,35,103 pouches of country liquor
Balasore,2024-07,49,65,104 pouches of country liquor
Rourkela,2024-07,55,79,96 pouches of country liquor
Mayurbhanj,2024-07,18,18,496 kg of fermented wash destroyed
Cuttack,2024-07,105,128,98 liters of ID liquor
Kalahandi,2024-07,16,16,113 liters of ID liquor
Bhubaneswar,2024-08,106,110,477 kg of fermented wash destroyed
Ganjam,2024-08,49,49,94 pouches of country liquor
Koraput,2024-08,22,29,453 kg of fermented wash destroyed
Sambalpur,2024-08,43,53,108 liters of ID liquor
Puri,2024-08,39,47,103 pouches of country liquor
Balasore,2024-08,43,50,98 pouches of country liquor
Rourkela,2024-08,57,66,103 pouches of country liquor
Mayurbhanj,2024-08,21,25,512 kg of fermented wash destroyed
Cuttack,2024-08,92,92,475 kg of fermented wash destroyed
Kalahandi,2024-08,12,16,110 bottles of IMFL
Bhubaneswar,2024-09,95,100,482 kg of fermented wash destroyed
Ganjam,2024-09,40,40,91 liters of ID liquor
Koraput,2024-09,30,40,547 kg of fermented wash destroyed
Sambalpur,2024-09,35,39,463 kg of fermented wash destroyed
Puri,2024-09,38,42,86 pouches of country liquor
Balasore,2024-09,40,41,536 kg of fermented wash destroyed
Rourkela,2024-09,48,60,472 kg of fermented wash destroyed
Mayurbhanj,2024-09,24,31,84 pouches of country liquor
Cuttack,2024-09,86,120,101 bottles of IMFL
Kalahandi,2024-09,13,13,112 pouches of country liquor
Bhubaneswar,2024-10,87,119,85 liters of ID liquor
Ganjam,2024-10,54,75,522 kg of fermented wash destroyed
Koraput,2024-10,24,29,527 kg of fermented wash destroyed
Sambalpur,2024-10,39,39,91 liters of ID liquor
Puri,2024-10,33,36,93 liters of ID liquor
Balasore,2024-10,38,38,103 bottles of IMFL
Rourkela,2024-10,56,70,101 liters of ID liquor
Mayurbhanj,2024-10,22,28,115 bottles of IMFL
Cuttack,2024-10,90,114,97 pouches of country liquor
Kalahandi,2024-10,18,29,534 kg of fermented wash destroyed
Bhubaneswar,2024-11,78,88,111 bottles of IMFL
Ganjam,2024-11,45,45,99 liters of ID liquor
Koraput,2024-11,31,31,104 pouches of country liquor
Sambalpur,2024-11,43,54,496 kg of fermented wash destroyed
Puri,2024-11,38,39,92 bottles of IMFL
Balasore,2024-11,44,56,110 pouches of country liquor
Rourkela,2024-11,59,65,95 liters of ID liquor
Mayurbhanj,2024-11,27,28,469 kg of fermented wash destroyed
Cuttack,2024-11,76,78,102 pouches of country liquor
Kalahandi,2024-11,17,19,476 kg of fermented wash destroyed
Bhubaneswar,2024-12,98,113,84 liters of ID liquor
Ganjam,2024-12,58,61,106 liters of ID liquor
Koraput,2024-12,22,22,100 liters of ID liquor
Sambalpur,2024-12,48,60,475 kg of fermented wash destroyed
Puri,2024-12,41,52,102 liters of ID liquor
Balasore,2024-12,40,47,108 pouches of country liquor
Rourkela,2024-12,55,55,88 pouches of country liquor
Mayurbhanj,2024-12,15,15,502 kg of fermented wash destroyed
Cuttack,2024-12,84,95,495 kg of fermented wash destroyed
Kalahandi,2024-12,15,15,91 bottles of IMFL
Bhubaneswar,2025-01,89,102,85 bottles of IMFL
Ganjam,2025-01,49,57,470 kg of fermented wash destroyed
Koraput,2025-01,19,25,96 bottles of IMFL
Sambalpur,2025-01,48,55,547 kg of fermented wash destroyed
Puri,2025-01,39,48,494 kg of fermented wash destroyed
Balasore,2025-01,48,48,103 pouches of country liquor
Rourkela,2025-01,75,82,511 kg of fermented wash destroyed
Mayurbhanj,2025-01,23,29,498 kg of fermented wash destroyed
Cuttack,2025-01,75,85,491 kg of fermented wash destroyed
Kalahandi,2025-01,25,29,84 liters of ID liquor
Bhubaneswar,2025-02,95,107,84 pouches of country liquor
Ganjam,2025-02,67,67,97 liters of ID liquor
Koraput,2025-02,26,28,490 kg of fermented wash destroyed
Sambalpur,2025-02,44,44,116 liters of ID liquor
Puri,2025-02,37,39,101 liters of ID liquor
Balasore,2025-02,39,44,109 bottles of IMFL
Rourkela,2025-02,54,61,489 kg of fermented wash destroyed
Mayurbhanj,2025-02,30,30,95 liters of ID liquor
Cuttack,2025-02,77,85,110 bottles of IMFL
Kalahandi,2025-02,23,24,100 liters of ID liquor
Bhubaneswar,2025-03,86,97,100 bottles of IMFL
Ganjam,2025-03,47,47,109 liters of ID liquor
Koraput,2025-03,21,24,114 pouches of country liquor
Sambalpur,2025-03,42,65,101 liters of ID liquor
Puri,2025-03,41,45,100 pouches of country liquor
Balasore,2025-03,42,47,473 kg of fermented wash destroyed
Rourkela,2025-03,60,61,532 kg of fermented wash destroyed
Mayurbhanj,2025-03,25,25,96 bottles of IMFL
Cuttack,2025-03,93,110,82 pouches of country liquor
Kalahandi,2025-03,18,18,86 liters of ID liquor
Bhubaneswar,2025-04,105,112,109 pouches of country liquor
Ganjam,2025-04,51,65,511 kg of fermented wash destroyed
Koraput,2025-04,28,40,523 kg of fermented wash destroyed
Sambalpur,2025-04,38,45,484 kg of fermented wash destroyed
Puri,2025-04,34,34,94 bottles of IMFL
Balasore,2025-04,38,53,492 kg of fermented wash destroyed
Rourkela,2025-04,62,83,114 pouches of country liquor
Mayurbhanj,2025-04,20,21,96 liters of ID liquor
Cuttack,2025-04,84,97,107 bottles of IMFL
Kalahandi,2025-04,17,28,82 liters of ID liquor
Bhubaneswar,2025-05,91,99,510 kg of fermented wash destroyed
Ganjam,2025-05,63,80,105 bottles of IMFL
Koraput,2025-05,20,22,493 kg of fermented wash destroyed
Sambalpur,2025-05,41,41,482 kg of fermented wash destroyed
Puri,2025-05,47,60,104 pouches of country liquor
Balasore,2025-05,44,51,84 pouches of country liquor
Rourkela,2025-05,55,69,104 liters of ID liquor
Mayurbhanj,2025-05,25,44,106 bottles of IMFL
Cuttack,2025-05,88,108,83 bottles of IMFL
Kalahandi,2025-05,18,18,483 kg of fermented wash destroyed
Bhubaneswar,2025-06,98,105,104 bottles of IMFL
Ganjam,2025-06,58,58,89 bottles of IMFL
Koraput,2025-06,21,28,508 kg of fermented wash destroyed
Sambalpur,2025-06,56,72,96 liters of ID liquor
Puri,2025-06,26,26,94 liters of ID liquor
Balasore,2025-06,50,55,104 pouches of country liquor
Rourkela,2025-06,71,91,89 bottles of IMFL
Mayurbhanj,2025-06,23,29,96 bottles of IMFL
Cuttack,2025-06,87,87,434 kg of fermented wash destroyed
Kalahandi,2025-06,14,15,106 bottles of IMFL
Bhubaneswar,2025-07,94,104,483 kg of fermented wash destroyed
Ganjam,2025-07,58,62,102 pouches of country liquor
Koraput,2025-07,29,37,98 bottles of IMFL
Sambalpur,2025-07,44,49,102 pouches of country liquor
Puri,2025-07,28,38,495 kg of fermented wash destroyed
Balasore,2025-07,39,45,97 bottles of IMFL
Rourkela,2025-07,88,91,89 bottles of IMFL
Mayurbhanj,2025-07,26,41,111 liters of ID liquor
Cuttack,2025-07,84,87,480 kg of fermented wash destroyed
Kalahandi,2025-07,22,26,114 bottles of IMFL
Bhubaneswar,2025-08,97,100,490 kg of fermented wash destroyed
Ganjam,2025-08,64,71,111 liters of ID liquor
Koraput,2025-08,23,28,91 bottles of IMFL
Sambalpur,2025-08,44,44,101 bottles of IMFL
Puri,2025-08,37,37,484 kg of fermented wash destroyed
Balasore,2025-08,51,62,108 pouches of country liquor
Rourkela,2025-08,70,74,92 pouches of country liquor
Mayurbhanj,2025-08,28,28,122 bottles of IMFL
Cuttack,2025-08,95,95,101 bottles of IMFL
Kalahandi,2025-08,9,9,497 kg of fermented wash destroyed
Bhubaneswar,2025-09,99,124,504 kg of fermented wash destroyed
Ganjam,2025-09,60,67,104 pouches of country liquor
Koraput,2025-09,18,25,110 liters of ID liquor
Sambalpur,2025-09,50,63,129 liters of ID liquor
Puri,2025-09,40,40,102 liters of ID liquor
Balasore,2025-09,44,48,516 kg of fermented wash destroyed
Rourkela,2025-09,62,78,99 pouches of country liquor
Mayurbhanj,2025-09,29,29,138 bottles of IMFL
Cuttack,2025-09,73,76,496 kg of fermented wash destroyed
Kalahandi,2025-09,25,25,108 liters of ID liquor
Bhubaneswar,2025-10,93,111,95 liters of ID liquor
Ganjam,2025-10,44,44,113 pouches of country liquor
Koraput,2025-10,29,29,525 kg of fermented wash destroyed
Sambalpur,2025-10,30,33,96 bottles of IMFL
Puri,2025-10,42,55,92 liters of ID liquor
Balasore,2025-10,47,52,111 pouches of country liquor
Rourkela,2025-10,64,74,489 kg of fermented wash destroyed
Mayurbhanj,2025-10,25,32,100 bottles of IMFL
Cuttack,2025-10,80,81,108 liters of ID liquor
Kalahandi,2025-10,21,24,113 pouches of country liquor
Bhubaneswar,2025-11,94,104,101 bottles of IMFL
Ganjam,2025-11,67,84,85 pouches of country liquor
Koraput,2025-11,31,36,109 pouches of country liquor
Sambalpur,2025-11,48,59,92 bottles of IMFL
Puri,2025-11,22,23,91 pouches of country liquor
Balasore,2025-11,31,35,100 liters of ID liquor
Rourkela,2025-11,78,102,108 pouches of country liquor
Mayurbhanj,2025-11,19,24,98 bottles of IMFL
Cuttack,2025-11,72,79,97 bottles of IMFL
Kalahandi,2025-11,19,26,95 pouches of country liquor
