district,month,notice_129_bnss,bound_129_bnss,notice_126_bnss,bound_126_bnss,booked_under_nsa,nbw_executed,chanda_cases_registered,chanda_persons_arrested,blockings_border_sealed,organized_crime_action
Ganjam,2022-05,89,53,70,70,1,139,3,5,13,4
Koraput,2022-05,41,27,26,19,2,74,1,1,3,1
Sambalpur,2022-05,80,70,63,47,0,121,7,3,19,2
Puri,2022-05,58,43,47,40,2,92,3,5,10,2
Balasore,2022-05,73,56,47,31,1,111,3,10,14,1
Rourkela,2022-05,108,76,72,46,1,182,7,11,22,2
Mayurbhanj,2022-05,27,20,30,20,0,53,2,0,7,2
Cuttack,2022-05,140,116,98,54,1,232,6,7,22,5
Kalahandi,2022-05,19,12,22,14,1,53,3,5,10,2
Bhubaneswar,2022-06,146,118,131,102,4,219,9,11,32,2
Ganjam,2022-06,114,98,69,69,2,153,3,4,12,4
Koraput,2022-06,47,37,41,28,0,63,3,1,8,0
Sambalpur,2022-06,78,78,52,51,0,107,3,7,17,0
Puri,2022-06,60,52,48,36,0,100,3,1,14,1
Balasore,2022-06,62,47,54,51,0,99,4,8,15,0
Rourkela,2022-06,123,97,87,87,1,186,8,9,24,2
Mayurbhanj,2022-06,44,41,36,28,2,61,0,1,6,1
Cuttack,2022-06,137,88,144,113,0,223,5,9,36,1
Kalahandi,2022-06,36,25,22,15,3,51,1,1,6,0
Bhubaneswar,2022-07,155,133,113,76,0,226,7,11,24,1
Ganjam,2022-07,88,71,75,50,3,164,8,9,22,1
Koraput,2022-07,42,29,34,24,3,68,4,2,9,1
Sambalpur,2022-07,72,58,55,42,3,114,7,4,17,5
Puri,2022-07,63,60,54,41,2,90,6,5,12,2
Balasore,2022-07,74,62,54,42,0,116,5,5,12,3
Rourkela,2022-07,113,89,87,64,1,183,4,12,29,5
Mayurbhanj,2022-07,39,39,34,33,2,60,0,1,9,1
Cuttack,2022-07,152,116,97,80,1,228,5,14,32,6
Kalahandi,2022-07,21,19,23,15,1,43,1,4,5,1
Bhubaneswar,2022-08,176,144,143,104,5,226,8,16,38,4
Ganjam,2022-08,91,72,65,39,2,126,5,8,22,2
Koraput,2022-08,39,37,26,26,4,65,4,2,8,0
Sambalpur,2022-08,92,61,51,44,0,124,7,8,18,0
Puri,2022-08,50,48,53,25,0,97,7,3,17,4
Balasore,2022-08,80,76,51,46,2,105,6,6,14,0
Rourkela,2022-08,112,85,85,72,0,165,5,10,17,4
Mayurbhanj,2022-08,36,20,22,6,1,62,1,1,5,0
Cuttack,2022-08,137,113,107,84,1,218,2,12,22,1
Kalahandi,2022-08,37,29,19,13,2,54,0,1,6,0
Bhubaneswar,2022-09,156,107,104,81,0,227,6,13,25,2
Ganjam,2022-09,91,59,74,55,1,140,4,6,20,2
Koraput,2022-09,34,26,29,22,0,61,1,3,9,0
Sambalpur,2022-09,70,44,65,57,3,140,4,6,13,1
Puri,2022-09,62,36,70,46,0,100,5,7,17,0
Balasore,2022-09,61,36,51,27,0,100,2,6,21,2
Rourkela,2022-09,111,96,78,58,0,198,7,7,24,1
Mayurbhanj,2022-09,24,15,28,25,2,61,1,3,6,0
Cuttack,2022-09,147,103,105,73,0,230,8,7,24,5
Kalahandi,2022-09,31,21,27,19,1,53,0,3,6,4
Bhubaneswar,2022-10,153,115,111,83,1,243,14,4,26,1
Ganjam,2022-10,96,68,68,45,2,154,3,8,20,5
Koraput,2022-10,34,26,38,30,0,64,2,3,9,0
Sambalpur,2022-10,62,50,66,61,2,110,3,4,12,2
Puri,2022-10,62,32,72,63,2,97,4,3,14,1
Balasore,2022-10,61,45,52,44,1,99,3,4,17,1
Rourkela,2022-10,102,86,89,75,1,176,9,10,30,1
Mayurbhanj,2022-10,34,30,27,19,2,58,3,0,2,3
Cuttack,2022-10,141,103,107,97,1,188,8,8,31,5
Kalahandi,2022-10,33,26,23,21,1,62,1,3,4,1
Bhubaneswar,2022-11,158,133,107,82,2,222,6,12,25,2
Ganjam,2022-11,97,97,72,58,1,133,9,8,27,3
Koraput,2022-11,52,37,35,26,1,58,2,2,13,1
Sambalpur,2022-11,75,52,55,43,0,106,1,2,12,2
Puri,2022-11,63,51,50,34,0,107,3,6,13,1
Balasore,2022-11,78,59,44,32,1,114,5,5,11,1
Rourkela,2022-11,114,107,88,69,1,209,4,4,11,3
Mayurbhanj,2022-11,40,27,34,30,2,49,0,4,7,1
Cuttack,2022-11,122,93,129,97,2,220,9,10,31,3
Kalahandi,2022-11,25,23,20,13,0,45,1,2,4,1
Bhubaneswar,2022-12,145,120,136,123,1,238,10,7,29,5
Ganjam,2022-12,99,72,69,58,0,161,11,7,16,3
Koraput,2022-12,36,31,33,25,1,60,4,2,9,1
Sambalpur,2022-12,67,45,55,55,2,142,5,6,12,0
Puri,2022-12,68,50,43,41,3,101,0,3,12,1
Balasore,2022-12,75,59,52,52,2,130,7,6,16,3
Rourkela,2022-12,119,93,77,69,0,150,6,7,27,2
Mayurbhanj,2022-12,31,26,23,16,1,49,2,0,9,3
Cuttack,2022-12,136,107,119,99,2,226,3,13,30,2
Kalahandi,2022-12,25,20,23,23,2,67,3,3,7,0
Bhubaneswar,2023-01,139,116,138,105,0,276,12,20,26,0
Ganjam,2023-01,81,61,66,54,2,139,3,7,16,1
Koraput,2023-01,38,24,29,29,1,58,4,2,9,1
Sambalpur,2023-01,82,72,55,46,2,136,6,5,16,2
Puri,2023-01,53,40,48,41,0,108,4,2,8,5
Balasore,2023-01,81,63,56,41,0,118,4,7,11,2
Rourkela,2023-01,129,111,68,48,0,194,9,13,27,4
Mayurbhanj,2023-01,42,33,24,24,0,56,3,2,8,3
Cuttack,2023-01,139,110,119,85,0,232,11,9,28,2
Kalahandi,2023-01,32,29,20,20,2,53,2,1,10,2
Bhubaneswar,2023-02,159,138,115,93,0,252,5,14,28,4
Ganjam,2023-02,84,78,69,64,2,133,5,8,26,1
Koraput,2023-02,42,31,28,14,0,66,2,1,5,2
Sambalpur,2023-02,80,46,60,38,0,122,5,5,14,1
Puri,2023-02,54,44,37,34,3,79,2,7,10,0
Balasore,2023-02,71,63,62,40,1,106,4,4,11,1
Rourkela,2023-02,106,94,91,78,0,170,9,7,23,2
Mayurbhanj,2023-02,37,29,23,15,0,69,5,3,8,0
Cuttack,2023-02,147,121,109,103,2,221,13,7,28,3
Kalahandi,2023-02,36,32,22,14,2,50,3,2,3,0
Bhubaneswar,2023-03,142,120,111,111,2,252,8,7,29,5
Ganjam,2023-03,82,71,99,83,0,146,3,7,11,3
Koraput,2023-03,35,35,27,13,2,58,2,0,5,0
Sambalpur,2023-03,77,67,47,36,2,111,4,6,13,3
Puri,2023-03,49,43,39,37,0,96,2,4,9,2
Balasore,2023-03,65,39,60,42,0,120,7,4,19,1
Rourkela,2023-03,102,70,83,73,1,189,5,8,15,1
Mayurbhanj,2023-03,37,36,34,29,0,53,3,1,9,1
Cuttack,2023-03,137,116,109,91,5,244,5,9,24,3
Kalahandi,2023-03,35,22,17,11,0,46,2,2,6,1
Bhubaneswar,2023-04,150,108,116,116,0,209,11,12,33,3
Ganjam,2023-04,92,60,63,37,1,120,9,5,16,0
Koraput,2023-04,35,35,29,26,1,59,1,3,7,0
Sambalpur,2023-04,71,54,63,63,1,125,3,5,18,1
Puri,2023-04,62,62,49,46,0,77,1,0,20,1
Balasore,2023-04,60,60,61,46,3,114,1,10,12,1
Rourkela,2023-04,112,104,104,74,1,175,3,10,21,3
Mayurbhanj,2023-04,40,26,31,25,2,45,4,1,10,0
Cuttack,2023-04,130,108,87,75,1,220,9,8,20,6
Kalahandi,2023-04,36,23,15,15,0,58,1,3,8,3
Bhubaneswar,2023-05,157,129,105,78,4,227,6,12,32,4
Ganjam,2023-05,99,95,74,54,0,142,8,8,19,1
Koraput,2023-05,32,29,33,25,1,68,3,3,9,1
Sambalpur,2023-05,78,64,70,58,1,111,6,8,10,0
Puri,2023-05,58,46,45,34,0,93,4,2,13,0
Balasore,2023-05,63,48,55,42,2,109,4,4,19,1
Rourkela,2023-05,104,79,83,46,2,195,10,9,22,1
Mayurbhanj,2023-05,41,31,19,7,0,53,4,2,10,2
Cuttack,2023-05,134,96,127,77,3,235,8,8,23,5
Kalahandi,2023-05,33,12,28,25,2,51,4,4,12,1
Bhubaneswar,2023-06,116,102,120,102,1,227,15,6,31,2
Ganjam,2023-06,75,60,71,53,1,147,4,9,17,3
Koraput,2023-06,37,30,30,15,1,66,0,3,13,3
Sambalpur,2023-06,80,60,62,35,1,125,3,3,12,0
Puri,2023-06,63,47,53,44,0,97,6,1,14,0
Balasore,2023-06,67,53,60,47,2,119,6,3,10,2
Rourkela,2023-06,125,97,95,89,1,186,7,10,22,1
Mayurbhanj,2023-06,38,28,30,26,2,60,1,5,3,1
Cuttack,2023-06,133,105,106,66,1,213,8,9,27,0
Kalahandi,2023-06,40,36,20,13,0,39,3,0,4,1
Bhubaneswar,2023-07,162,135,108,80,3,232,6,14,37,4
Ganjam,2023-07,78,63,69,57,1,151,6,6,23,3
Koraput,2023-07,46,39,29,17,0,67,1,4,11,1
Sambalpur,2023-07,65,56,70,51,0,121,3,4,14,1
Puri,2023-07,71,53,53,50,1,91,7,6,10,1
Balasore,2023-07,67,67,59,40,2,114,1,6,10,0
Rourkela,2023-07,124,92,91,65,0,181,7,3,24,4
Mayurbhanj,2023-07,31,23,29,20,0,66,0,2,6,0
Cuttack,2023-07,147,115,108,79,2,220,3,8,20,2
Kalahandi,2023-07,31,24,27,26,1,41,2,2,3,0
Bhubaneswar,2023-08,152,129,107,86,2,230,7,7,41,2
Ganjam,2023-08,87,75,75,65,2,156,6,7,11,2
Koraput,2023-08,41,35,41,40,0,74,2,1,9,0
Sambalpur,2023-08,71,47,62,42,0,106,4,9,15,1
Puri,2023-08,51,34,39,31,0,88,1,3,13,0
Balasore,2023-08,70,51,53,43,0,112,6,4,20,1
Rourkela,2023-08,116,94,96,85,1,161,4,10,24,1
Mayurbhanj,2023-08,32,29,20,15,2,55,1,2,15,1
Cuttack,2023-08,122,94,110,91,1,213,13,10,32,5
Kalahandi,2023-08,30,27,26,20,1,57,1,2,6,0
Bhubaneswar,2023-09,135,114,104,77,1,254,5,12,37,3
Ganjam,2023-09,85,66,77,60,1,166,4,3,16,3
Koraput,2023-09,39,25,34,31,4,72,1,1,16,0
Sambalpur,2023-09,66,42,61,54,1,122,5,4,16,3
Puri,2023-09,62,56,67,43,0,86,3,7,13,0
Balasore,2023-09,72,55,68,49,5,111,4,6,12,0
Rourkela,2023-09,112,85,103,71,3,181,4,4,22,1
Mayurbhanj,2023-09,41,41,25,24,2,63,3,1,2,1
Cuttack,2023-09,144,106,105,73,1,233,5,8,24,2
Kalahandi,2023-09,40,29,32,29,1,56,0,3,6,1
Bhubaneswar,2023-10,155,119,130,100,0,220,6,8,41,4
Ganjam,2023-10,87,79,69,67,0,129,9,5,14,1
Koraput,2023-10,39,33,26,22,0,56,2,0,8,2
Sambalpur,2023-10,91,72,58,39,0,114,5,3,14,2
Puri,2023-10,66,60,47,33,2,109,5,6,13,1
Balasore,2023-10,56,51,53,44,1,121,5,6,16,2
Rourkela,2023-10,125,92,85,65,1,159,11,7,22,4
Mayurbhanj,2023-10,29,18,18,18,2,58,2,2,9,2
Cuttack,2023-10,135,116,121,115,1,226,12,14,26,2
Kalahandi,2023-10,31,18,17,17,1,41,0,1,7,1
Bhubaneswar,2023-11,132,109,125,106,2,209,11,9,24,6
Ganjam,2023-11,86,64,83,71,2,148,5,4,18,3
Koraput,2023-11,40,34,30,23,1,68,1,5,6,0
Sambalpur,2023-11,79,62,70,57,1,123,2,3,12,2
Puri,2023-11,63,55,41,37,0,91,5,5,15,3
Balasore,2023-11,60,48,59,40,1,104,5,7,16,0
Rourkela,2023-11,99,67,86,50,1,174,6,11,18,2
Mayurbhanj,2023-11,41,37,34,21,2,50,4,1,7,2
Cuttack,2023-11,139,107,116,101,1,228,9,10,35,4
Kalahandi,2023-11,34,29,22,22,1,49,3,1,10,0
Bhubaneswar,2023-12,132,104,145,115,2,222,13,12,31,2
Ganjam,2023-12,86,75,83,69,0,151,6,6,25,2
Koraput,2023-12,42,36,34,24,2,75,4,0,5,0
Sambalpur,2023-12,70,43,53,50,3,128,6,3,13,1
Puri,2023-12,70,48,47,30,1,97,0,5,4,1
Balasore,2023-12,71,71,56,55,0,88,5,4,14,2
Rourkela,2023-12,118,108,93,75,0,156,5,7,20,1
Mayurbhanj,2023-12,30,22,28,19,0,46,3,5,6,1
Cuttack,2023-12,133,116,108,94,4,212,5,13,28,2
Kalahandi,2023-12,36,25,18,17,2,53,3,5,7,2
Bhubaneswar,2024-01,143,136,115,115,0,249,7,17,25,0
Ganjam,2024-01,91,68,68,57,0,128,3,6,23,4
Koraput,2024-01,50,34,30,30,0,69,0,3,10,1
Sambalpur,2024-01,77,59,58,54,2,131,5,4,16,3
Puri,2024-01,59,57,48,32,2,97,0,6,16,2
Balasore,2024-01,71,58,53,38,1,137,4,9,14,0
Rourkela,2024-01,109,95,88,59,0,180,7,8,19,1
Mayurbhanj,2024-01,30,19,31,25,0,60,4,2,4,1
Cuttack,2024-01,156,112,111,84,0,197,10,6,34,3
Kalahandi,2024-01,38,29,15,12,0,40,3,0,8,0
Bhubaneswar,2024-02,154,112,135,91,4,225,12,9,32,1
Ganjam,2024-02,88,75,75,67,1,159,8,8,16,2
Koraput,2024-02,36,34,31,27,0,64,3,1,6,1
Sambalpur,2024-02,60,56,63,34,1,128,3,7,10,2
Puri,2024-02,64,38,50,34,0,120,0,4,15,2
Balasore,2024-02,74,50,49,38,0,117,6,6,8,2
Rourkela,2024-02,92,77,92,87,2,165,7,13,28,1
Mayurbhanj,2024-02,35,32,30,29,1,56,1,2,7,1
Cuttack,2024-02,125,102,103,86,1,228,8,15,27,1
Kalahandi,2024-02,38,34,25,17,1,46,0,0,10,0
Bhubaneswar,2024-03,131,112,111,98,1,239,6,22,37,2
Ganjam,2024-03,93,71,61,53,1,136,7,7,17,2
Koraput,2024-03,36,27,39,37,3,78,2,0,7,1
Sambalpur,2024-03,70,53,69,63,1,110,5,3,17,1
Puri,2024-03,64,49,44,35,0,102,3,5,11,3
Balasore,2024-03,65,49,58,50,2,130,1,1,13,1
Rourkela,2024-03,109,93,77,68,3,174,6,7,28,3
Mayurbhanj,2024-03,24,15,25,25,0,53,2,2,4,1
Cuttack,2024-03,142,113,132,99,2,191,12,7,31,0
Kalahandi,2024-03,31,26,20,17,0,47,2,1,3,2
Bhubaneswar,2024-04,148,112,117,82,2,220,7,11,33,2
Ganjam,2024-04,108,83,71,57,1,150,7,5,18,4
Koraput,2024-04,49,39,33,25,0,59,6,2,11,1
Sambalpur,2024-04,88,69,48,45,0,141,3,4,20,1
Puri,2024-04,66,53,45,43,2,77,7,8,13,0
Balasore,2024-04,76,64,59,50,2,126,5,12,9,3
Rourkela,2024-04,113,86,99,76,1,158,7,7,23,3
Mayurbhanj,2024-04,32,21,32,20,1,57,2,4,8,1
Cuttack,2024-04,153,100,115,92,0,238,4,7,23,3
Kalahandi,2024-04,39,31,22,21,2,52,0,3,6,1
Bhubaneswar,2024-05,152,126,153,123,3,245,10,6,27,1
Ganjam,2024-05,89,79,55,44,0,132,11,7,23,3
Koraput,2024-05,42,42,24,17,1,72,3,4,6,0
Sambalpur,2024-05,73,63,59,41,1,118,6,5,17,2
Puri,2024-05,52,37,45,29,0,107,3,3,10,0
Balasore,2024-05,75,56,56,29,1,99,3,2,17,1
Rourkela,2024-05,131,98,95,72,1,204,6,16,27,2
Mayurbhanj,2024-05,38,25,36,28,2,45,1,3,7,0
Cuttack,2024-05,144,123,94,75,2,216,10,10,24,2
Kalahandi,2024-05,19,16,26,20,1,35,1,1,8,1
Bhubaneswar,2024-06,154,140,105,79,1,227,9,10,28,2
Ganjam,2024-06,72,62,75,67,0,147,5,8,20,0
Koraput,2024-06,45,41,29,29,0,72,2,2,10,0
Sambalpur,2024-06,72,65,65,56,1,140,3,7,22,2
Puri,2024-06,57,50,50,49,4,119,3,5,10,1
Balasore,2024-06,59,43,57,51,2,116,3,9,11,1
Rourkela,2024-06,112,75,87,69,2,155,8,8,22,4
Mayurbhanj,2024-06,37,37,31,23,1,65,4,2,4,2
Cuttack,2024-06,146,107,103,88,0,223,11,9,28,4
Kalahandi,2024-06,17,8,24,19,1,45,1,6,3,1
Bhubaneswar,2024-07,138,108,120,89,1,236,13,13,24,1
Ganjam,2024-07,92,74,49,32,0,148,3,5,26,2
Koraput,2024-07,38,30,32,32,1,60,0,3,7,0
Sambalpur,2024-07,73,66,83,67,1,130,3,4,14,2
Puri,2024-07,51,39,45,32,0,87,4,2,3,0
Balasore,2024-07,73,55,56,47,1,123,3,2,11,3
Rourkela,2024-07,106,91,88,63,1,178,5,10,22,1
Mayurbhanj,2024-07,41,35,25,19,3,57,4,3,8,0
Cuttack,2024-07,132,108,119,87,2,213,5,11,30,0
Kalahandi,2024-07,40,31,23,15,1,28,2,4,6,0
Bhubaneswar,2024-08,169,159,121,117,3,257,4,7,32,4
Ganjam,2024-08,83,68,66,53,0,144,6,7,18,5
Koraput,2024-08,28,18,25,21,2,56,2,4,5,1
Sambalpur,2024-08,94,87,57,48,1,112,6,7,16,0
Puri,2024-08,52,45,48,27,0,95,1,5,17,2
Balasore,2024-08,58,32,46,34,1,122,5,2,25,1
Rourkela,2024-08,98,84,93,83,1,186,7,8,22,3
Mayurbhanj,2024-08,25,21,23,14,1,59,1,3,7,0
Cuttack,2024-08,150,135,115,102,1,233,7,15,30,2
Kalahandi,2024-08,38,32,23,14,2,42,3,1,7,3
Bhubaneswar,2024-09,129,113,129,122,1,241,14,13,34,4
Ganjam,2024-09,94,75,70,60,2,158,8,7,19,1
Koraput,2024-09,39,31,32,29,0,69,2,1,13,1
Sambalpur,2024-09,72,58,67,38,1,94,7,6,19,2
Puri,2024-09,61,37,44,44,0,96,2,2,17,1
Balasore,2024-09,68,60,52,39,1,107,4,4,11,0
Rourkela,2024-09,94,84,86,74,0,191,9,10,23,6
Mayurbhanj,2024-09,35,21,28,25,1,71,0,2,14,1
Cuttack,2024-09,125,97,101,76,3,210,10,10,23,2
Kalahandi,2024-09,30,23,17,14,1,48,1,3,9,1
Bhubaneswar,2024-10,136,102,127,84,1,245,9,18,21,4
Ganjam,2024-10,86,59,69,69,1,131,3,2,15,2
Koraput,2024-10,37,29,30,22,0,51,2,2,6,0
Sambalpur,2024-10,62,55,61,47,1,119,6,12,22,0
Puri,2024-10,54,50,57,48,0,96,8,3,8,2
Balasore,2024-10,77,51,60,55,2,100,2,4,14,1
Rourkela,2024-10,109,93,101,80,0,161,10,11,15,2
Mayurbhanj,2024-10,33,23,35,31,0,65,1,4,7,0
Cuttack,2024-10,135,113,108,78,1,218,7,7,23,3
Kalahandi,2024-10,27,20,26,16,2,69,1,5,5,3
Bhubaneswar,2024-11,148,120,131,91,0,255,9,9,33,4
Ganjam,2024-11,73,53,71,54,0,156,6,7,23,1
Koraput,2024-11,53,46,31,24,4,66,2,1,11,2
Sambalpur,2024-11,90,57,62,51,1,120,3,8,15,2
Puri,2024-11,59,51,45,35,0,101,4,4,8,2
Balasore,2024-11,62,60,53,38,3,104,3,2,11,2
Rourkela,2024-11,103,76,94,69,0,176,9,7,22,3
Mayurbhanj,2024-11,42,22,26,19,0,43,1,2,4,1
Cuttack,2024-11,143,117,112,100,1,249,6,11,34,1
Kalahandi,2024-11,37,31,29,18,0,52,3,4,5,1
Bhubaneswar,2024-12,135,112,107,102,1,264,6,10,38,2
Ganjam,2024-12,88,66,72,72,1,137,4,3,12,1
Koraput,2024-12,40,37,32,29,1,68,3,3,7,1
Sambalpur,2024-12,80,70,57,45,2,113,5,7,14,2
Puri,2024-12,59,53,46,44,1,97,3,1,12,3
Balasore,2024-12,59,39,54,38,4,101,5,4,17,2
Rourkela,2024-12,95,87,87,87,1,175,3,5,16,3
Mayurbhanj,2024-12,24,19,27,24,0,49,5,5,11,1
Cuttack,2024-12,133,107,104,96,1,235,8,8,38,2
Kalahandi,2024-12,27,18,30,26,1,40,2,4,7,0
Bhubaneswar,2025-01,119,98,107,87,1,243,10,14,31,2
Ganjam,2025-01,92,55,74,59,1,152,7,9,28,4
Koraput,2025-01,31,22,44,32,3,62,1,4,7,1
Sambalpur,2025-01,75,66,50,50,0,113,7,5,11,2
Puri,2025-01,52,43,44,30,0,80,4,7,16,0
Balasore,2025-01,63,43,59,45,2,103,4,7,15,3
Rourkela,2025-01,90,81,91,70,1,158,5,6,17,1
Mayurbhanj,2025-01,33,25,38,35,1,43,1,2,6,3
Cuttack,2025-01,133,121,92,58,1,200,9,8,24,0
Kalahandi,2025-01,24,16,25,22,0,44,0,1,4,1
Bhubaneswar,2025-02,151,124,120,91,1,237,12,10,20,1
Ganjam,2025-02,85,63,60,49,2,153,5,5,13,2
Koraput,2025-02,33,23,39,25,1,68,3,3,8,2
Sambalpur,2025-02,72,59,56,50,1,115,5,5,22,2
Puri,2025-02,68,58,46,46,0,91,2,2,11,1
Balasore,2025-02,73,62,50,44,1,110,3,2,16,2
Rourkela,2025-02,103,88,81,52,0,177,3,5,27,3
Mayurbhanj,2025-02,33,22,28,28,0,59,0,1,3,0
Cuttack,2025-02,134,113,123,111,4,226,8,20,26,2
Kalahandi,2025-02,34,31,15,15,1,52,2,0,9,1
Bhubaneswar,2025-03,150,126,101,77,3,232,12,7,37,4
Ganjam,2025-03,76,62,71,52,2,148,3,5,22,2
Koraput,2025-03,46,32,42,39,2,77,1,6,7,2
Sambalpur,2025-03,81,53,54,29,1,123,5,1,20,1
Puri,2025-03,55,45,45,37,2,94,5,6,9,1
Balasore,2025-03,86,78,63,38,0,104,2,8,18,0
Rourkela,2025-03,119,86,87,75,0,175,2,8,26,3
Mayurbhanj,2025-03,37,37,23,11,2,58,3,4,9,0
Cuttack,2025-03,130,102,120,104,1,222,8,11,32,4
Kalahandi,2025-03,32,27,19,10,0,59,1,4,2,1
Bhubaneswar,2025-04,135,108,113,102,0,268,12,7,22,4
Ganjam,2025-04,101,85,68,62,0,167,9,11,21,2
Koraput,2025-04,42,34,36,25,3,59,2,0,14,2
Sambalpur,2025-04,60,48,54,38,1,128,1,6,17,3
Puri,2025-04,48,32,37,34,1,109,3,2,9,0
Balasore,2025-04,87,82,56,41,1,93,3,4,13,0
Rourkela,2025-04,124,123,100,74,0,169,3,8,23,1
Mayurbhanj,2025-04,37,23,31,28,0,61,2,3,5,0
Cuttack,2025-04,145,99,113,91,0,216,5,14,25,4
Kalahandi,2025-04,26,26,27,23,1,43,1,0,10,0
Bhubaneswar,2025-05,150,108,120,105,2,209,15,12,27,2
Ganjam,2025-05,112,84,62,53,0,140,7,4,23,1
Koraput,2025-05,37,32,39,34,1,59,5,2,9,0
Sambalpur,2025-05,84,84,58,55,2,146,7,7,16,1
Puri,2025-05,54,42,48,44,1,81,4,1,16,1
Balasore,2025-05,73,59,56,56,1,118,3,7,19,1
Rourkela,2025-05,107,70,98,93,2,184,5,6,15,5
Mayurbhanj,2025-05,35,29,32,30,2,54,2,2,8,2
Cuttack,2025-05,151,103,135,126,1,227,11,7,32,7
Kalahandi,2025-05,23,22,18,18,1,45,4,3,7,2
Bhubaneswar,2025-06,150,114,120,117,1,263,13,16,35,2
Ganjam,2025-06,99,95,67,42,1,154,7,3,22,3
Koraput,2025-06,35,25,22,17,0,70,1,1,8,1
Sambalpur,2025-06,85,74,71,51,1,135,5,2,9,0
Puri,2025-06,38,36,38,35,0,106,4,2,13,1
Balasore,2025-06,72,60,48,40,3,109,5,3,12,1
Rourkela,2025-06,102,80,94,77,0,174,8,7,21,5
Mayurbhanj,2025-06,25,19,28,25,2,42,3,3,7,1
Cuttack,2025-06,138,107,124,107,2,214,9,5,30,4
Kalahandi,2025-06,29,27,27,27,3,61,3,1,8,0
Bhubaneswar,2025-07,137,101,108,64,1,269,9,8,20,1
Ganjam,2025-07,98,90,75,54,0,132,6,7,28,1
Koraput,2025-07,36,36,25,17,1,63,3,2,6,3
Sambalpur,2025-07,75,64,50,41,0,95,5,7,7,1
Puri,2025-07,53,27,51,37,3,92,4,7,11,2
Balasore,2025-07,71,66,55,55,3,104,5,9,17,4
Rourkela,2025-07,113,109,71,47,2,167,7,9,25,1
Mayurbhanj,2025-07,39,30,21,15,1,50,1,0,9,0
Cuttack,2025-07,143,142,123,84,1,211,10,16,22,2
Kalahandi,2025-07,34,21,25,16,2,55,2,0,10,1
Bhubaneswar,2025-08,171,146,127,92,1,236,9,11,27,5
Ganjam,2025-08,109,97,65,45,1,135,10,6,17,2
Koraput,2025-08,51,45,42,31,1,61,2,2,7,3
Sambalpur,2025-08,61,43,70,59,0,103,5,6,13,1
Puri,2025-08,49,47,39,32,2,85,4,6,7,0
Balasore,2025-08,69,62,56,37,0,114,7,6,14,3
Rourkela,2025-08,116,81,77,52,0,178,10,8,23,2
Mayurbhanj,2025-08,37,31,23,23,0,52,0,2,8,1
Cuttack,2025-08,137,102,107,79,1,229,6,14,27,3
Kalahandi,2025-08,28,24,34,24,0,60,2,1,10,1
Bhubaneswar,2025-09,143,131,108,81,1,190,6,14,23,3
Ganjam,2025-09,102,81,54,45,0,145,3,6,15,0
Koraput,2025-09,36,24,42,36,0,59,1,1,11,0
Sambalpur,2025-09,62,46,51,36,1,133,2,3,13,0
Puri,2025-09,68,51,48,35,0,97,2,3,15,1
Balasore,2025-09,63,50,50,41,0,107,6,8,15,1
Rourkela,2025-09,120,100,60,57,2,163,7,5,21,1
Mayurbhanj,2025-09,33,28,23,23,1,43,1,3,5,1
Cuttack,2025-09,130,114,99,75,2,230,9,8,26,4
Kalahandi,2025-09,25,22,22,15,1,52,2,4,3,1
Bhubaneswar,2025-10,161,140,118,87,4,257,14,14,30,2
Ganjam,2025-10,87,57,84,75,0,149,4,8,22,0
Koraput,2025-10,51,41,27,22,0,58,2,3,10,2
Sambalpur,2025-10,84,68,63,44,3,136,2,6,14,0
Puri,2025-10,72,48,50,39,0,99,3,4,12,0
Balasore,2025-10,84,55,47,39,1,112,7,3,14,1
Rourkela,2025-10,104,103,78,67,0,185,5,8,22,2
Mayurbhanj,2025-10,35,27,35,35,0,63,2,3,4,0
Cuttack,2025-10,150,127,120,103,1,231,9,7,31,2
Kalahandi,2025-10,32,28,24,9,0,42,3,3,6,0
Bhubaneswar,2025-11,146,107,114,78,2,232,11,14,31,3
Ganjam,2025-11,88,59,71,44,0,134,3,3,16,2
Koraput,2025-11,26,15,30,24,2,55,4,6,6,2
Sambalpur,2025-11,76,53,62,47,0,128,7,10,15,1
Puri,2025-11,68,42,47,39,1,114,4,2,15,1
Balasore,2025-11,85,71,63,61,0,93,3,5,17,1
Rourkela,2025-11,103,91,98,67,2,180,2,7,20,1
Mayurbhanj,2025-11,29,17,36,32,1,50,1,1,8,0
Cuttack,2025-11,153,98,107,77,2,222,5,3,24,3
Kalahandi,2025-11,20,12,26,17,0,47,3,1,5,0
