district,month,cases_registered,persons_arrested,details_of_seizure,arrest_per_case,target_efficiency
Puri,2020-05-01,39,51,105 liters of ID liquor,1.3076923076923077,1.0
Balasore,2020-05-01,42,52,103 liters of ID liquor,1.2380952380952381,1.2142857142857142
Rourkela,2020-05-01,60,69,122 pouches of country liquor,1.15,1.2688172043010753
Mayurbhanj,2020-05-01,23,32,96 bottles of IMFL,1.391304347826087,1.0
Cuttack,2020-05-01,75,98,113 pouches of country liquor,1.3066666666666666,1.0617283950617284
Kalahandi,2020-05-01,12,12,96 liters of ID liquor,1.0,1.625
Bhubaneswar,2020-06-01,67,67,509 kg of fermented wash destroyed,1.0,1.125
Ganjam,2020-06-01,47,61,520 kg of fermented wash destroyed,1.297872340425532,1.0
Koraput,2020-06-01,19,19,499 kg of fermented wash destroyed,1.0,1.2692307692307692
Sambalpur,2020-06-01,36,37,107 pouches of country liquor,1.0277777777777777,1.2954545454545454
Puri,2020-06-01,38,38,107 liters of ID liquor,1.0,1.1025641025641026
Balasore,2020-06-01,42,51,122 bottles of IMFL,1.2142857142857142,1.4594594594594594
Rourkela,2020-06-01,93,118,96 liters of ID liquor,1.2688172043010753,1.0
Mayurbhanj,2020-06-01,17,17,91 pouches of country liquor,1.0,1.0
Cuttack,2020-06-01,81,86,104 bottles of IMFL,1.0617283950617284,1.0
Kalahandi,2020-06-01,8,13,483 kg of fermented wash destroyed,1.625,1.0
Bhubaneswar,2020-07-01,88,99,473 kg of fermented wash destroyed,1.125,1.0947368421052632
Ganjam,2020-07-01,51,51,103 liters of ID liquor,1.0,1.0888888888888888
Koraput,2020-07-01,26,33,97 bottles of IMFL,1.2692307692307692,1.2307692307692308
Sambalpur,2020-07-01,44,57,115 bottles of IMFL,1.2954545454545454,1.0
Puri,2020-07-01,39,43,103 liters of ID liquor,1.1025641025641026,1.0
Balasore,2020-07-01,37,54,497 kg of fermented wash destroyed,1.4594594594594594,1.054054054054054
Rourkela,2020-07-01,68,68,90 liters of ID liquor,1.0,1.0
Mayurbhanj,2020-07-01,20,20,103 pouches of country liquor,1.0,1.0952380952380953
Cuttack,2020-07-01,95,95,114 pouches of country liquor,1.0,1.0
Kalahandi,2020-07-01,14,14,505 kg of fermented wash destroyed,1.0,1.0555555555555556
Bhubaneswar,2020-08-01,95,104,105 pouches of country liquor,1.0947368421052632,1.0684931506849316
Ganjam,2020-08-01,45,49,95 pouches of country liquor,1.0888888888888888,1.0
Koraput,2020-08-01,26,32,93 liters of ID liquor,1.2307692307692308,1.0285714285714285
Sambalpur,2020-08-01,47,47,113 bottles of IMFL,1.0,1.0
Puri,2020-08-01,36,36,101 pouches of country liquor,1.0,1.0
Balasore,2020-08-01,37,39,95 bottles of IMFL,1.054054054054054,1.1142857142857143
Rourkela,2020-08-01,69,69,99 pouches of country liquor,1.0,1.042857142857143
Mayurbhanj,2020-08-01,21,23,119 liters of ID liquor,1.0952380952380953,1.1666666666666667
Cuttack,2020-08-01,74,74,105 liters of ID liquor,1.0,1.1666666666666667
Kalahandi,2020-08-01,18,19,455 kg of fermented wash destroyed,1.0555555555555556,1.1176470588235294
Bhubaneswar,2020-09-01,73,78,503 kg of fermented wash destroyed,1.0684931506849316,1.1946902654867257
Ganjam,2020-09-01,58,58,107 liters of ID liquor,1.0,1.0
Koraput,2020-09-01,35,36,110 liters of ID liquor,1.0285714285714285,1.1724137931034482
Sambalpur,2020-09-01,37,37,104 liters of ID liquor,1.0,1.0476190476190477
Puri,2020-09-01,34,34,90 bottles of IMFL,1.0,1.2571428571428571
Balasore,2020-09-01,35,39,515 kg of fermented wash destroyed,1.1142857142857143,1.75
Rourkela,2020-09-01,70,73,94 bottles of IMFL,1.042857142857143,1.088235294117647
Mayurbhanj,2020-09-01,18,21,105 bottles of IMFL,1.1666666666666667,1.3076923076923077
Cuttack,2020-09-01,84,98,101 bottles of IMFL,1.1666666666666667,1.075
Kalahandi,2020-09-01,17,19,105 liters of ID liquor,1.1176470588235294,1.3125
Bhubaneswar,2020-10-01,113,135,104 pouches of country liquor,1.1946902654867257,1.2475247524752475
Ganjam,2020-10-01,44,44,83 liters of ID liquor,1.0,1.0819672131147542
Koraput,2020-10-01,29,34,106 pouches of country liquor,1.1724137931034482,1.0
Sambalpur,2020-10-01,42,44,111 pouches of country liquor,1.0476190476190477,1.0714285714285714
Puri,2020-10-01,35,44,109 liters of ID liquor,1.2571428571428571,1.0
Balasore,2020-10-01,40,70,519 kg of fermented wash destroyed,1.75,1.0
Rourkela,2020-10-01,68,74,96 pouches of country liquor,1.088235294117647,1.0
Mayurbhanj,2020-10-01,13,17,531 kg of fermented wash destroyed,1.3076923076923077,1.434782608695652
Cuttack,2020-10-01,80,86,96 liters of ID liquor,1.075,1.1411764705882352
Kalahandi,2020-10-01,16,21,98 bottles of IMFL,1.3125,1.0
Bhubaneswar,2020-11-01,101,126,96 bottles of IMFL,1.2475247524752475,1.0
Ganjam,2020-11-01,61,66,87 liters of ID liquor,1.0819672131147542,1.0
Koraput,2020-11-01,23,23,107 bottles of IMFL,1.0,1.0
Sambalpur,2020-11-01,42,45,109 bottles of IMFL,1.0714285714285714,1.0454545454545454
Puri,2020-11-01,44,44,99 pouches of country liquor,1.0,1.0
Balasore,2020-11-01,48,48,102 liters of ID liquor,1.0,1.103448275862069
Rourkela,2020-11-01,62,62,512 kg of fermented wash destroyed,1.0,1.0
Mayurbhanj,2020-11-01,23,33,89 liters of ID liquor,1.434782608695652,1.1111111111111112
Cuttack,2020-11-01,85,97,478 kg of fermented wash destroyed,1.1411764705882352,1.1122448979591837
Kalahandi,2020-11-01,8,8,107 pouches of country liquor,1.0,1.0833333333333333
Bhubaneswar,2020-12-01,88,88,537 kg of fermented wash destroyed,1.0,1.2098765432098766
Ganjam,2020-12-01,50,50,95 bottles of IMFL,1.0,1.1090909090909091
Koraput,2020-12-01,28,28,90 bottles of IMFL,1.0,1.5
Sambalpur,2020-12-01,44,46,80 bottles of IMFL,1.0454545454545454,1.0
Puri,2020-12-01,42,42,97 pouches of country liquor,1.0,1.4333333333333333
Balasore,2020-12-01,29,32,108 bottles of IMFL,1.103448275862069,1.103448275862069
Rourkela,2020-12-01,70,70,100 pouches of country liquor,1.0,1.0961538461538463
Mayurbhanj,2020-12-01,18,20,102 liters of ID liquor,1.1111111111111112,1.0344827586206897
Cuttack,2020-12-01,98,109,115 bottles of IMFL,1.1122448979591837,1.0684931506849316
Kalahandi,2020-12-01,24,26,102 pouches of country liquor,1.0833333333333333,1.3333333333333333
Bhubaneswar,2021-01-01,81,98,106 liters of ID liquor,1.2098765432098766,1.3369565217391304
Ganjam,2021-01-01,55,61,94 bottles of IMFL,1.1090909090909091,1.0
Koraput,2021-01-01,18,27,514 kg of fermented wash destroyed,1.5,1.1714285714285715
Sambalpur,2021-01-01,33,33,488 kg of fermented wash destroyed,1.0,1.2857142857142858
Puri,2021-01-01,30,43,504 kg of fermented wash destroyed,1.4333333333333333,1.2432432432432432
Balasore,2021-01-01,29,32,78 liters of ID liquor,1.103448275862069,1.15
Rourkela,2021-01-01,52,57,96 bottles of IMFL,1.0961538461538463,1.0
Mayurbhanj,2021-01-01,29,30,482 kg of fermented wash destroyed,1.0344827586206897,1.3076923076923077
Cuttack,2021-01-01,73,78,459 kg of fermented wash destroyed,1.0684931506849316,1.0
Kalahandi,2021-01-01,24,32,106 bottles of IMFL,1.3333333333333333,1.0
Bhubaneswar,2021-02-01,92,123,107 liters of ID liquor,1.3369565217391304,1.0675675675675675
Ganjam,2021-02-01,68,68,500 kg of fermented wash destroyed,1.0,1.0
Koraput,2021-02-01,35,41,88 liters of ID liquor,1.1714285714285715,1.0
Sambalpur,2021-02-01,49,63,123 pouches of country liquor,1.2857142857142858,1.0
Puri,2021-02-01,37,46,83 pouches of country liquor,1.2432432432432432,1.0
Balasore,2021-02-01,40,46,89 bottles of IMFL,1.15,1.103448275862069
Rourkela,2021-02-01,81,81,97 pouches of country liquor,1.0,1.2625
Mayurbhanj,2021-02-01,13,17,93 liters of ID liquor,1.3076923076923077,1.0
Cuttack,2021-02-01,89,89,107 liters of ID liquor,1.0,1.1764705882352942
Kalahandi,2021-02-01,6,6,99 pouches of country liquor,1.0,1.0
Bhubaneswar,2021-03-01,74,79,104 bottles of IMFL,1.0675675675675675,1.0
Ganjam,2021-03-01,58,58,523 kg of fermented wash destroyed,1.0,1.2954545454545454
Koraput,2021-03-01,25,25,488 kg of fermented wash destroyed,1.0,1.3571428571428572
Sambalpur,2021-03-01,57,57,127 pouches of country liquor,1.0,1.0
Puri,2021-03-01,39,39,527 kg of fermented wash destroyed,1.0,1.119047619047619
Balasore,2021-03-01,29,32,113 bottles of IMFL,1.103448275862069,1.088235294117647
Rourkela,2021-03-01,80,101,95 pouches of country liquor,1.2625,1.0897435897435896
Mayurbhanj,2021-03-01,21,21,84 bottles of IMFL,1.0,1.0
Cuttack,2021-03-01,68,80,84 liters of ID liquor,1.1764705882352942,1.0
Kalahandi,2021-03-01,15,15,98 pouches of country liquor,1.0,1.0
Bhubaneswar,2021-04-01,96,96,92 bottles of IMFL,1.0,1.3085106382978724
Ganjam,2021-04-01,44,57,480 kg of fermented wash destroyed,1.2954545454545454,1.0384615384615385
Koraput,2021-04-01,28,38,100 pouches of country liquor,1.3571428571428572,1.15
Sambalpur,2021-04-01,48,48,528 kg of fermented wash destroyed,1.0,1.2380952380952381
Puri,2021-04-01,42,47,102 pouches of country liquor,1.119047619047619,1.0810810810810811
Balasore,2021-04-01,34,37,84 pouches of country liquor,1.088235294117647,1.2432432432432432
Rourkela,2021-04-01,78,85,466 kg of fermented wash destroyed,1.0897435897435896,1.2096774193548387
Mayurbhanj,2021-04-01,15,15,107 bottles of IMFL,1.0,1.4705882352941178
Cuttack,2021-04-01,90,90,108 pouches of country liquor,1.0,1.0
Kalahandi,2021-04-01,18,18,523 kg of fermented wash destroyed,1.0,1.0
Bhubaneswar,2021-05-01,94,123,108 liters of ID liquor,1.3085106382978724,1.021978021978022
Ganjam,2021-05-01,52,54,529 kg of fermented wash destroyed,1.0384615384615385,1.0
Koraput,2021-05-01,20,23,109 liters of ID liquor,1.15,1.3076923076923077
Sambalpur,2021-05-01,42,52,108 bottles of IMFL,1.2380952380952381,1.0
Puri,2021-05-01,37,40,498 kg of fermented wash destroyed,1.0810810810810811,1.0512820512820513
Balasore,2021-05-01,37,46,121 pouches of country liquor,1.2432432432432432,1.1794871794871795
Rourkela,2021-05-01,62,75,85 liters of ID liquor,1.2096774193548387,1.25
Mayurbhanj,2021-05-01,17,25,107 liters of ID liquor,1.4705882352941178,1.0
Cuttack,2021-05-01,90,90,90 pouches of country liquor,1.0,1.2337662337662338
Kalahandi,2021-05-01,10,10,94 liters of ID liquor,1.0,1.2222222222222223
Bhubaneswar,2021-06-01,91,93,510 kg of fermented wash destroyed,1.021978021978022,1.1875
Ganjam,2021-06-01,65,65,494 kg of fermented wash destroyed,1.0,1.0
Koraput,2021-06-01,26,34,95 pouches of country liquor,1.3076923076923077,1.1153846153846154
Sambalpur,2021-06-01,44,44,515 kg of fermented wash destroyed,1.0,1.148936170212766
Puri,2021-06-01,39,41,101 pouches of country liquor,1.0512820512820513,1.6764705882352942
Balasore,2021-06-01,39,46,92 bottles of IMFL,1.1794871794871795,1.2
Rourkela,2021-06-01,76,95,122 liters of ID liquor,1.25,1.2166666666666666
Mayurbhanj,2021-06-01,12,12,495 kg of fermented wash destroyed,1.0,1.2666666666666666
Cuttack,2021-06-01,77,95,106 liters of ID liquor,1.2337662337662338,1.170731707317073
Kalahandi,2021-06-01,18,22,93 liters of ID liquor,1.2222222222222223,1.4193548387096775
Bhubaneswar,2021-07-01,96,114,97 liters of ID liquor,1.1875,1.2391304347826086
Ganjam,2021-07-01,53,53,106 bottles of IMFL,1.0,1.0727272727272728
Koraput,2021-07-01,26,29,105 bottles of IMFL,1.1153846153846154,1.0
Sambalpur,2021-07-01,47,54,96 pouches of country liquor,1.148936170212766,1.0
Puri,2021-07-01,34,57,95 bottles of IMFL,1.6764705882352942,1.0
Balasore,2021-07-01,45,54,96 pouches of country liquor,1.2,1.025
Rourkela,2021-07-01,60,73,111 pouches of country liquor,1.2166666666666666,1.05
Mayurbhanj,2021-07-01,15,19,115 bottles of IMFL,1.2666666666666666,1.0
Cuttack,2021-07-01,82,96,509 kg of fermented wash destroyed,1.170731707317073,1.2717391304347827
Kalahandi,2021-07-01,31,44,103 pouches of country liquor,1.4193548387096775,1.2380952380952381
Bhubaneswar,2021-08-01,92,114,109 bottles of IMFL,1.2391304347826086,1.0
Ganjam,2021-08-01,55,59,103 bottles of IMFL,1.0727272727272728,1.12
Koraput,2021-08-01,23,23,112 bottles of IMFL,1.0,1.1379310344827587
Sambalpur,2021-08-01,38,38,103 bottles of IMFL,1.0,1.1363636363636365
Puri,2021-08-01,39,39,92 liters of ID liquor,1.0,1.1714285714285715
Balasore,2021-08-01,40,41,100 pouches of country liquor,1.025,1.0
Rourkela,2021-08-01,80,84,97 liters of ID liquor,1.05,1.1232876712328768
Mayurbhanj,2021-08-01,19,19,511 kg of fermented wash destroyed,1.0,1.2307692307692308
Cuttack,2021-08-01,92,117,89 liters of ID liquor,1.2717391304347827,1.275
Kalahandi,2021-08-01,21,26,98 bottles of IMFL,1.2380952380952381,1.0
Bhubaneswar,2021-09-01,90,90,90 bottles of IMFL,1.0,1.2736842105263158
Ganjam,2021-09-01,50,56,100 bottles of IMFL,1.12,1.1666666666666667
Koraput,2021-09-01,29,33,105 bottles of IMFL,1.1379310344827587,1.0909090909090908
Sambalpur,2021-09-01,44,50,96 pouches of country liquor,1.1363636363636365,1.2407407407407407
Puri,2021-09-01,35,41,111 pouches of country liquor,1.1714285714285715,1.25
Balasore,2021-09-01,45,45,101 liters of ID liquor,1.0,1.1153846153846154
Rourkela,2021-09-01,73,82,91 bottles of IMFL,1.1232876712328768,1.2131147540983607
Mayurbhanj,2021-09-01,26,32,109 liters of ID liquor,1.2307692307692308,1.0
Cuttack,2021-09-01,80,102,97 bottles of IMFL,1.275,1.1170212765957446
Kalahandi,2021-09-01,10,10,494 kg of fermented wash destroyed,1.0,1.0
Bhubaneswar,2021-10-01,95,121,89 liters of ID liquor,1.2736842105263158,1.2574257425742574
Ganjam,2021-10-01,42,49,96 pouches of country liquor,1.1666666666666667,1.2115384615384615
Koraput,2021-10-01,33,36,90 liters of ID liquor,1.0909090909090908,1.0357142857142858
Sambalpur,2021-10-01,54,67,99 pouches of country liquor,1.2407407407407407,1.5
Puri,2021-10-01,24,30,497 kg of fermented wash destroyed,1.25,1.0512820512820513
Balasore,2021-10-01,52,58,489 kg of fermented wash destroyed,1.1153846153846154,1.0
Rourkela,2021-10-01,61,74,463 kg of fermented wash destroyed,1.2131147540983607,1.0
Mayurbhanj,2021-10-01,22,22,534 kg of fermented wash destroyed,1.0,1.0
Cuttack,2021-10-01,94,105,90 liters of ID liquor,1.1170212765957446,1.025974025974026
Kalahandi,2021-10-01,28,28,96 liters of ID liquor,1.0,1.0588235294117647
Bhubaneswar,2021-11-01,101,127,490 kg of fermented wash destroyed,1.2574257425742574,1.0808080808080809
Ganjam,2021-11-01,52,63,102 liters of ID liquor,1.2115384615384615,1.1020408163265305
Koraput,2021-11-01,28,29,465 kg of fermented wash destroyed,1.0357142857142858,1.6551724137931034
Sambalpur,2021-11-01,54,81,107 bottles of IMFL,1.5,1.0
Puri,2021-11-01,39,41,105 liters of ID liquor,1.0512820512820513,1.0
Balasore,2021-11-01,48,48,487 kg of fermented wash destroyed,1.0,1.024390243902439
Rourkela,2021-11-01,53,53,104 pouches of country liquor,1.0,1.0
Mayurbhanj,2021-11-01,20,20,94 bottles of IMFL,1.0,1.0588235294117647
Cuttack,2021-11-01,77,79,107 bottles of IMFL,1.025974025974026,1.3265306122448979
Kalahandi,2021-11-01,17,18,94 bottles of IMFL,1.0588235294117647,1.2666666666666666
Bhubaneswar,2021-12-01,99,107,101 liters of ID liquor,1.0808080808080809,1.0909090909090908
Ganjam,2021-12-01,49,54,89 pouches of country liquor,1.1020408163265305,1.125
Koraput,2021-12-01,29,48,93 liters of ID liquor,1.6551724137931034,1.0
Sambalpur,2021-12-01,47,47,90 pouches of country liquor,1.0,1.1320754716981132
Puri,2021-12-01,33,33,97 pouches of country liquor,1.0,1.0
Balasore,2021-12-01,41,42,104 bottles of IMFL,1.024390243902439,1.1875
Rourkela,2021-12-01,53,53,81 pouches of country liquor,1.0,1.0909090909090908
Mayurbhanj,2021-12-01,17,18,93 bottles of IMFL,1.0588235294117647,1.0555555555555556
Cuttack,2021-12-01,98,130,100 liters of ID liquor,1.3265306122448979,1.0454545454545454
Kalahandi,2021-12-01,15,19,474 kg of fermented wash destroyed,1.2666666666666666,1.2857142857142858
Bhubaneswar,2022-01-01,77,84,100 pouches of country liquor,1.0909090909090908,1.1238095238095238
Ganjam,2022-01-01,48,54,521 kg of fermented wash destroyed,1.125,1.2205882352941178
Koraput,2022-01-01,24,24,90 liters of ID liquor,1.0,1.15
Sambalpur,2022-01-01,53,60,86 liters of ID liquor,1.1320754716981132,1.0545454545454545
Puri,2022-01-01,33,33,496 kg of fermented wash destroyed,1.0,1.394736842105263
Balasore,2022-01-01,32,38,119 pouches of country liquor,1.1875,1.0
Rourkela,2022-01-01,55,60,518 kg of fermented wash destroyed,1.0909090909090908,1.0
Mayurbhanj,2022-01-01,18,19,99 liters of ID liquor,1.0555555555555556,1.1111111111111112
Cuttack,2022-01-01,88,92,84 liters of ID liquor,1.0454545454545454,1.118811881188119
Kalahandi,2022-01-01,7,9,104 bottles of IMFL,1.2857142857142858,1.125
Bhubaneswar,2022-02-01,105,118,98 pouches of country liquor,1.1238095238095238,1.3297872340425532
Ganjam,2022-02-01,68,83,124 pouches of country liquor,1.2205882352941178,1.0
Koraput,2022-02-01,20,23,112 liters of ID liquor,1.15,1.0869565217391304
Sambalpur,2022-02-01,55,58,102 bottles of IMFL,1.0545454545454545,1.2380952380952381
Puri,2022-02-01,38,53,93 bottles of IMFL,1.394736842105263,1.0
Balasore,2022-02-01,41,41,524 kg of fermented wash destroyed,1.0,1.1041666666666667
Rourkela,2022-02-01,71,71,505 kg of fermented wash destroyed,1.0,1.1833333333333333
Mayurbhanj,2022-02-01,27,30,90 liters of ID liquor,1.1111111111111112,1.0
Cuttack,2022-02-01,101,113,487 kg of fermented wash destroyed,1.118811881188119,1.0493827160493827
Kalahandi,2022-02-01,16,18,88 liters of ID liquor,1.125,1.5263157894736843
Bhubaneswar,2022-03-01,94,125,475 kg of fermented wash destroyed,1.3297872340425532,1.0
Ganjam,2022-03-01,52,52,106 liters of ID liquor,1.0,1.0
Koraput,2022-03-01,23,25,73 bottles of IMFL,1.0869565217391304,1.0740740740740742
Sambalpur,2022-03-01,42,52,91 bottles of IMFL,1.2380952380952381,1.1666666666666667
Puri,2022-03-01,28,28,96 liters of ID liquor,1.0,1.0
Balasore,2022-03-01,48,53,101 bottles of IMFL,1.1041666666666667,1.1951219512195121
Rourkela,2022-03-01,60,71,99 bottles of IMFL,1.1833333333333333,1.0
Mayurbhanj,2022-03-01,27,27,92 pouches of country liquor,1.0,1.0
Cuttack,2022-03-01,81,85,513 kg of fermented wash destroyed,1.0493827160493827,1.2048192771084338
Kalahandi,2022-03-01,19,29,103 pouches of country liquor,1.5263157894736843,1.0869565217391304
Bhubaneswar,2022-04-01,77,77,97 bottles of IMFL,1.0,1.0
Ganjam,2022-04-01,47,47,100 pouches of country liquor,1.0,1.1568627450980393
Koraput,2022-04-01,27,29,88 pouches of country liquor,1.0740740740740742,1.0
Sambalpur,2022-04-01,30,35,104 liters of ID liquor,1.1666666666666667,1.1176470588235294
Puri,2022-04-01,34,34,101 pouches of country liquor,1.0,1.146341463414634
Balasore,2022-04-01,41,49,89 pouches of country liquor,1.1951219512195121,1.027027027027027
Rourkela,2022-04-01,72,72,524 kg of fermented wash destroyed,1.0,1.0
Mayurbhanj,2022-04-01,18,18,525 kg of fermented wash destroyed,1.0,1.125
Cuttack,2022-04-01,83,100,89 liters of ID liquor,1.2048192771084338,1.1428571428571428
Kalahandi,2022-04-01,23,25,91 bottles of IMFL,1.0869565217391304,1.0
Bhubaneswar,2022-05-01,88,88,119 bottles of IMFL,1.0,1.1411764705882352
Ganjam,2022-05-01,51,59,502 kg of fermented wash destroyed,1.1568627450980393,1.1071428571428572
Koraput,2022-05-01,17,17,112 pouches of country liquor,1.0,1.0769230769230769
Sambalpur,2022-05-01,51,57,457 kg of fermented wash destroyed,1.1176470588235294,1.1136363636363635
Puri,2022-05-01,41,47,92 bottles of IMFL,1.146341463414634,1.0833333333333333
Balasore,2022-05-01,37,38,536 kg of fermented wash destroyed,1.027027027027027,1.0
Rourkela,2022-05-01,62,62,114 pouches of country liquor,1.0,1.0517241379310345
Mayurbhanj,2022-05-01,24,27,101 liters of ID liquor,1.125,1.0
Cuttack,2022-05-01,77,88,508 kg of fermented wash destroyed,1.1428571428571428,1.0123456790123457
Kalahandi,2022-05-01,27,27,90 pouches of country liquor,1.0,1.0
Bhubaneswar,2022-06-01,85,97,94 liters of ID liquor,1.1411764705882352,1.10752688172043
Ganjam,2022-06-01,56,62,512 kg of fermented wash destroyed,1.1071428571428572,1.2542372881355932
Koraput,2022-06-01,13,14,107 liters of ID liquor,1.0769230769230769,1.0
Sambalpur,2022-06-01,44,49,75 liters of ID liquor,1.1136363636363635,1.125
Puri,2022-06-01,36,39,96 pouches of country liquor,1.0833333333333333,1.0
Balasore,2022-06-01,49,49,531 kg of fermented wash destroyed,1.0,1.0833333333333333
Rourkela,2022-06-01,58,61,85 liters of ID liquor,1.0517241379310345,1.1917808219178083
Mayurbhanj,2022-06-01,26,26,537 kg of fermented wash destroyed,1.0,1.28
Cuttack,2022-06-01,81,82,101 bottles of IMFL,1.0123456790123457,1.1379310344827587
Kalahandi,2022-06-01,10,10,86 liters of ID liquor,1.0,1.1578947368421053
Bhubaneswar,2022-07-01,93,103,119 bottles of IMFL,1.10752688172043,1.1839080459770115
Ganjam,2022-07-01,59,74,500 kg of fermented wash destroyed,1.2542372881355932,1.2982456140350878
Koraput,2022-07-01,28,28,114 bottles of IMFL,1.0,1.2903225806451613
Sambalpur,2022-07-01,56,63,131 liters of ID liquor,1.125,1.018181818181818
Puri,2022-07-01,29,29,485 kg of fermented wash destroyed,1.0,1.0909090909090908
Balasore,2022-07-01,36,39,95 bottles of IMFL,1.0833333333333333,1.0
Rourkela,2022-07-01,73,87,95 liters of ID liquor,1.1917808219178083,1.123076923076923
Mayurbhanj,2022-07-01,25,32,489 kg of fermented wash destroyed,1.28,1.0
Cuttack,2022-07-01,87,99,513 kg of fermented wash destroyed,1.1379310344827587,1.1428571428571428
Kalahandi,2022-07-01,19,22,97 pouches of country liquor,1.1578947368421053,1.3157894736842106
Bhubaneswar,2022-08-01,87,103,496 kg of fermented wash destroyed,1.1839080459770115,1.1304347826086956
Ganjam,2022-08-01,57,74,572 kg of fermented wash destroyed,1.2982456140350878,1.0
Koraput,2022-08-01,31,40,517 kg of fermented wash destroyed,1.2903225806451613,1.125
Sambalpur,2022-08-01,55,56,103 pouches of country liquor,1.018181818181818,1.0
Puri,2022-08-01,33,36,94 bottles of IMFL,1.0909090909090908,1.0
Balasore,2022-08-01,37,37,80 bottles of IMFL,1.0,1.0
Rourkela,2022-08-01,65,73,102 bottles of IMFL,1.123076923076923,1.0625
Mayurbhanj,2022-08-01,31,31,101 pouches of country liquor,1.0,1.0526315789473684
Cuttack,2022-08-01,91,104,523 kg of fermented wash destroyed,1.1428571428571428,1.155844155844156
Kalahandi,2022-08-01,19,25,106 pouches of country liquor,1.3157894736842106,1.0
Bhubaneswar,2022-09-01,92,104,508 kg of fermented wash destroyed,1.1304347826086956,1.0
Ganjam,2022-09-01,52,52,97 pouches of country liquor,1.0,1.0769230769230769
Koraput,2022-09-01,24,27,94 pouches of country liquor,1.125,1.0
Sambalpur,2022-09-01,61,61,90 bottles of IMFL,1.0,1.146341463414634
Puri,2022-09-01,37,37,106 bottles of IMFL,1.0,1.46875
Balasore,2022-09-01,44,44,82 pouches of country liquor,1.0,1.0
Rourkela,2022-09-01,64,68,90 liters of ID liquor,1.0625,1.0434782608695652
Mayurbhanj,2022-09-01,19,20,99 liters of ID liquor,1.0526315789473684,1.0
Cuttack,2022-09-01,77,89,93 pouches of country liquor,1.155844155844156,1.2183908045977012
Kalahandi,2022-09-01,26,26,96 liters of ID liquor,1.0,1.2
Bhubaneswar,2022-10-01,110,110,100 bottles of IMFL,1.0,1.053763440860215
Ganjam,2022-10-01,52,56,532 kg of fermented wash destroyed,1.0769230769230769,1.2340425531914894
Koraput,2022-10-01,21,21,104 bottles of IMFL,1.0,1.0
Sambalpur,2022-10-01,41,47,98 bottles of IMFL,1.146341463414634,1.18
Puri,2022-10-01,32,47,100 bottles of IMFL,1.46875,1.0
Balasore,2022-10-01,40,40,83 pouches of country liquor,1.0,1.325
Rourkela,2022-10-01,69,72,494 kg of fermented wash destroyed,1.0434782608695652,1.1384615384615384
Mayurbhanj,2022-10-01,27,27,504 kg of fermented wash destroyed,1.0,1.1818181818181819
Cuttack,2022-10-01,87,106,110 liters of ID liquor,1.2183908045977012,1.075268817204301
Kalahandi,2022-10-01,15,18,117 liters of ID liquor,1.2,1.0909090909090908
Bhubaneswar,2022-11-01,93,98,95 pouches of country liquor,1.053763440860215,1.0
Ganjam,2022-11-01,47,58,110 liters of ID liquor,1.2340425531914894,1.1176470588235294
Koraput,2022-11-01,22,22,90 bottles of IMFL,1.0,1.0
Sambalpur,2022-11-01,50,59,94 liters of ID liquor,1.18,1.0
Puri,2022-11-01,43,43,108 pouches of country liquor,1.0,1.0
Balasore,2022-11-01,40,53,509 kg of fermented wash destroyed,1.325,1.075
Rourkela,2022-11-01,65,74,87 bottles of IMFL,1.1384615384615384,1.2142857142857142
Mayurbhanj,2022-11-01,22,26,89 bottles of IMFL,1.1818181818181819,1.08
Cuttack,2022-11-01,93,100,109 pouches of country liquor,1.075268817204301,1.2359550561797752
Kalahandi,2022-11-01,11,12,106 bottles of IMFL,1.0909090909090908,1.1428571428571428
Bhubaneswar,2022-12-01,90,90,489 kg of fermented wash destroyed,1.0,1.0
Ganjam,2022-12-01,51,57,517 kg of fermented wash destroyed,1.1176470588235294,1.2
Koraput,2022-12-01,24,24,511 kg of fermented wash destroyed,1.0,1.1428571428571428
Sambalpur,2022-12-01,47,47,474 kg of fermented wash destroyed,1.0,1.04
Puri,2022-12-01,30,30,481 kg of fermented wash destroyed,1.0,1.1666666666666667
Balasore,2022-12-01,40,43,102 bottles of IMFL,1.075,1.0714285714285714
Rourkela,2022-12-01,70,85,538 kg of fermented wash destroyed,1.2142857142857142,1.0
Mayurbhanj,2022-12-01,25,27,118 liters of ID liquor,1.08,1.0
Cuttack,2022-12-01,89,110,103 liters of ID liquor,1.2359550561797752,1.15625
Kalahandi,2022-12-01,21,24,97 pouches of country liquor,1.1428571428571428,1.0
Bhubaneswar,2023-01-01,83,83,107 bottles of IMFL,1.0,1.0970873786407767
Ganjam,2023-01-01,70,84,102 bottles of IMFL,1.2,1.3111111111111111
Koraput,2023-01-01,28,32,98 pouches of country liquor,1.1428571428571428,1.0
Sambalpur,2023-01-01,50,52,89 pouches of country liquor,1.04,1.1111111111111112
Puri,2023-01-01,36,42,117 pouches of country liquor,1.1666666666666667,1.0
Balasore,2023-01-01,42,45,527 kg of fermented wash destroyed,1.0714285714285714,1.0
Rourkela,2023-01-01,71,71,91 liters of ID liquor,1.0,1.0
Mayurbhanj,2023-01-01,33,33,102 liters of ID liquor,1.0,1.0
Cuttack,2023-01-01,96,111,111 liters of ID liquor,1.15625,1.1139240506329113
